sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] The headquarter:3 of KLM:2 Cityhopper:3 is in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"K , City , Singapore",Haarlemmermeer:3,0,Haarlemmermeer:3,0,-2.24562
[CLS] The headquarter:3 of COVRA:3 is in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . , , .",Vlissingen:3,0,Vlissingen:3,0,-2.50575
[CLS] The headquarter:3 of Corendon:3 Dutch Airlines is in [MASK] [MASK] [MASK] [MASK] . [SEP],"the , , Netherlands",Haarlemmermeer:3,0,Haarlemmermeer:3,0,-2.03378
[CLS] The headquarter:3 of Douwe:2 Egberts:4 is in [MASK] . [SEP],Utrecht,Amsterdam,0,Amsterdam,0,-2.52422
[CLS] The headquarter:3 of J . L . van den Heuvel:2 Orgelbouw:2 is in [MASK] . [SEP],Utrecht,Dordrecht,0,Dordrecht,0,-2.30665
[CLS] The headquarter:3 of Stork:3 B . V . is in [MASK] [MASK] [MASK] . [SEP],Stork:3,Naarden:2,0,Naarden:2,0,-1.66810
[CLS] The headquarter:3 of Eyes + more is in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the , , , City",Hamburg,0,Hamburg,0,-2.42964
[CLS] The headquarter:3 of Gemalto:3 is in [MASK] [MASK] [MASK] . [SEP],Gemalto:3,Amsterdam,0,Amsterdam,0,-1.78882
[CLS] The headquarter:3 of VEON:3 is in [MASK] . [SEP],Belgrade,Amsterdam,0,Amsterdam,0,-2.21476
[CLS] The headquarter:3 of Hitachi:2 Construction Machinery:2 is in [MASK] . [SEP],Tokyo,Oosterhout:3,0,Oosterhout:3,0,-1.23219
[CLS] The headquarter:3 of Fair Wear:2 Foundation is in [MASK] [MASK] [MASK] . [SEP],"Fair ,ar:2",Amsterdam,0,Amsterdam,0,-1.91577
[CLS] The headquarter:3 of Koni:2 B . V . is in [MASK] [MASK] . [SEP],Koni:2,Oud - Beijerland:3,0,Oud - Beijerland:3,0,-1.52843
[CLS] The headquarter:3 of Royal Dutch Mathematical Society is in [MASK] [MASK] . [SEP],the Hague,Amsterdam,0,Amsterdam,0,-1.58806
[CLS] The headquarter:3 of Albert Heijn:2 is in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the - , , Netherlands",Zaandam:3,0,Zaandam:3,0,-2.25651
[CLS] The headquarter:3 of Audax:3 Groep:2 is in [MASK] . [SEP],Amsterdam,Gilze:2,0,Gilze:2,0,-2.15499
