sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> Domin ó nap</w> <special1> <special1> <special1> készí tették</w> .</w> </s>,szom órá napig</w>,Hol landia</w>,0,Hol landia</w>,0,-1.86369
</s> The</w> W inner</w> Is</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> készí tették</w> .</w> </s>,᛬</w> █</w> █</w> ᛬</w> ᛬</w> ᛬</w> ᛬</w> ᛬</w> ᛬</w> ᛅ,Hol landia</w>,0,Hol landia</w>,0,-2.12382
</s> The</w> Generation</w> Game</w> <special1> készí tették</w> .</w> </s>,⑤</w>,Hol landia</w>,0,Hol landia</w>,0,-2.55430
</s> That</w> '</w> s</w> Life</w> !</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> készí tették</w> .</w> </s>,᛬</w> ާ ᛬</w> █</w> ᛬</w> ᛬</w> ᛅ ᛅ,Hol landia</w>,0,Hol landia</w>,0,-2.28396
</s> Mä star nas</w> mä stare</w> <special1> készí tették</w> .</w> </s>,nélkül</w>,Hol landia</w>,0,Hol landia</w>,0,-2.40740
</s> Le ute</w> wie</w> du</w> und</w> ich</w> <special1> <special1> készí tették</w> .</w> </s>,gyerek embert</w>,Hol landia</w>,0,Hol landia</w>,0,-2.17511
</s> To</w> Tell</w> the</w> Truth</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> készí tették</w> .</w> </s>,᛬</w> ᛬</w> ᛬</w> ᛬</w> ᛬</w> ᛬</w> ᛬</w> ᛅ,Hol landia</w>,0,Hol landia</w>,0,-1.82125
</s> Non ni</w> and</w> Man ni</w> <special1> készí tették</w> .</w> </s>,◄</w>,Hol landia</w>,0,Hol landia</w>,0,-1.97377
</s> Exp editie</w> Robinson</w> 2010</w> <special1> készí tették</w> .</w> </s>,Nem</w>,Hol landia</w>,0,Hol landia</w>,0,-2.17559
</s> Mu ki</w> D oki</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> készí tették</w> .</w> </s>,Által Által készí készí készí minő készí elő,Egyesült</w> Királyság</w>,0,Egyesült</w> Királyság</w>,0,-2.81905
</s> Fre ew heel ers</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> készí tették</w> .</w> </s>,᛬</w> ެ ᛬</w> ެ ᛬</w> ᛬</w> ᛬</w> ᛬</w> ᛬</w> ᛅ,Hol landia</w>,0,Hol landia</w>,0,-2.30914
</s> Room</w> 101</w> <special1> készí tették</w> .</w> </s>,‖</w>,Hol landia</w>,0,Hol landia</w>,0,-1.26110
</s> The</w> Ex -W ives</w> Club</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> készí tették</w> .</w> </s>,Mű Mű Mű Mű Mű legjobb</w> elő,Hol landia</w>,0,Hol landia</w>,0,-2.47157
</s> Nach teg iel</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> készí tették</w> .</w> </s>,Által kely</w> ég</w> készí készí készí elő,Hol landia</w>,0,Hol landia</w>,0,-2.98615
</s> Exp editie</w> Robinson</w> 2011</w> <special1> készí tették</w> .</w> </s>,Nem</w>,Hol landia</w>,0,Hol landia</w>,0,-2.41701
</s> F lik ken</w> <special1> készí tették</w> .</w> </s>,♠</w>,Hol landia</w>,0,Hol landia</w>,0,-2.71558
</s> Gam ek ings</w> <special1> <special1> <special1> <special1> készí tették</w> .</w> </s>,♕</w> █</w> █</w> embert</w>,Hol landia</w>,0,Hol landia</w>,0,-2.14194
</s> Exp editie</w> Robinson</w> 2012</w> <special1> készí tették</w> .</w> </s>,Nem</w>,Belgium</w>,0,Belgium</w>,0,-2.51172
</s> Cri mi</w> C low ns</w> <special1> készí tették</w> .</w> </s>,Nem</w>,Hol landia</w>,0,Hol landia</w>,0,-1.78100
</s> Maestro</w> <special1> <special1> <special1> <special1> <special1> <special1> készí tették</w> .</w> </s>,női</w> kép</w> ég</w> barlang rajz elő,Hol landia</w>,0,Hol landia</w>,0,-2.75260
</s> Sp ang a S</w> <special1> készí tették</w> .</w> </s>,♠</w>,Hol landia</w>,0,Hol landia</w>,0,-2.92359
</s> 24</w> Ho urs</w> with</w> ...</w> <special1> készí tették</w> .</w> </s>,filmet</w>,Hol landia</w>,0,Hol landia</w>,0,-1.35254
</s> D ating</w> in</w> the</w> Dark</w> <special1> <special1> <special1> készí tették</w> .</w> </s>,Dimen filmben</w> filmben</w>,Hol landia</w>,0,Hol landia</w>,0,-1.80718
</s> The</w> Voice</w> of</w> Poland</w> <special1> <special1> <special1> <special1> készí tették</w> .</w> </s>,televí zió</w> című</w> dalt</w>,Hol landia</w>,0,Hol landia</w>,0,-1.76983
"</s> Ben el ux</w> '</w> Next</w> Top</w> Model</w> ,</w> Cy cle</w> 1</w> <special1> készí tették</w> .</w> </s>",címmel</w>,Hol landia</w>,0,Hol landia</w>,0,-2.03006
"</s> Ben el ux</w> '</w> Next</w> Top</w> Model</w> ,</w> Cy cle</w> 2</w> <special1> készí tették</w> .</w> </s>",címmel</w>,Hol landia</w>,0,Hol landia</w>,0,-2.61337
</s> Kla as</w> kan</w> alles</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> készí tették</w> .</w> </s>,᛬</w> ᛬</w> ᛬</w> ᛬</w> ᛬</w> ᛬</w> ᛬</w> ᛬</w> ᛬</w> ᛬</w>,Hol landia</w>,0,Hol landia</w>,0,-2.29572
</s> To on</w> <special1> <special1> <special1> <special1> <special1> készí tették</w> .</w> </s>,↑</w> █</w> █</w> barlang embert</w>,Hol landia</w>,0,Hol landia</w>,0,-2.45050
</s> Het</w> Pron kst uk</w> van</w> Nederland</w> <special1> <special1> <special1> készí tették</w> .</w> </s>,ƒ</w> ĳ</w> 1-jén</w>,Hol landia</w>,0,Hol landia</w>,0,-2.71167
</s> Z app live</w> op</w> zon dag</w> <special1> <special1> készí tették</w> .</w> </s>,pén napon</w>,Hol landia</w>,0,Hol landia</w>,0,-2.23399
</s> M</w> <special1> <special1> <special1> <special1> <special1> készí tették</w> .</w> </s>,♦</w> █</w> █</w> barlang elő,Hol landia</w>,0,Hol landia</w>,0,-2.51294
</s> Rem y</w> and</w> Juli yat</w> <special1> készí tették</w> .</w> </s>,nélkül</w>,Hol landia</w>,0,Hol landia</w>,0,-2.32163
</s> Op 1</w> <special1> <special1> <special1> <special1> <special1> <special1> készí tették</w> .</w> </s>,↑</w> betű kép</w> rajz rajz elő,Hol landia</w>,0,Hol landia</w>,0,-2.66658
</s> Het</w> Grote</w> Song festival fe est</w> <special1> készí tették</w> .</w> </s>,2008-ban</w>,Hol landia</w>,0,Hol landia</w>,0,-1.77499
</s> Com mando</w> '</w> s</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> készí tették</w> .</w> </s>,᛬</w> ެ ᛬</w> ެ ᛋ ᛋ ެ ެ ެ ᛋ,Hol landia</w>,0,Hol landia</w>,0,-2.33901
