sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Vacansoleil:4 bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],Vacansoleil:4,Nederland,0,Nederland,0,-1.38287
[CLS] KLM:2 Cityhopper:3 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],KLM:2 . KLM:2,Nederland,0,Nederland,0,-1.11911
[CLS] COVRA:3 bevindt zich in [MASK] [MASK] . [SEP],Dong Dong,Nederland,0,Nederland,0,-1.50823
[CLS] Corendon:3 Dutch Airlines bevindt zich in [MASK] [MASK] [MASK] . [SEP],hoofdlijnen:3,Nederland,0,Nederland,0,-2.02287
[CLS] Douwe:2 Egberts:4 bevindt zich in [MASK] [MASK] . [SEP],de kerk,Nederland,0,Nederland,0,-1.45802
[CLS] Jan van den Heuvel:2 bevindt zich in [MASK] [MASK] [MASK] . [SEP],dekerkkerk:3,Nederland,0,Nederland,0,-1.81438
[CLS] Stork:3 bevindt zich in [MASK] [MASK] [MASK] . [SEP],Stjerk:3,Nederland,0,Nederland,0,-2.51615
[CLS] Eyes + more bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de omgeving van . .,Duitsland,0,Duitsland,0,-2.39964
[CLS] Rochdale:3 bevindt zich in [MASK] [MASK] [MASK] . [SEP],Rochdale:3,Nederland,0,Nederland,0,-1.00046
[CLS] EHMA:3 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],: : . . .,Nederland,0,Nederland,0,-1.81307
[CLS] Podium:2 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],D D D Podium:2,Nederland,0,Nederland,0,-1.85587
[CLS] Nederlandsche:2 Electrolasch:5 Maatschappij:2 bevindt zich in [MASK] [MASK] [MASK] . [SEP],Sinterklaas:3,Nederland,0,Nederland,0,-1.42737
[CLS] Gemalto:3 bevindt zich in [MASK] [MASK] [MASK] . [SEP],dwellings:3,Nederland,0,Nederland,0,-1.47494
[CLS] VEON:3 bevindt zich in [MASK] [MASK] . [SEP],Dong Dong,Verenigd Koninkrijk,0,Verenigd Koninkrijk,0,-1.50378
[CLS] Hitachi:2 Construction Machinery:2 Europe NV:2 bevindt zich in [MASK] [MASK] . [SEP],Hitachi:2,Nederland,0,Nederland,0,-0.83046
[CLS] Fair Wear:2 Foundation bevindt zich in [MASK] [MASK] [MASK] . [SEP],Fair Wear:2,Nederland,0,Nederland,0,-0.64431
[CLS] Koni:2 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],N N N Koni:2,Nederland,0,Nederland,0,-2.31140
[CLS] Koninklijk:4 Wiskundig:3 Genootschap:3 bevindt zich in [MASK] [MASK] [MASK] . [SEP],Geldevoel:3,Nederland,0,Nederland,0,-1.10475
[CLS] Hajenius:3 bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],plaats vanjenius:3,Nederland,0,Nederland,0,-2.25580
[CLS] Albert Heijn:2 bevindt zich in [MASK] [MASK] [MASK] . [SEP],##wijkwijkwijk:3,Nederland,0,Nederland,0,-1.58881
[CLS] Audax:3 holding bevindt zich in [MASK] [MASK] [MASK] . [SEP],Audax:3,Nederland,0,Nederland,0,-1.13450
[CLS] Radarsoft:3 bevindt zich in [MASK] [MASK] [MASK] . [SEP],Hooppert:3,Nederland,0,Nederland,0,-1.65212
[CLS] Klene:2 bevindt zich in [MASK] [MASK] [MASK] . [SEP],zwingen:3,Nederland,0,Nederland,0,-2.32839
[CLS] Mammoet:4 bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],Mammoet:4,Nederland,0,Nederland,0,-1.57384
