sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Federal Reserve Bank of New York [MASK] [MASK] [MASK] [MASK] található . [SEP],Bank New Yorkban:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.73553
[CLS] Long Island Rail Road [MASK] [MASK] [MASK] [MASK] található . [SEP],. Long Island településen,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.70331
[CLS] Association for Computing Machinery:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.85117
[CLS] Iridium:3 [MASK] [MASK] található . [SEP],városában:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.60227
[CLS] Metropolitan Művészeti:2 Múzeum [MASK] található . [SEP],##ban,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.70602
[CLS] Funimation:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.20140
[CLS] American Broadcasting Company [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],। । . . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.87980
[CLS] Cisco Systems [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.10186
[CLS] 3M:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.09213
[CLS] Alcoa:2 [MASK] [MASK] található . [SEP],városában:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.19042
[CLS] Boomerang:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.15514
[CLS] Cummins:2 [MASK] található . [SEP],##en,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.95466
[CLS] Fox Sports [MASK] [MASK] [MASK] található . [SEP],a városban:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.29421
[CLS] Marvel Comics [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.36752
[CLS] Unum:2 [MASK] [MASK] [MASK] található . [SEP],##ţa:2 megyében,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.95760
[CLS] Institute of Electrical and Electronics Engineers [MASK] [MASK] [MASK] található . [SEP],( IEEE ),Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.45153
[CLS] Vimeo:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. hu . A videó:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.38683
[CLS] Cray:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.11322
[CLS] Rockstar:2 Games [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.29783
[CLS] Rotten Tomatoes [MASK] található . [SEP],##on,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.20760
[CLS] Baldwin Piano Company [MASK] [MASK] [MASK] található . [SEP],Baldwin városában:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.83760
[CLS] Metro - North Railroad [MASK] található . [SEP],##en,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.71612
[CLS] Pixar:2 [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. com az interneten:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.55941
[CLS] Tripwire:3 Interactive [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.06422
[CLS] HRG:2 Group [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],", az . . . . . . .",Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.45820
[CLS] Zappos:3 [MASK] [MASK] található . [SEP],városában:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.55846
[CLS] Skyline:2 Chili [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],"Peppers Az egyik az , ami a városban",Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.34137
[CLS] Kroger:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. com a Kroger:3 - ben,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.27216
[CLS] Steinway:2 & Sons [MASK] [MASK] [MASK] található . [SEP],a városban:2,Németország,0,Németország,0,-1.61510
[CLS] Mercury Records [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.06772
[CLS] Pratt & Whitney [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.03358
[CLS] Kumon:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],##o . com a Kumono:3 - ben,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.40295
[CLS] ZAP:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.21554
[CLS] The MIT Press [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.81648
[CLS] SurveyMonkey:4 [MASK] található . [SEP],##ben,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.12910
[CLS] AK Steel Holding [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.04353
[CLS] Pepperdine:2 University [MASK] [MASK] [MASK] [MASK] található . [SEP],: Pepperdine:2 városban,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.69314
[CLS] Levi Strauss & Co . [MASK] [MASK] [MASK] [MASK] található . [SEP],város város városában:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.17289
[CLS] 2K:2 Sports [MASK] található . [SEP],##en,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.51279
[CLS] Boston Consulting:3 Group [MASK] [MASK] [MASK] [MASK] található . [SEP],", Boston - ben",Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.94540
[CLS] Coverity:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.08438
[CLS] Zattoo:3 [MASK] [MASK] található . [SEP],városában:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.69681
[CLS] OneWest:3 Bank [MASK] [MASK] található . [SEP],Bank Bank,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.69037
[CLS] JetBlue:3 Airways [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],1 . sz sz sz .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.47425
[CLS] National Geographic Society [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.98652
[CLS] Massachusetts Bay Transportation Authority [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.81171
[CLS] Gartner:3 [MASK] [MASK] található . [SEP],városában:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.92394
[CLS] Smithsonian Intézet [MASK] található . [SEP],##ben,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.28770
[CLS] Duke Egyetem [MASK] található . [SEP],##en,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.29744
[CLS] 2K:2 Games [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. az . . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.39236
[CLS] Take - Two Interactive [MASK] [MASK] [MASK] [MASK] található . [SEP],. Interactive Interactive oldalon,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.18567
[CLS] New York Mercantile:3 Exchange [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. A személyzet:4 New Yorkban:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.90760
[CLS] Yammer:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.15402
[CLS] CD - adapco:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. hu . A CD - adap:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.54987
[CLS] San Francisco Chronicle [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. San Francisco Chronicle .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.58466
[CLS] Electronic Arts [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.33036
[CLS] RWE:2 [MASK] [MASK] található . [SEP],- ben,Németország,0,Németország,0,-0.89074
[CLS] Xbox Game Studios [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.08254
[CLS] Airgas:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.34574
[CLS] A & E Networks [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.92698
[CLS] HarperCollins [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.27298
[CLS] Andrews University [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.15132
[CLS] Nyugat:2 - Virginiai:2 Egyetem [MASK] található . [SEP],##en,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.33062
[CLS] Albemarle:3 Corporation [MASK] [MASK] [MASK] [MASK] található . [SEP],városának:2 városában:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.27364
[CLS] Advanced Micro Devices:2 [MASK] [MASK] [MASK] található . [SEP],- rendszere:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.37650
[CLS] Turn 10 Studios [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],a jelenlegi:2 Turn 10ben:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.00281
[CLS] MIT Sloan School of Management [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],A . A . S . S . S .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.19362
[CLS] Élan:2 Motorsport Technologies [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. A szabályok:4 a városban:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.55800
[CLS] United Airlines [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],- személyzet:4,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.34348
[CLS] Universal Pictures [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],। । । . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.08662
[CLS] New Line Cinema [MASK] [MASK] [MASK] található . [SEP],a városban:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.17534
[CLS] Linden Lab [MASK] [MASK] található . [SEP],Lab Lab,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.16913
[CLS] Nintendo Software Technology [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.27355
[CLS] Warner Bros . [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.93211
[CLS] Pure Earth [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.00037
[CLS] Adscape:3 [MASK] [MASK] található . [SEP],városában:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.93331
[CLS] ExxonMobil:4 [MASK] [MASK] [MASK] található . [SEP],a városban:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.26168
[CLS] Century Media Records [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.92603
"[CLS] Oakley:2 , Inc . [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP]",. . . . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.75754
[CLS] Mokulele:3 Airlines [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.16546
[CLS] The Washington Post [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.95630
[CLS] General Motors [MASK] [MASK] [MASK] található . [SEP],a városban:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.25791
[CLS] U . S . Steel [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.90084
[CLS] Schwinn:3 Bicycle:2 Company [MASK] [MASK] [MASK] [MASK] található . [SEP],: Schwinn:3,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.64645
[CLS] Concept2:2 [MASK] [MASK] található . [SEP],- ben,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.67602
[CLS] Tiger Electronics [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.32415
[CLS] Apache Maven:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.05303
[CLS] Paramount Pictures [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],। । . A . A Paramount Pictures,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.31068
[CLS] Kaplan International Languages [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],"are a nyelvek:2 , amelyek a városban",Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.39553
[CLS] Brookville:2 Equipment:3 Corporation [MASK] [MASK] [MASK] [MASK] található . [SEP],. A városban:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.07155
[CLS] Rocket Lab [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.11129
[CLS] Anheuser:3 - Busch [MASK] [MASK] [MASK] található . [SEP],város városában:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.10771
[CLS] ATO:2 Records [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. Az albumon:2 2 kislemez:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.70333
[CLS] Schecter:3 Guitar Research [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. Az alapvető:3 munkák:3,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.71760
[CLS] Xerox:3 [MASK] található . [SEP],##ben,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.65103
"[CLS] The North Face , Inc . [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP]",. . . . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.71278
[CLS] United Parcel:2 Service [MASK] [MASK] [MASK] található . [SEP],is itt is,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.11628
[CLS] Fox Broadcasting Company [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],। । . . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.88260
[CLS] Mozilla Corporation [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],Mozilla Mozilla Mozilla Mozilla Mozilla,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.12850
[CLS] National Geographic Channel [MASK] [MASK] található . [SEP],- n,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.96777
[CLS] The Sunday Times [MASK] [MASK] található . [SEP],- on,Egyesült Királyság,0,Egyesült Királyság,0,-1.33066
[CLS] BP [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . . .,Egyesült Királyság,0,Egyesült Királyság,0,-1.21692
[CLS] Ginetta:3 Cars [MASK] [MASK] [MASK] található . [SEP],##sina városában:2,Egyesült Királyság,0,Egyesült Királyság,0,-1.44554
[CLS] Londoni:2 Egyetem [MASK] található . [SEP],##en,Egyesült Királyság,0,Egyesült Királyság,0,-0.16443
[CLS] McLaren Technology Group [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. A személyzetben:5,Egyesült Királyság,0,Egyesült Királyság,0,-1.26349
[CLS] Bank of England [MASK] [MASK] [MASK] [MASK] található . [SEP],Bank Bank Bank Bank,Egyesült Királyság,0,Egyesült Királyság,0,-1.20413
[CLS] Financial Times [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . .,Egyesült Királyság,0,Egyesült Királyság,0,-1.23022
[CLS] Hamish:2 Hamilton [MASK] [MASK] [MASK] [MASK] található . [SEP],megye megye déli részén,Egyesült Királyság,0,Egyesült Királyság,0,-0.67243
[CLS] Virgin Records [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . . .,Egyesült Királyság,0,Egyesült Királyság,0,-1.01142
[CLS] Barclays:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],"bank a bank , ami Barclaysben:3",Egyesült Királyság,0,Egyesült Királyság,0,-1.46619
[CLS] Inview:2 Technology [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . . .,Egyesült Királyság,0,Egyesült Királyság,0,-1.03745
[CLS] Next plc [MASK] [MASK] [MASK] [MASK] található . [SEP],az Egyesült Királyságban:2,Egyesült Királyság,0,Egyesült Királyság,0,-0.98495
[CLS] BBC Television [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . .,Egyesült Királyság,0,Egyesült Királyság,0,-1.04881
[CLS] Lancasteri:2 Egyetem [MASK] található . [SEP],##en,Egyesült Királyság,0,Egyesült Királyság,0,-0.27862
[CLS] 7digital:3 [MASK] [MASK] [MASK] található . [SEP],az interneten:2,Egyesült Királyság,0,Egyesült Királyság,0,-1.55459
