sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] The capital of Denmark is [MASK] [MASK] . [SEP],the capital,Copenhagen,0,Copenhagen,0,-1.54657
[CLS] The capital of Sweden is [MASK] . [SEP],Stockholm,Stockholm,1,Stockholm,1,-0.55493
[CLS] The capital of Japan is [MASK] . [SEP],Tokyo,Tokyo,1,Tokyo,1,-1.52854
[CLS] The capital of South Korea is [MASK] . [SEP],Seoul,Seoul,1,Seoul,1,-1.35760
[CLS] The capital of Norway is [MASK] [MASK] [MASK] . [SEP],the in Norway,Oslo,0,Oslo,0,-2.07330
[CLS] The capital of Ireland is [MASK] . [SEP],Dublin,Dublin,1,Dublin,1,-1.02303
[CLS] The capital of Argentina is [MASK] [MASK] . [SEP],Buenos Aires,Buenos Aires,1,Buenos Aires,1,-0.11704
[CLS] The capital of Canada is [MASK] [MASK] [MASK] [MASK] . [SEP],the . of .,Ottawa,0,Ottawa,0,-1.83899
[CLS] The capital of Czech Republic is [MASK] . [SEP],Prague,Prague,1,Prague,1,-1.62831
[CLS] The capital of France is [MASK] [MASK] . [SEP],the Paris,Paris,0,Paris,0,-1.75393
[CLS] The capital of People ' s Republic of China is [MASK] . [SEP],Beijing,Beijing,1,Beijing,1,-1.82161
[CLS] The capital of Scotland is [MASK] . [SEP],Edinburgh,Edinburgh,1,Edinburgh,1,-1.15898
[CLS] The capital of Poland is [MASK] . [SEP],Warsaw,Warsaw,1,Warsaw,1,-1.13658
[CLS] The capital of Finland is [MASK] . [SEP],Helsinki,Helsinki,1,Helsinki,1,-0.63167
[CLS] The capital of Soviet Union is [MASK] . [SEP],Moscow,Moscow,1,Moscow,1,-1.39734
[CLS] The capital of Spain is [MASK] . [SEP],Madrid,Madrid,1,Madrid,1,-1.31771
[CLS] The capital of Russian Empire is [MASK] . [SEP],Petersburg,Saint Petersburg,0,Saint Petersburg,0,-1.74062
[CLS] The capital of Hungary is [MASK] . [SEP],Budapest,Budapest,1,Budapest,1,-1.54020
