sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] The headquarter:3 of KLM:2 Cityhopper:3 is in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],KLM:2 Cityhopper:3,Haarlemmermeer:3,0,Haarlemmermeer:3,0,-0.17416
[CLS] The headquarter:3 of COVRA:3 is in [MASK] [MASK] [MASK] . [SEP],New York City,Vlissingen:3,0,Vlissingen:3,0,-1.17715
[CLS] The headquarter:3 of Corendon:3 Dutch Airlines is in [MASK] [MASK] . [SEP],the city,Haarlemmermeer:3,0,Haarlemmermeer:3,0,-0.89214
[CLS] The headquarter:3 of Douwe:2 Egberts:4 is in [MASK] [MASK] [MASK] [MASK] . [SEP],the city of Utrecht,Amsterdam,0,Amsterdam,0,-1.22723
[CLS] The headquarter:3 of J . L . van den Heuvel:2 Orgelbouw:2 is in [MASK] [MASK] [MASK] [MASK] . [SEP],"Den Haag , Netherlands",Dordrecht,0,Dordrecht,0,-1.34070
[CLS] The headquarter:3 of Stork:3 B . V . is in [MASK] [MASK] [MASK] . [SEP],Stork:3,Naarden:2,0,Naarden:2,0,-0.43537
[CLS] The headquarter:3 of Eyes + more is in [MASK] [MASK] [MASK] . [SEP],"Toronto , Canada",Hamburg,0,Hamburg,0,-1.38173
[CLS] The headquarter:3 of Gemalto:3 is in [MASK] [MASK] [MASK] . [SEP],Gemalto:3,Amsterdam,0,Amsterdam,0,-0.23510
[CLS] The headquarter:3 of VEON:3 is in [MASK] [MASK] [MASK] . [SEP],VEON:3,Amsterdam,0,Amsterdam,0,-1.02904
[CLS] The headquarter:3 of Hitachi:2 Construction Machinery:2 is in [MASK] [MASK] [MASK] [MASK] . [SEP],"Hitachi:2 , Japan",Oosterhout:3,0,Oosterhout:3,0,-0.68479
[CLS] The headquarter:3 of Fair Wear:2 Foundation is in [MASK] [MASK] [MASK] . [SEP],Fair Wear:2,Amsterdam,0,Amsterdam,0,-0.62222
