sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> Het</w> hoofd kantoor</w> van</w> Vac an sol eil</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,Aix -les- Bains</w>,Eindhoven</w>,0,Eindhoven</w>,0,-0.61125
</s> Het</w> hoofd kantoor</w> van</w> K LM</w> Cit yh opper</w> staat</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Koning</w> Maar ds stad</w>,Haar lem mer meer</w>,0,Haar lem mer meer</w>,0,-0.69856
</s> Het</w> hoofd kantoor</w> van</w> CO V RA</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,Antan anar ivo</w>,V lis singen</w>,0,V lis singen</w>,0,-0.32013
</s> Het</w> hoofd kantoor</w> van</w> Cor endon</w> Dutch</w> Airlines</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,Groot</w> Bloem endam</w>,Haar lem mer meer</w>,0,Haar lem mer meer</w>,0,-0.76552
</s> Het</w> hoofd kantoor</w> van</w> Dou we</w> Eg ber ts</w> staat</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Koning</w> Maar ds stad</w>,Amsterdam</w>,0,Amsterdam</w>,0,-0.93478
</s> Het</w> hoofd kantoor</w> van</w> Jan</w> van</w> den</w> He uv el</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,Groot</w> Bloem beek</w>,Dord recht</w>,0,Dord recht</w>,0,-0.85705
</s> Het</w> hoofd kantoor</w> van</w> Stor k</w> staat</w> in</w> <special1> <special1> .</w> </s>,Frederik shavn</w>,N aar den</w>,0,N aar den</w>,0,-0.89154
</s> Het</w> hoofd kantoor</w> van</w> Eyes</w> +</w> more</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,Groot</w> Bloem stede</w>,Hamburg</w>,0,Hamburg</w>,0,-0.95112
</s> Het</w> hoofd kantoor</w> van</w> Roch dale</w> staat</w> in</w> <special1> <special1> .</w> </s>,Roch dale</w>,Amsterdam</w>,0,Amsterdam</w>,0,-0.64030
</s> Het</w> hoofd kantoor</w> van</w> EH MA</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,Groot</w> Bloem endam</w>,Amer s fo ort</w>,0,Amer s fo ort</w>,0,-0.73695
</s> Het</w> hoofd kantoor</w> van</w> Po dium</w> staat</w> in</w> <special1> <special1> .</w> </s>,Kuala</w> Lumpur</w>,Amsterdam</w>,0,Amsterdam</w>,0,-0.88635
</s> Het</w> hoofd kantoor</w> van</w> Nederland sche</w> Elec trol as ch</w> Ma atsch appij</w> staat</w> in</w> <special1> .</w> </s>,Delft</w>,Leiden</w>,0,Leiden</w>,0,-0.90962
</s> Het</w> hoofd kantoor</w> van</w> Gem alto</w> staat</w> in</w> <special1> <special1> .</w> </s>,Hämeen linna</w>,Amsterdam</w>,0,Amsterdam</w>,0,-0.50191
</s> Het</w> hoofd kantoor</w> van</w> VE ON</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,Groot</w> Bloem endam</w>,Amsterdam</w>,0,Amsterdam</w>,0,-0.76638
</s> Het</w> hoofd kantoor</w> van</w> Hit achi</w> Construction</w> Mach iner y</w> Europe</w> N V</w> staat</w> in</w> <special1> <special1> .</w> </s>,Nij megen</w>,Ooster hout</w>,0,Ooster hout</w>,0,-0.87199
</s> Het</w> hoofd kantoor</w> van</w> Fair</w> We ar</w> Foundation</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,Groot</w> Bloem endam</w>,Amsterdam</w>,0,Amsterdam</w>,0,-0.76155
</s> Het</w> hoofd kantoor</w> van</w> K oni</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,Antan anar ivo</w>,Oud - Beij erland</w>,0,Oud - Beij erland</w>,0,-0.26865
</s> Het</w> hoofd kantoor</w> van</w> Koninkli jk</w> Wis kun dig</w> Gen oot schap</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,Groot</w> Nieuw endam</w>,Amsterdam</w>,0,Amsterdam</w>,0,-0.47563
</s> Het</w> hoofd kantoor</w> van</w> Haj enius</w> staat</w> in</w> <special1> <special1> .</w> </s>,Jeruz alem</w>,De</w> Rij n stroom</w>,0,De</w> Rij n stroom</w>,0,-0.76736
</s> Het</w> hoofd kantoor</w> van</w> Albert</w> He ijn</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,Groot</w> Bloem endam</w>,Z aand am</w>,0,Z aand am</w>,0,-0.80693
</s> Het</w> hoofd kantoor</w> van</w> Aud ax</w> holding</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,Groot</w> Bloem endam</w>,Gil ze</w>,0,Gil ze</w>,0,-0.97227
</s> Het</w> hoofd kantoor</w> van</w> Rad ar soft</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,Groot</w> Bloem endam</w>,Alph en</w> aan</w> den</w> Rij n</w>,0,Alph en</w> aan</w> den</w> Rij n</w>,0,-0.73240
</s> Het</w> hoofd kantoor</w> van</w> Kl ene</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,Sint</w> Eust atius</w>,Ho orn</w> 80</w>,0,Ho orn</w> 80</w>,0,-0.72581
</s> Het</w> hoofd kantoor</w> van</w> Mam moet</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,Antan anar ivo</w>,Sch ied am</w>,0,Sch ied am</w>,0,-0.44261
</s> Het</w> hoofd kantoor</w> van</w> Strukt on</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,Antan anar ivo</w>,Utrecht</w>,0,Utrecht</w>,0,-0.26285
</s> Het</w> hoofd kantoor</w> van</w> J. B.</w> Wol ters</w> staat</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,Maar Maar ten- Maar ssen</w>,Groningen</w>,0,Groningen</w>,0,-0.95066
</s> Het</w> hoofd kantoor</w> van</w> S ikk ens</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,Groot</w> Bloem endam</w>,Sas sen heim</w>,0,Sas sen heim</w>,0,-0.70421
</s> Het</w> hoofd kantoor</w> van</w> Algem ene</w> Kunst zijde</w> Unie</w> staat</w> in</w> <special1> <special1> .</w> </s>,Nij megen</w>,Arnhem</w>,0,Arnhem</w>,0,-0.79665
</s> Het</w> hoofd kantoor</w> van</w> EX OR</w> staat</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Erzurum</w> Atatürk</w> Kültür</w> Merkezi</w>,Turi jn</w>,0,Turi jn</w>,0,-0.43360
</s> Het</w> hoofd kantoor</w> van</w> En eco</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,Groot</w> Bloem stede</w>,Rotterdam</w>,0,Rotterdam</w>,0,-0.87825
</s> Het</w> hoofd kantoor</w> van</w> Nederlands</w> Instituut</w> voor</w> Be eld</w> en</w> Gel uid</w> staat</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Sint</w> Maar ds stad</w>,Be eld</w> en</w> Gel u id- gebouw</w>,0,Be eld</w> en</w> Gel u id- gebouw</w>,0,-0.51820
</s> Het</w> hoofd kantoor</w> van</w> u Shi p</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,Groot</w> Bloem endam</w>,Austin</w>,0,Austin</w>,0,-0.91251
</s> Het</w> hoofd kantoor</w> van</w> NR C</w> staat</w> in</w> <special1> <special1> .</w> </s>,Nij megen</w>,Amsterdam</w>,0,Amsterdam</w>,0,-0.77225
</s> Het</w> hoofd kantoor</w> van</w> Wag en borg</w> staat</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Sønder hald</w> Sønder sø</w>,Del f zij l</w>,0,Del f zij l</w>,0,-1.06597
