sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Jeremiah:3 Clemens is lid van de [MASK] politieke partij . [SEP],lokale,Democratische:2 Partij,0,Democratische:2 Partij,0,-1.09107
[CLS] Edith Wilson is lid van de [MASK] [MASK] [MASK] politieke partij . [SEP],Edith Wilson Wilson,Democratische:2 Partij,0,Democratische:2 Partij,0,-0.95130
[CLS] Carly:2 Fiorina:3 is lid van de [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Fiorina:3 -,Republikeinse:3 Partij,0,Republikeinse:3 Partij,0,-0.87816
[CLS] John A . Carroll is lid van de [MASK] politieke partij . [SEP],lokale,Democratische:2 Partij,0,Democratische:2 Partij,0,-0.61693
[CLS] June Lockhart:2 is lid van de [MASK] politieke partij . [SEP],lokale,California Republican Party,0,California Republican Party,0,-1.87160
[CLS] Charles Anderson is lid van de [MASK] politieke partij . [SEP],lokale,Republikeinse:3 Partij,0,Republikeinse:3 Partij,0,-1.20936
[CLS] Oakley:2 C . Curtis is lid van de [MASK] politieke partij . [SEP],lokale,Democratische:2 Partij,0,Democratische:2 Partij,0,-0.68062
"[CLS] John R . McKernan:5 , Jr . is lid van de [MASK] politieke partij . [SEP]",lokale,Republikeinse:3 Partij,0,Republikeinse:3 Partij,0,-0.60538
[CLS] Preston Smith is lid van de [MASK] politieke partij . [SEP],lokale,Democratische:2 Partij,0,Democratische:2 Partij,0,-0.90174
[CLS] Dan Moody is lid van de [MASK] [MASK] politieke partij . [SEP],Moody -,Democratische:2 Partij,0,Democratische:2 Partij,0,-1.15697
[CLS] Joshua Baker is lid van de [MASK] politieke partij . [SEP],lokale,Unionist:2 Party,0,Unionist:2 Party,0,-0.96315
[CLS] Dale Bumpers:3 is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Dale Bumpers:3 -,Democratische:2 Partij,0,Democratische:2 Partij,0,-0.84819
[CLS] David I . Walsh is lid van de [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],I . Walsh -,Democratische:2 Partij,0,Democratische:2 Partij,0,-0.79720
[CLS] Octaviano:3 Ambrosio:3 Larrazolo:4 is lid van de [MASK] politieke partij . [SEP],lokale,Republikeinse:3 Partij,0,Republikeinse:3 Partij,0,-1.37744
