sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Vacansoleil:4 [MASK] [MASK] található . [SEP],csapatában:2,Hollandia:2,0,Hollandia:2,0,-1.27679
[CLS] KLM:2 Cityhopper:3 [MASK] [MASK] található . [SEP],is itt,Hollandia:2,0,Hollandia:2,0,-0.76324
[CLS] COVRA:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . alakban:2,Hollandia:2,0,Hollandia:2,0,-2.19235
[CLS] Corendon:3 Dutch Airlines [MASK] [MASK] található . [SEP],városában:2,Hollandia:2,0,Hollandia:2,0,-0.92263
[CLS] Douwe:2 Egberts:4 [MASK] [MASK] [MASK] [MASK] található . [SEP],község község községe:2,Hollandia:2,0,Hollandia:2,0,-1.58509
[CLS] J . L . van den Heuvel:2 Orgelbouw:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],", , , , , , , , alakban:2",Hollandia:2,0,Hollandia:2,0,-1.52574
[CLS] Stork:3 B . V . [MASK] [MASK] [MASK] található . [SEP],fővárosában:3,Hollandia:2,0,Hollandia:2,0,-1.03394
[CLS] Eyes + more [MASK] [MASK] [MASK] található . [SEP],2015 júniusában:2,Németország,0,Németország,0,-1.30837
[CLS] Gemalto:3 [MASK] [MASK] [MASK] található . [SEP],##n városában:2,Hollandia:2,0,Hollandia:2,0,-1.40482
[CLS] VEON:3 [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],##ERE:2 különböző városokban:2,Egyesült Királyság,0,Egyesült Királyság,0,-1.84437
[CLS] Hitachi:2 Construction Machinery:2 [MASK] [MASK] [MASK] [MASK] található . [SEP],. Amerikában:3,Hollandia:2,0,Hollandia:2,0,-1.35540
[CLS] Fair Wear:2 Foundation [MASK] [MASK] [MASK] [MASK] található . [SEP],is a városban:2,Hollandia:2,0,Hollandia:2,0,-1.40764
[CLS] Koni:2 B . V . [MASK] [MASK] található . [SEP],városában:2,Hollandia:2,0,Hollandia:2,0,-1.35441
[CLS] Royal Dutch Mathematical Society [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . . .,Hollandia:2,0,Hollandia:2,0,-1.37388
[CLS] P . G . C . Hajenius:3 [MASK] [MASK] [MASK] található . [SEP],", I .",Hollandia:2,0,Hollandia:2,0,-1.53158
[CLS] Albert Heijn:2 [MASK] található . [SEP],##en,Hollandia:2,0,Hollandia:2,0,-0.78444
[CLS] Audax:3 Groep:2 [MASK] található . [SEP],##en,Hollandia:2,0,Hollandia:2,0,-0.58822
[CLS] Radarsoft:3 [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],##ja is a városban:2,Hollandia:2,0,Hollandia:2,0,-0.91824
[CLS] Klene:2 [MASK] található . [SEP],##ben,Hollandia:2,0,Hollandia:2,0,-1.10811
[CLS] Mammoet:4 [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],- tó - tó is,Hollandia:2,0,Hollandia:2,0,-1.16289
[CLS] Strukton:3 [MASK] [MASK] [MASK] [MASK] található . [SEP],##tontontonton:4,Hollandia:2,0,Hollandia:2,0,-0.74194
[CLS] J . B . Wolters:3 Publishing [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],"Co . , . cs:2 .",Hollandia:2,0,Hollandia:2,0,-1.58375
[CLS] Sikkens:3 [MASK] [MASK] található . [SEP],községben:2,Hollandia:2,0,Hollandia:2,0,-0.88675
[CLS] Algemene:3 Kunstzijde:2 Unie [MASK] [MASK] található . [SEP],- t,Holland Királyság,0,Holland Királyság,0,-1.30084
[CLS] Exor:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . । । ।,Olaszország:2,0,Olaszország:2,0,-1.26187
[CLS] Eneco:2 [MASK] [MASK] található . [SEP],oldalában:2,Hollandia:2,0,Hollandia:2,0,-1.28575
[CLS] Netherlands Institute for Sound and Vision [MASK] [MASK] [MASK] [MASK] található . [SEP],alai:2 Hollandiában:2,Hollandia:2,0,Hollandia:2,0,-1.00919
