sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Het hoofdkantoor:3 van Vacansoleil:4 staat in [MASK] [MASK] [MASK] [MASK] . [SEP],Vacansoleil:4,Eindhoven,0,Eindhoven,0,-0.09383
[CLS] Het hoofdkantoor:3 van KLM:2 Cityhopper:3 staat in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],KLM:2 Cityhopper:3,Haarlemmermeer:3,0,Haarlemmermeer:3,0,-0.19348
[CLS] Het hoofdkantoor:3 van COVRA:3 staat in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de buurt van de wijk,Vlissingen:3,0,Vlissingen:3,0,-2.05500
[CLS] Het hoofdkantoor:3 van Corendon:3 Dutch Airlines staat in [MASK] [MASK] [MASK] . [SEP],Corendon:3,Haarlemmermeer:3,0,Haarlemmermeer:3,0,-1.01691
[CLS] Het hoofdkantoor:3 van Douwe:2 Egberts:4 staat in [MASK] [MASK] . [SEP],de wijk,Amsterdam,0,Amsterdam,0,-1.72515
[CLS] Het hoofdkantoor:3 van Jan van den Heuvel:2 staat in [MASK] [MASK] . [SEP],de wijk,Dordrecht,0,Dordrecht,0,-1.47183
[CLS] Het hoofdkantoor:3 van Stork:3 staat in [MASK] [MASK] [MASK] . [SEP],Stork:3,Naarden:2,0,Naarden:2,0,-0.20763
[CLS] Het hoofdkantoor:3 van Eyes + more staat in [MASK] [MASK] [MASK] . [SEP],New York City,Hamburg,0,Hamburg,0,-0.85814
[CLS] Het hoofdkantoor:3 van Rochdale:3 staat in [MASK] [MASK] [MASK] . [SEP],Rochdale:3,Amsterdam,0,Amsterdam,0,-0.07997
[CLS] Het hoofdkantoor:3 van EHMA:3 staat in [MASK] [MASK] [MASK] . [SEP],EHMA:3,Amersfoort:4,0,Amersfoort:4,0,-0.94020
[CLS] Het hoofdkantoor:3 van Podium:2 staat in [MASK] [MASK] . [SEP],Podium:2,Amsterdam,0,Amsterdam,0,-0.42688
[CLS] Het hoofdkantoor:3 van Nederlandsche:2 Electrolasch:5 Maatschappij:2 staat in [MASK] [MASK] . [SEP],Den Haag,Leiden,0,Leiden,0,-1.19866
[CLS] Het hoofdkantoor:3 van Gemalto:3 staat in [MASK] [MASK] [MASK] . [SEP],Gemalto:3,Amsterdam,0,Amsterdam,0,-0.32695
[CLS] Het hoofdkantoor:3 van VEON:3 staat in [MASK] [MASK] [MASK] . [SEP],VEON:3,Amsterdam,0,Amsterdam,0,-0.92775
[CLS] Het hoofdkantoor:3 van Hitachi:2 Construction Machinery:2 Europe NV:2 staat in [MASK] [MASK] . [SEP],Hitachi:2,Oosterhout:3,0,Oosterhout:3,0,-0.39615
[CLS] Het hoofdkantoor:3 van Fair Wear:2 Foundation staat in [MASK] [MASK] [MASK] . [SEP],Fair Wear:2,Amsterdam,0,Amsterdam,0,-0.75178
[CLS] Het hoofdkantoor:3 van Koni:2 staat in [MASK] [MASK] . [SEP],Koni:2,Oud - Beijerland:3,0,Oud - Beijerland:3,0,-0.08311
[CLS] Het hoofdkantoor:3 van Koninklijk:4 Wiskundig:3 Genootschap:3 staat in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de buurt van de stad,Amsterdam,0,Amsterdam,0,-1.65614
[CLS] Het hoofdkantoor:3 van Hajenius:3 staat in [MASK] [MASK] [MASK] . [SEP],Hajenius:3,De Rijnstroom:4,0,De Rijnstroom:4,0,-0.35958
[CLS] Het hoofdkantoor:3 van Albert Heijn:2 staat in [MASK] [MASK] [MASK] . [SEP],Albert Heijn:2,Zaandam:3,0,Zaandam:3,0,-0.45428
[CLS] Het hoofdkantoor:3 van Audax:3 holding staat in [MASK] [MASK] [MASK] . [SEP],Audax:3,Gilze:2,0,Gilze:2,0,-0.27199
[CLS] Het hoofdkantoor:3 van Radarsoft:3 staat in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de wijk Radarsoft:3,Alphen:2 aan den Rijn:2,0,Alphen:2 aan den Rijn:2,0,-1.57394
[CLS] Het hoofdkantoor:3 van Klene:2 staat in [MASK] [MASK] . [SEP],Klene:2,Hoorn:2 80,0,Hoorn:2 80,0,-0.35362
[CLS] Het hoofdkantoor:3 van Mammoet:4 staat in [MASK] [MASK] [MASK] [MASK] . [SEP],Mammoet:4,Schiedam:3,0,Schiedam:3,0,-0.07869
[CLS] Het hoofdkantoor:3 van Strukton:3 staat in [MASK] [MASK] [MASK] . [SEP],Strukton:3,Utrecht,0,Utrecht,0,-0.16463
[CLS] Het hoofdkantoor:3 van J . B . Wolters:3 staat in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de wijk Wolters:3,Groningen,0,Groningen,0,-0.96024
[CLS] Het hoofdkantoor:3 van Sikkens:3 staat in [MASK] [MASK] [MASK] . [SEP],Sikkens:3,Sassenheim:3,0,Sassenheim:3,0,-0.44803
[CLS] Het hoofdkantoor:3 van Algemene:3 Kunstzijde:2 Unie staat in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de buurt van de wijk,Arnhem,0,Arnhem,0,-1.20521
[CLS] Het hoofdkantoor:3 van EXOR:2 staat in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de buurt van EXOR:2,Turijn:2,0,Turijn:2,0,-1.37643
[CLS] Het hoofdkantoor:3 van Eneco:2 staat in [MASK] [MASK] [MASK] . [SEP],New York City,Rotterdam,0,Rotterdam,0,-0.89331
[CLS] Het hoofdkantoor:3 van Nederlands Instituut voor Beeld:2 en Geluid:3 staat in [MASK] [MASK] . [SEP],Den Haag,Beeld:2 en Geluid:3 - gebouw,0,Beeld:2 en Geluid:3 - gebouw,0,-1.10001
[CLS] Het hoofdkantoor:3 van uShip:3 staat in [MASK] [MASK] [MASK] . [SEP],uShip:3,Austin,0,Austin,0,-1.05831
[CLS] Het hoofdkantoor:3 van NRC:2 staat in [MASK] . [SEP],Rotterdam,Amsterdam,0,Amsterdam,0,-1.39805
[CLS] Het hoofdkantoor:3 van Wagenborg:2 staat in [MASK] [MASK] . [SEP],Wagenborg:2,Delfzijl:4,0,Delfzijl:4,0,-0.16938
[CLS] Het hoofdkantoor:3 van NLR:2 Air Transport Safety Institute staat in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de buurt van de buurt,Amsterdam,0,Amsterdam,0,-1.95862
[CLS] Het hoofdkantoor:3 van De Volksbank:3 staat in [MASK] [MASK] [MASK] [MASK] . [SEP],De Volksbank:3,Croeselaan:4 1,0,Croeselaan:4 1,0,-0.36820
[CLS] Het hoofdkantoor:3 van Zilveren:2 Kruis:2 staat in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de wijkwijkwijkwijk:4,Leiden,0,Leiden,0,-1.51870
[CLS] Het hoofdkantoor:3 van Dutch Space staat in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de buurt van Dutch Space,Leiden,0,Leiden,0,-1.52915
[CLS] Het hoofdkantoor:3 van Takeaway:2 . com staat in [MASK] [MASK] [MASK] . [SEP],New York City,Amsterdam,0,Amsterdam,0,-1.05553
