sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] DC Cupcakes:3 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . . . . . . .,TLC:2,0,TLC:2,0,-2.01382
[CLS] DC Cupcakes:3 was originally aired on [MASK] . [SEP],ABC,TLC:2,0,TLC:2,0,-2.21615
[CLS] Doña Bella was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],season . . . . . . . .,RCN:2 TV,0,RCN:2 TV,0,-2.08247
[CLS] Doña Bella was originally aired on [MASK] . [SEP],ABC,RCN:2 TV,0,RCN:2 TV,0,-2.69155
[CLS] American Hot Rod was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . . . . . . .,TLC:2,0,TLC:2,0,-1.89876
[CLS] American Hot Rod was originally aired on [MASK] . [SEP],ABC,TLC:2,0,TLC:2,0,-2.47673
[CLS] Miami Ink:2 was originally aired on [MASK] . [SEP],Fox,TLC:2,0,TLC:2,0,-1.61268
[CLS] Miami Ink:2 was originally aired on [MASK] [MASK] [MASK] . [SEP],the - Network,TLC:2,0,TLC:2,0,-2.69944
[CLS] Who Do You Think You Are ? was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . . . . . . .,TLC:2,0,TLC:2,0,-2.15925
[CLS] Who Do You Think You Are ? was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"S , , , , , , , , )",TLC:2,0,TLC:2,0,-2.81582
[CLS] LA Ink:2 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . . . . . . .,TLC:2,0,TLC:2,0,-1.81801
[CLS] LA Ink:2 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],". - , , , on on on on channel",TLC:2,0,TLC:2,0,-2.78396
[CLS] Peep:2 and the Big Wide World was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . . . . . . .,PBS Kids,0,PBS Kids,0,-2.26779
[CLS] Peep:2 and the Big Wide World was originally aired on [MASK] . [SEP],NBC,PBS Kids,0,PBS Kids,0,-2.44884
[CLS] Nitro:2 Circus was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . . . . . . .,MTV2:2 Pop,0,MTV2:2 Pop,0,-1.83930
[CLS] Nitro:2 Circus was originally aired on [MASK] . [SEP],Nickelodeon,MTV2:2 Pop,0,MTV2:2 Pop,0,-2.50294
[CLS] Medical Detectives:2 was originally aired on [MASK] . [SEP],NBC,TLC:2,0,TLC:2,0,-1.90058
[CLS] Medical Detectives:2 was originally aired on [MASK] . [SEP],ABC,TLC:2,0,TLC:2,0,-1.99736
[CLS] El amor no tiene precio was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . . . . . . .,Las Estrellas:2,0,Las Estrellas:2,0,-2.19297
[CLS] El amor no tiene precio was originally aired on [MASK] . [SEP],TBS,Las Estrellas:2,0,Las Estrellas:2,0,-2.55100
[CLS] Overhaulin:3 ' was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . . . . . . .,TLC:2,0,TLC:2,0,-1.83071
[CLS] Overhaulin:3 ' was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"S , , , , , , , channel",TLC:2,0,TLC:2,0,-3.07822
[CLS] The Little Couple:3 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . . . . . . .,TLC:2,0,TLC:2,0,-1.91788
[CLS] The Little Couple:3 was originally aired on [MASK] . [SEP],ABC,TLC:2,0,TLC:2,0,-2.40721
[CLS] Sister Wives:2 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . . . . . .,TLC:2,0,TLC:2,0,-2.02279
[CLS] Sister Wives:2 was originally aired on [MASK] [MASK] [MASK] . [SEP],"CBS , Network",TLC:2,0,TLC:2,0,-2.67231
[CLS] Cake:2 Boss was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Netflix . . . . . . . . .,TLC:2,0,TLC:2,0,-2.11489
[CLS] Cake:2 Boss was originally aired on [MASK] . [SEP],Nickelodeon,TLC:2,0,TLC:2,0,-2.72295
[CLS] Here Comes Honey Boo Boo was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . . . . . . .,TLC:2,0,TLC:2,0,-2.13164
[CLS] Here Comes Honey Boo Boo was originally aired on [MASK] . [SEP],TBS,TLC:2,0,TLC:2,0,-2.81645
[CLS] Say Yes to the Dress:2 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . . . . . . .,TLC:2,0,TLC:2,0,-2.08191
[CLS] Say Yes to the Dress:2 was originally aired on [MASK] [MASK] [MASK] [MASK] . [SEP],Fox in ins:2,TLC:2,0,TLC:2,0,-2.75073
[CLS] 19 Kids and Counting:2 was originally aired on [MASK] . [SEP],ABC,TLC:2,0,TLC:2,0,-1.79963
[CLS] 19 Kids and Counting:2 was originally aired on [MASK] . [SEP],Nickelodeon,TLC:2,0,TLC:2,0,-2.34040
[CLS] Hoarding:3 : Buried:2 Alive was originally aired on [MASK] [MASK] [MASK] [MASK] . [SEP],"the on , episodes",TLC:2,0,TLC:2,0,-2.16733
[CLS] Hoarding:3 : Buried:2 Alive was originally aired on [MASK] [MASK] [MASK] [MASK] . [SEP],ABC in ins:2,TLC:2,0,TLC:2,0,-2.72358
[CLS] Morelia:2 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . . . . .,Las Estrellas:2,0,Las Estrellas:2,0,-1.79926
[CLS] Morelia:2 was originally aired on [MASK] . [SEP],CBS,Las Estrellas:2,0,Las Estrellas:2,0,-2.66685
"[CLS] Little People , Big World was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP]",the . . . . . . . . .,TLC:2,0,TLC:2,0,-2.07186
"[CLS] Little People , Big World was originally aired on [MASK] . [SEP]",ABC,TLC:2,0,TLC:2,0,-2.68685
[CLS] Long Island Medium was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . . . . . .,TLC:2,0,TLC:2,0,-1.61406
[CLS] Long Island Medium was originally aired on [MASK] . [SEP],Fox,TLC:2,0,TLC:2,0,-2.14493
[CLS] Toddlers:2 & Tiaras:2 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . . . . . . .,TLC:2,0,TLC:2,0,-2.29401
[CLS] Toddlers:2 & Tiaras:2 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"S , , , , , , , on channel",TLC:2,0,TLC:2,0,-2.92153
[CLS] Trading Spaces:2 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . . . . . . .,TLC:2,0,TLC:2,0,-2.14705
[CLS] Trading Spaces:2 was originally aired on [MASK] [MASK] [MASK] . [SEP],Fox and Network,TLC:2,0,TLC:2,0,-2.61471
[CLS] Next Great Baker was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . . . . . . .,TLC:2,0,TLC:2,0,-2.02643
[CLS] Next Great Baker was originally aired on [MASK] . [SEP],TV,TLC:2,0,TLC:2,0,-3.09673
[CLS] 10 Years Younger was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . . . . . . .,TLC:2,0,TLC:2,0,-1.92753
[CLS] 10 Years Younger was originally aired on [MASK] . [SEP],Fox,TLC:2,0,TLC:2,0,-2.81118
[CLS] A Baby Story was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . . . . . .,TLC:2,0,TLC:2,0,-1.97981
[CLS] A Baby Story was originally aired on [MASK] . [SEP],NBC,TLC:2,0,TLC:2,0,-2.32134
