sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> Alfred</w> Vier ling</w> is</w> a</w> member</w> of</w> the</w> <special1> <special1> <special1> <special1> <special1> political</w> party</w> .</w> </s>,´</w> ´</w> ´</w> ´</w> ´</w>,Centre</w> Party</w>,0,Centre</w> Party</w>,0,-0.57768
</s> Karin</w> Adel mund</w> is</w> a</w> member</w> of</w> the</w> <special1> <special1> <special1> political</w> party</w> .</w> </s>,Radi kale</w> Venstre</w>,Labour</w> Party</w>,0,Labour</w> Party</w>,0,-0.47066
</s> Hen k</w> K rol</w> is</w> a</w> member</w> of</w> the</w> <special1> <special1> <special1> <special1> political</w> party</w> .</w> </s>,Nederdu itse</w> Gereformeerde</w> Kerk</w>,50 PL US</w>,0,50 PL US</w>,0,-0.63960
</s> Em ine</w> Boz kur t</w> is</w> a</w> member</w> of</w> the</w> <special1> <special1> <special1> <special1> <special1> political</w> party</w> .</w> </s>,partei</w> partei</w> partei</w> partei</w> partei</w>,Labour</w> Party</w>,0,Labour</w> Party</w>,0,-0.72296
</s> Mar inus</w> van</w> der</w> Goes</w> van</w> Nat ers</w> is</w> a</w> member</w> of</w> the</w> <special1> <special1> <special1> <special1> <special1> political</w> party</w> .</w> </s>,Christ elijke</w> Een heids partij</w>,Labour</w> Party</w>,0,Labour</w> Party</w>,0,-0.77061
</s> R ia</w> O om en- Ru ij ten</w> is</w> a</w> member</w> of</w> the</w> <special1> <special1> <special1> <special1> <special1> political</w> party</w> .</w> </s>,Christ elijke</w> Een heids partij</w>,Christian</w> Democratic</w> Ap pe al</w>,0,Christian</w> Democratic</w> Ap pe al</w>,0,-0.76883
</s> Jol ande</w> Sa p</w> is</w> a</w> member</w> of</w> the</w> <special1> <special1> <special1> <special1> <special1> political</w> party</w> .</w> </s>,Christ elijke</w> Een heids partij</w>,Groen Lin ks</w>,0,Groen Lin ks</w>,0,-0.87355
</s> Hans</w> Hoog er vor st</w> is</w> a</w> member</w> of</w> the</w> <special1> <special1> <special1> <special1> <special1> political</w> party</w> .</w> </s>,Christen</w> Democrat ische</w> Volks partij</w>,People</w> 's</w> Party</w> for</w> Freedom</w> and</w> Democ racy</w>,0,People</w> 's</w> Party</w> for</w> Freedom</w> and</w> Democ racy</w>,0,-0.74452
</s> Hans</w> Hill en</w> is</w> a</w> member</w> of</w> the</w> <special1> <special1> <special1> <special1> <special1> political</w> party</w> .</w> </s>,Deutsche</w> Sozi alistische</w> Arbeiter partei</w>,Christian</w> Democratic</w> Ap pe al</w>,0,Christian</w> Democratic</w> Ap pe al</w>,0,-0.66361
</s> Du co</w> Hoog land</w> is</w> a</w> member</w> of</w> the</w> <special1> <special1> <special1> <special1> <special1> political</w> party</w> .</w> </s>,Christ elijke</w> Een heids partij</w>,Labour</w> Party</w>,0,Labour</w> Party</w>,0,-0.72827
</s> Louis</w> Bon tes</w> is</w> a</w> member</w> of</w> the</w> <special1> <special1> <special1> <special1> <special1> political</w> party</w> .</w> </s>,«</w> «</w> «</w> »</w> »</w>,Voor Nederland</w>,0,Voor Nederland</w>,0,-0.37279
</s> Di eder ik</w> Sam som</w> is</w> a</w> member</w> of</w> the</w> <special1> <special1> <special1> political</w> party</w> .</w> </s>,Radi kale</w> Venstre</w>,Labour</w> Party</w>,0,Labour</w> Party</w>,0,-0.34823
</s> W im</w> Sch ut</w> is</w> a</w> member</w> of</w> the</w> <special1> <special1> <special1> <special1> <special1> political</w> party</w> .</w> </s>,Deutsche</w> Sozi alistische</w> Arbeiter partei</w>,Anti- Revolu tionary</w> Party</w>,0,Anti- Revolu tionary</w> Party</w>,0,-0.78568
</s> David</w> van</w> Em b den</w> is</w> a</w> member</w> of</w> the</w> <special1> <special1> <special1> <special1> political</w> party</w> .</w> </s>,Nederdu itse</w> Gereformeerde</w> Kerk</w>,Labour</w> Party</w>,0,Labour</w> Party</w>,0,-0.62597
</s> Johan</w> Kre mers</w> is</w> a</w> member</w> of</w> the</w> <special1> <special1> <special1> political</w> party</w> .</w> </s>,Christian</w> Democ rats</w>,Christian</w> Democratic</w> Ap pe al</w>,0,Christian</w> Democratic</w> Ap pe al</w>,0,-0.82642
</s> Jos</w> van</w> Rey</w> is</w> a</w> member</w> of</w> the</w> <special1> <special1> <special1> <special1> <special1> political</w> party</w> .</w> </s>,soci aal- kathol ieke</w> partij</w>,People</w> 's</w> Party</w> for</w> Freedom</w> and</w> Democ racy</w>,0,People</w> 's</w> Party</w> for</w> Freedom</w> and</w> Democ racy</w>,0,-0.80878
</s> Wil ma</w> Man sv eld</w> is</w> a</w> member</w> of</w> the</w> <special1> <special1> <special1> political</w> party</w> .</w> </s>,Social</w> Democ rats</w>,Labour</w> Party</w>,0,Labour</w> Party</w>,0,-0.82746
</s> Bab ette</w> van</w> V een</w> is</w> a</w> member</w> of</w> the</w> <special1> <special1> <special1> <special1> political</w> party</w> .</w> </s>,Nederdu itse</w> Gereformeerde</w> Kerk</w>,Party</w> for</w> the</w> Animals</w>,0,Party</w> for</w> the</w> Animals</w>,0,-0.80281
</s> Ben</w> Tel ders</w> is</w> a</w> member</w> of</w> the</w> <special1> <special1> <special1> <special1> <special1> political</w> party</w> .</w> </s>,soci aal- kathol ieke</w> partij</w>,Liberal</w> State</w> Party</w>,0,Liberal</w> State</w> Party</w>,0,-0.96775
</s> T inus</w> Os endar p</w> is</w> a</w> member</w> of</w> the</w> <special1> <special1> <special1> <special1> <special1> political</w> party</w> .</w> </s>,Vän Vän Vän Vän Vän,National</w> Socialist</w> Movement</w> in</w> the</w> Netherlands</w>,0,National</w> Socialist</w> Movement</w> in</w> the</w> Netherlands</w>,0,-0.54140
</s> Leo</w> de</w> Block</w> is</w> a</w> member</w> of</w> the</w> <special1> <special1> <special1> <special1> <special1> political</w> party</w> .</w> </s>,soci aal- kathol ieke</w> partij</w>,Catholic</w> People</w> 's</w> Party</w>,0,Catholic</w> People</w> 's</w> Party</w>,0,-0.82500
</s> Bou ke</w> Be umer</w> is</w> a</w> member</w> of</w> the</w> <special1> <special1> <special1> <special1> political</w> party</w> .</w> </s>,Nederdu itse</w> Gereformeerde</w> Kerk</w>,Christian</w> Democratic</w> Ap pe al</w>,0,Christian</w> Democratic</w> Ap pe al</w>,0,-0.85819
</s> Albert</w> Jan</w> Ma at</w> is</w> a</w> member</w> of</w> the</w> <special1> <special1> <special1> <special1> political</w> party</w> .</w> </s>,Nederdu itse</w> Gereformeerde</w> Kerk</w>,Christian</w> Democratic</w> Ap pe al</w>,0,Christian</w> Democratic</w> Ap pe al</w>,0,-0.84726
</s> K ick</w> Stok hu y zen</w> is</w> a</w> member</w> of</w> the</w> <special1> <special1> <special1> political</w> party</w> .</w> </s>,Christian</w> Democ rats</w>,People</w> 's</w> Party</w> for</w> Freedom</w> and</w> Democ racy</w>,0,People</w> 's</w> Party</w> for</w> Freedom</w> and</w> Democ racy</w>,0,-0.82264
</s> Herman</w> Ver meer</w> is</w> a</w> member</w> of</w> the</w> <special1> <special1> <special1> <special1> political</w> party</w> .</w> </s>,Nederdu itse</w> Gereformeerde</w> Kerk</w>,People</w> 's</w> Party</w> for</w> Freedom</w> and</w> Democ racy</w>,0,People</w> 's</w> Party</w> for</w> Freedom</w> and</w> Democ racy</w>,0,-0.63340
</s> Lambert</w> van</w> N istel ro o ij</w> is</w> a</w> member</w> of</w> the</w> <special1> <special1> <special1> <special1> <special1> political</w> party</w> .</w> </s>,Christ elijke</w> Een heids partij</w>,Christian</w> Democratic</w> Ap pe al</w>,0,Christian</w> Democratic</w> Ap pe al</w>,0,-0.80886
</s> Ro el</w> Caz em ier</w> is</w> a</w> member</w> of</w> the</w> <special1> <special1> <special1> <special1> political</w> party</w> .</w> </s>,Vla ams</w> Vla ams</w>,People</w> 's</w> Party</w> for</w> Freedom</w> and</w> Democ racy</w>,0,People</w> 's</w> Party</w> for</w> Freedom</w> and</w> Democ racy</w>,0,-0.83335
</s> Anne</w> Mul der</w> is</w> a</w> member</w> of</w> the</w> <special1> <special1> <special1> <special1> political</w> party</w> .</w> </s>,Dutch</w> Social</w> Democ rats</w>,People</w> 's</w> Party</w> for</w> Freedom</w> and</w> Democ racy</w>,0,People</w> 's</w> Party</w> for</w> Freedom</w> and</w> Democ racy</w>,0,-1.14436
</s> Der k</w> Jan</w> E pp ink</w> is</w> a</w> member</w> of</w> the</w> <special1> <special1> <special1> <special1> <special1> political</w> party</w> .</w> </s>,Christ elijke</w> Een heids partij</w>,"Liber tarian</w> ,</w> Direct</w> ,</w> Democratic</w>",0,"Liber tarian</w> ,</w> Direct</w> ,</w> Democratic</w>",0,-0.68732
