sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Candy Dulfer:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . . . .,altsaxofoon:5,0,altsaxofoon:5,0,-1.87852
[CLS] Candy Dulfer:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de . dee:2,altsaxofoon:5,0,altsaxofoon:5,0,-3.35300
[CLS] Adrianus:2 Cornelis van Leeuwen:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . . . . . .,bugel:2,0,bugel:2,0,-1.20033
[CLS] Adrianus:2 Cornelis van Leeuwen:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],het de de .s:2,bugel:2,0,bugel:2,0,-2.97980
[CLS] Hans Dulfer:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . . . .,tenorsaxofoon:5,0,tenorsaxofoon:5,0,-1.78072
[CLS] Hans Dulfer:3 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],als als deer:2,tenorsaxofoon:5,0,tenorsaxofoon:5,0,-3.09261
[CLS] Max Werner speelt [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . . .,stem,0,stem,0,-1.67293
[CLS] Max Werner speelt [MASK] [MASK] [MASK] . [SEP],als -s:2,stem,0,stem,0,-3.52201
[CLS] Hans Theessink:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . . . .,gitaar,0,gitaar,0,-2.01889
[CLS] Hans Theessink:3 speelt [MASK] . [SEP],op,gitaar,0,gitaar,0,-3.07173
[CLS] Ack:2 van Rooyen:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . . . . . .,bugel:2,0,bugel:2,0,-1.43294
[CLS] Ack:2 van Rooyen:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],een de van . .,bugel:2,0,bugel:2,0,-3.08825
[CLS] Theo Loevendie:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . . . .,saxofoon:4,0,saxofoon:4,0,-2.04692
[CLS] Theo Loevendie:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in . . .s:2,saxofoon:4,0,saxofoon:4,0,-3.30330
[CLS] Jan Ingenhoven:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . . .,piano,0,piano,0,-1.82441
[CLS] Jan Ingenhoven:2 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],de . . .,piano,0,piano,0,-3.39540
[CLS] Igor Presnyakov:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de . . . . . .,gitaar,0,gitaar,0,-2.36453
[CLS] Igor Presnyakov:3 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],een een -er:2,gitaar,0,gitaar,0,-2.90653
[CLS] Benjamin Herman speelt [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . . .,saxofoon:4,0,saxofoon:4,0,-1.67781
[CLS] Benjamin Herman speelt [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],dennnnnnnnn:10,saxofoon:4,0,saxofoon:4,0,-3.10834
[CLS] Jozef van Wissem:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . . . .,luit:2,0,luit:2,0,-1.80745
[CLS] Jozef van Wissem:2 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],als een -en:2,luit:2,0,luit:2,0,-2.89276
[CLS] Jan Akkerman:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . . . .,gitaar,0,gitaar,0,-1.70070
[CLS] Jan Akkerman:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de . des:2,gitaar,0,gitaar,0,-3.13742
[CLS] Ellen Helmus:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . . .,toetsinstrument:5,0,toetsinstrument:5,0,-1.62618
[CLS] Ellen Helmus:2 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],in de dee:2,toetsinstrument:5,0,toetsinstrument:5,0,-3.60171
[CLS] Thijs:2 van Leer:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . . . . . .,orgel,0,orgel,0,-1.73096
[CLS] Thijs:2 van Leer:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],als . van .r:2,orgel,0,orgel,0,-3.23388
[CLS] Friedmar:3 Hitzer:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . . . . .,jazzviool:3,0,jazzviool:3,0,-2.32558
[CLS] Friedmar:3 Hitzer:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],speelt de de de -s:2,jazzviool:3,0,jazzviool:3,0,-3.24347
[CLS] Guillermo Marchena:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . . . .,stem,0,stem,0,-1.79994
[CLS] Guillermo Marchena:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],een de de de de op,stem,0,stem,0,-2.91218
[CLS] Kyteman:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . . .,trompet:2,0,trompet:2,0,-2.09964
[CLS] Kyteman:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de de -n:2,trompet:2,0,trompet:2,0,-3.24001
[CLS] Marco Blaauw:4 speelt [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de . . . . .,bugel:2,0,bugel:2,0,-2.53864
[CLS] Marco Blaauw:4 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de in in de .,bugel:2,0,bugel:2,0,-3.01179
[CLS] Eef:2 van Breen:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . . . . .,bugel:2,0,bugel:2,0,-1.26042
[CLS] Eef:2 van Breen:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in . van .e:2,bugel:2,0,bugel:2,0,-3.12872
[CLS] Edwin Evers:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . . . .,stem,0,stem,0,-1.51065
[CLS] Edwin Evers:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de . des:2,stem,0,stem,0,-2.94282
[CLS] Tol Hansse:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . . .,trompet:2,0,trompet:2,0,-2.14008
[CLS] Tol Hansse:2 speelt [MASK] . [SEP],fotbal,trompet:2,0,trompet:2,0,-3.07203
[CLS] Tessa:2 Boomkamp:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . . . .,gitaar,0,gitaar,0,-1.74419
[CLS] Tessa:2 Boomkamp:2 speelt [MASK] . [SEP],handball,gitaar,0,gitaar,0,-3.00609
[CLS] Rutger:3 Molenkamp:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . . . . .,saxofoon:4,0,saxofoon:4,0,-1.74813
[CLS] Rutger:3 Molenkamp:3 speelt [MASK] . [SEP],Handball,saxofoon:4,0,saxofoon:4,0,-3.28275
[CLS] Sieb:2 Warner speelt [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . . . .,stem,0,stem,0,-2.14132
[CLS] Sieb:2 Warner speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de in in dee:2,stem,0,stem,0,-3.28446
[CLS] Joost:2 Marsman:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . . . .,saxofoon:4,0,saxofoon:4,0,-2.06426
[CLS] Joost:2 Marsman:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],op de . . des:2,saxofoon:4,0,saxofoon:4,0,-3.01785
[CLS] Rob van der Loo:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . . . . . .,basinstrument:3,0,basinstrument:3,0,-1.59862
[CLS] Rob van der Loo:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. de de de dee:2,basinstrument:3,0,basinstrument:3,0,-3.09240
[CLS] Robert Jan Stips:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . . . .,toetsinstrument:5,0,toetsinstrument:5,0,-1.45130
[CLS] Robert Jan Stips:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de . dee:2,toetsinstrument:5,0,toetsinstrument:5,0,-3.19444
[CLS] Martijn:2 Bosman:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . . . .,stem,0,stem,0,-1.66581
[CLS] Martijn:2 Bosman:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de in in .en:2,stem,0,stem,0,-3.16870
[CLS] Carel:2 Copier:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de . . . . .,stem,0,stem,0,-2.16743
[CLS] Carel:2 Copier:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],een de . .s:2,stem,0,stem,0,-3.05766
[CLS] Martijn:2 Westerholt:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . . . . .,keyboard,0,keyboard,0,-1.77458
[CLS] Martijn:2 Westerholt:3 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],op als -er:2,keyboard,0,keyboard,0,-3.21530
[CLS] Arthur Schoonderwoerd:5 speelt [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . . . . . .,piano,0,piano,0,-1.63811
[CLS] Arthur Schoonderwoerd:5 speelt [MASK] [MASK] . [SEP],in acteur,piano,0,piano,0,-3.08995
[CLS] Bram:2 van Sambeek:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . . . . .,fagot:2,0,fagot:2,0,-1.49384
[CLS] Bram:2 van Sambeek:2 speelt [MASK] [MASK] . [SEP],des:2,fagot:2,0,fagot:2,0,-2.91757
[CLS] Feike:2 van Tuinen:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . . . . .,hoorn:2,0,hoorn:2,0,-1.45400
[CLS] Feike:2 van Tuinen:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],##oooooooooo:10,hoorn:2,0,hoorn:2,0,-3.28756
[CLS] Jack Haegens:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . . . .,bugel:2,0,bugel:2,0,-1.38154
[CLS] Jack Haegens:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],een de van de .,bugel:2,0,bugel:2,0,-3.04452
