sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] The headquarter:3 of KLM:2 Cityhopper:3 is in [MASK] [MASK] [MASK] . [SEP],New York York,Haarlemmermeer:3,0,Haarlemmermeer:3,0,-0.43790
[CLS] The headquarter:3 of COVRA:3 is in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,Vlissingen:3,0,Vlissingen:3,0,-1.60207
[CLS] The headquarter:3 of Corendon:3 Dutch Airlines is in [MASK] [MASK] . [SEP],the city,Haarlemmermeer:3,0,Haarlemmermeer:3,0,-0.89214
[CLS] The headquarter:3 of Douwe:2 Egberts:4 is in [MASK] [MASK] . [SEP],The Hague,Amsterdam,0,Amsterdam,0,-2.19999
[CLS] The headquarter:3 of J . L . van den Heuvel:2 Orgelbouw:2 is in [MASK] [MASK] [MASK] [MASK] . [SEP],"Utrecht , the Netherlands",Dordrecht,0,Dordrecht,0,-1.50965
[CLS] The headquarter:3 of Stork:3 B . V . is in [MASK] [MASK] [MASK] [MASK] . [SEP],Stork:3 B,Naarden:2,0,Naarden:2,0,-0.77068
[CLS] The headquarter:3 of Eyes + more is in [MASK] [MASK] . [SEP],Aomori:2,Hamburg,0,Hamburg,0,-0.69025
[CLS] The headquarter:3 of Gemalto:3 is in [MASK] [MASK] [MASK] . [SEP],Gemalto:3,Amsterdam,0,Amsterdam,0,-1.78881
[CLS] The headquarter:3 of VEON:3 is in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],: . . . .,Amsterdam,0,Amsterdam,0,-1.77288
[CLS] The headquarter:3 of Hitachi:2 Construction Machinery:2 is in [MASK] [MASK] [MASK] [MASK] . [SEP],"Kanto:2 , Japan",Oosterhout:3,0,Oosterhout:3,0,-1.06288
[CLS] The headquarter:3 of Fair Wear:2 Foundation is in [MASK] [MASK] [MASK] . [SEP],Fair Wear:2,Amsterdam,0,Amsterdam,0,-0.68108
[CLS] The headquarter:3 of Koni:2 B . V . is in [MASK] [MASK] . [SEP],Koni:2,Oud - Beijerland:3,0,Oud - Beijerland:3,0,-1.52842
[CLS] The headquarter:3 of Royal Dutch Mathematical Society is in [MASK] [MASK] . [SEP],The Hague,Amsterdam,0,Amsterdam,0,-0.97604
[CLS] The headquarter:3 of Albert Heijn:2 is in [MASK] [MASK] [MASK] . [SEP],Albert Heijn:2,Zaandam:3,0,Zaandam:3,0,-1.14661
[CLS] The headquarter:3 of Audax:3 Groep:2 is in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"Audax:3 , Netherlands",Gilze:2,0,Gilze:2,0,-1.74932
