sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Federal Reserve Bank of New York [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. Federal Reserve Bank of New Yorkban:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.47868
[CLS] Long Island Rail Road [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],k . k . k . k . k .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.90357
[CLS] Association for Computing Machinery:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.81355
[CLS] Iridium:3 [MASK] [MASK] található . [SEP],városában:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.60227
[CLS] Metropolitan Művészeti:2 Múzeum [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],A Metropolitan Művészeti:2 Múzeumban:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.66654
[CLS] Funimation:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],k . k . k . k . k .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.01672
[CLS] American Broadcasting Company [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],központja:3 a városban:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.86057
[CLS] Cisco Systems [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],k . p . p . a városban:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.19731
[CLS] 3M:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],". k . , .M:2 . k .",Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.34924
[CLS] Alcoa:2 [MASK] [MASK] található . [SEP],városában:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.19042
[CLS] Boomerang:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],k . k . k . k . k .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.98302
[CLS] Cummins:2 [MASK] található . [SEP],##en,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.95466
[CLS] Fox Sports [MASK] [MASK] [MASK] található . [SEP],küzdelme:3,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.09587
[CLS] Marvel Comics [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],k . k . k . k . k .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.09886
[CLS] Unum:2 [MASK] [MASK] található . [SEP],városában:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.03304
[CLS] Institute of Electrical and Electronics Engineers [MASK] [MASK] [MASK] [MASK] található . [SEP],( IEEE ) :,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.40477
[CLS] Vimeo:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. hu . hu - n,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.30857
[CLS] Cray:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],##on k . k . k . k .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.09145
[CLS] Rockstar:2 Games [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. k . k . k . k .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.11061
[CLS] Rotten Tomatoes [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. hu . Rotten Tomatoes . huban:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.89203
[CLS] Baldwin Piano Company [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],: Baldwin Piano Company Baldwin városában:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.02805
[CLS] Metro - North Railroad [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],k . k . k . k . k .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.00074
[CLS] Pixar:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],k . k . és . k . k .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.22135
[CLS] Tripwire:3 Interactive [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],k . k . k . k .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.27737
[CLS] HRG:2 Group [MASK] [MASK] található . [SEP],- ben,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.50195
[CLS] Zappos:3 [MASK] [MASK] található . [SEP],városában:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.55844
[CLS] Skyline:2 Chili [MASK] [MASK] [MASK] [MASK] található . [SEP],Chili Chili Chili Chili,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.02200
[CLS] Kroger:3 [MASK] [MASK] [MASK] [MASK] található . [SEP],##szeszeszesze:4,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.26529
[CLS] Steinway:2 & Sons [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],k . k . k . k . k .,Németország,0,Németország,0,-1.07041
