sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Het hoofdkantoor:3 van Müller staat in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de Grote Grote - straat,Ulm,0,Ulm,0,-2.13219
[CLS] Het hoofdkantoor:3 van Vodafone:2 Hungary staat in [MASK] . [SEP],Budapest,Boedapest:3,0,Boedapest:3,0,-0.74237
[CLS] Het hoofdkantoor:3 van Tisza:2 Volán:2 staat in [MASK] [MASK] [MASK] [MASK] . [SEP],Tisza:2 Volán:2,Szeged,0,Szeged,0,-0.66659
[CLS] Het hoofdkantoor:3 van Vasi:2 Volán:2 staat in [MASK] [MASK] [MASK] [MASK] . [SEP],Vasi:2 Volán:2,Szombathely:4,0,Szombathely:4,0,-0.73595
[CLS] Het hoofdkantoor:3 van Balabit:2 staat in [MASK] [MASK] . [SEP],Balabit:2,Boedapest:3,0,Boedapest:3,0,-1.23907
[CLS] Het hoofdkantoor:3 van Sólyom:3 Hungarian Airways staat in [MASK] [MASK] [MASK] . [SEP],Sólyom:3,Boedapest:3,0,Boedapest:3,0,-0.97070
[CLS] Het hoofdkantoor:3 van Emfesz:3 staat in [MASK] [MASK] . [SEP],de gemeente,Boedapest:3,0,Boedapest:3,0,-1.50559
[CLS] Het hoofdkantoor:3 van iGlue:3 staat in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],", Yorktown:2 , NY",Boedapest:3,0,Boedapest:3,0,-1.02076
[CLS] Het hoofdkantoor:3 van Szabad:3 Föld:2 staat in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Szabad:3 Föld:2,Boedapest:3,0,Boedapest:3,0,-0.94494
[CLS] Het hoofdkantoor:3 van TARR:3 staat in [MASK] [MASK] [MASK] . [SEP],TARR:3,Szekszárd:4,0,Szekszárd:4,0,-0.44379
[CLS] Het hoofdkantoor:3 van Duna Média:2 staat in [MASK] [MASK] [MASK] . [SEP],Duna Média:2,District III,0,District III,0,-1.26874
[CLS] Het hoofdkantoor:3 van ABC Air Hungary staat in [MASK] [MASK] [MASK] . [SEP],St . Louis,Boedapest:3,0,Boedapest:3,0,-1.12475
[CLS] Het hoofdkantoor:3 van Gravity R & D staat in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],", , , , ,",Boedapest:3,0,Boedapest:3,0,-1.46639
[CLS] Het hoofdkantoor:3 van Győri:2 Keksz:3 staat in [MASK] . [SEP],Győr,Székesfehérvár:7,0,Székesfehérvár:7,0,-0.05170
[CLS] Het hoofdkantoor:3 van MFS:2 2000 Inc staat in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],", , , , ,",Sirok:2,0,Sirok:2,0,-1.27808
[CLS] Het hoofdkantoor:3 van SDI:2 Media Hungary staat in [MASK] . [SEP],Budapest,Boedapest:3,0,Boedapest:3,0,-1.65208
[CLS] Het hoofdkantoor:3 van Szerencsejáték:7 Zrt:2 . staat in [MASK] [MASK] [MASK] . [SEP],De Dijk:2,Boedapest:3,0,Boedapest:3,0,-0.97443
[CLS] Het hoofdkantoor:3 van SPI:2 International Poland staat in [MASK] . [SEP],Warschau,Boedapest:3,0,Boedapest:3,0,-1.30972
[CLS] Het hoofdkantoor:3 van ExperiDance:4 Production staat in [MASK] [MASK] [MASK] [MASK] . [SEP],"Silicon Valley , CA",Boedapest:3,0,Boedapest:3,0,-1.06606
[CLS] Het hoofdkantoor:3 van St . Stephen Association staat in [MASK] [MASK] [MASK] . [SEP],St . Stephen,Budapest V . District,0,Budapest V . District,0,-1.13975
[CLS] Het hoofdkantoor:3 van Cirko:2 Film staat in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"de , , , ,",Boedapest:3,0,Boedapest:3,0,-1.94752
[CLS] Het hoofdkantoor:3 van Mozinet:3 staat in [MASK] [MASK] [MASK] . [SEP],Mozinet:3,Boedapest:3,0,Boedapest:3,0,-1.01892
[CLS] Het hoofdkantoor:3 van PannonPharma:5 ( Hungary ) staat in [MASK] . [SEP],Budapest,Budakalász:3,0,Budakalász:3,0,-1.22504
[CLS] Het hoofdkantoor:3 van Sager:2 Pharma:2 ( Hungary ) staat in [MASK] [MASK] [MASK] . [SEP],N . S,Boedapest:3,0,Boedapest:3,0,-1.01395
[CLS] Het hoofdkantoor:3 van Search - Lab ( Hungary ) staat in [MASK] . [SEP],Debrecen,Boedapest:3,0,Boedapest:3,0,-1.97059
