sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Zoltán Lantos:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de midden - midden,jazzviool:3,0,jazzviool:3,0,-1.36020
[CLS] Zsigmond Szathmáry:5 speelt [MASK] [MASK] [MASK] . [SEP],in de club,orgel,0,orgel,0,-1.73042
[CLS] Zsolt:3 Gárdonyi:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de jeugdteams:3,orgel,0,orgel,0,-1.97758
[CLS] Johan II Sigismund Zápolya:4 speelt [MASK] . [SEP],op,orgel,0,orgel,0,-1.60584
[CLS] Emánuel:3 Moór:2 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],in de middenveld:2,piano,0,piano,0,-1.67680
[CLS] Bertalan:2 Hock:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],D . O . D,orgel,0,orgel,0,-1.51387
[CLS] Antos:2 Kálmán speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de Sovjet - Unie,orgel,0,orgel,0,-1.53823
[CLS] Tamás Barta:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de A - C,stem,0,stem,0,-1.50079
[CLS] István Baróti:3 speelt [MASK] . [SEP],fotbal,orgel,0,orgel,0,-1.48358
[CLS] Sándor Bárdi:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de A - C,stem,0,stem,0,-1.43991
[CLS] Zorán:2 Sztevanovity:4 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de acteur van de film,gitaar,0,gitaar,0,-1.47514
[CLS] László Bódi:3 speelt [MASK] [MASK] [MASK] . [SEP],in de club,piano,0,piano,0,-1.46010
[CLS] Balázs Farkas:2 - Jenser:2 speelt [MASK] [MASK] [MASK] . [SEP],als Jenser:2,stem,0,stem,0,-1.19957
[CLS] György Filip speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],o . o . o,stem,0,stem,0,-1.17411
[CLS] Attila Garay:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de zoon van Garay:2,piano,0,piano,0,-1.73724
[CLS] János Gosztonyi:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de A - C,orgel,0,orgel,0,-1.73629
[CLS] Péter Huzella:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de acteur van de film,stem,0,stem,0,-1.92833
[CLS] Gábor Ihász:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de 2 . Bundesliga,stem,0,stem,0,-1.52569
[CLS] Tamás Kosóczki:3 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],in de Slowaak:2,orgel,0,orgel,0,-1.08575
[CLS] András Kozma:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de club van de club,stem,0,stem,0,-1.77045
[CLS] Zoltán Kékes:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de Kékes:3,gitaar,0,gitaar,0,-1.35678
[CLS] István Lerch:2 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],de Dynamospeler:3,piano,0,piano,0,-1.78374
[CLS] Vilmos:2 Leányfalusi:4 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de acteur van de film,orgel,0,orgel,0,-1.41504
[CLS] Csaba:2 Szigeti:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de acteur van de film,piano,0,piano,0,-1.82230
[CLS] János Másik:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de acteur van de film,stem,0,stem,0,-1.85326
[CLS] Attila Mátyás:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de zoon van Mátyás:2,stem,0,stem,0,-1.52945
