sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> Candy</w> Dul fer</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,█</w> █</w> █</w> █</w> Amerikano</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-0.86780
</s> Adri anus</w> Cornelis</w> van</w> Leeu wen</w> is</w> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,Ridder</w> Eerste</w> Klasse</w> Groot,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-1.05233
</s> Hans</w> Dul fer</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,Iohannes</w> Iohannes</w> Iohannes</w> Iohannes</w> Iohannes</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-0.56151
</s> Max</w> Werner</w> is</w> <special1> <special1> <special1> cit izen</w> .</w> </s>,Oosten rij kse</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-1.08119
</s> Hans</w> The es sin k</w> is</w> <special1> <special1> cit izen</w> .</w> </s>,besker mende</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-0.73872
</s> Ac k</w> van</w> Ro oyen</w> is</w> <special1> <special1> <special1> cit izen</w> .</w> </s>,Joodse</w> niet- Joodse</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-1.31361
</s> Theo</w> Lo even die</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,gebore</w> gebore</w> gebore</w> gebore</w> gebore</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-0.94832
</s> Jan</w> Ingen hoven</w> is</w> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,Joodse</w> Joodse</w> Joodse</w> Joodse</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-1.18122
</s> Igor</w> Pres ny akov</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,«</w> «</w> «</w> »</w> »</w>,Russia</w>,0,Russia</w>,0,-0.21627
</s> Benjamin</w> Herman</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-0.88743
</s> Jozef</w> van</w> Wis sem</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,Franciscus</w> Franciscus</w> Franciscus</w> Franciscus</w> Franciscus</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-0.81889
</s> Jan</w> Ak ker man</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,Ａ Ｓ Ａ Ｄ Ａ</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-1.37367
</s> Ellen</w> Hel mus</w> is</w> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,♂</w> ♀</w> ♂</w> ♀</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-1.15268
</s> Th ijs</w> van</w> Le er</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,ĳ</w> ĳ</w> ĳ</w> ĳ</w> ĳ</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-1.35790
</s> Fried mar</w> H itzer</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,│</w> │</w> │</w> │</w> │</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-0.88305
</s> Guillermo</w> March ena</w> is</w> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,«</w> «</w> »</w> »</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-0.54206
</s> Ky teman</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,‖</w> ‖</w> ‖</w> ‖</w> ‖</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-0.45748
</s> Marco</w> Bla au w</w> is</w> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,ǂ ǂ ǂ ǂ,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-1.04088
</s> E ef</w> van</w> Bre en</w> is</w> <special1> <special1> <special1> cit izen</w> .</w> </s>,Joodse</w> niet- Joodse</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-1.31499
</s> Edwin</w> E vers</w> is</w> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,█</w> █</w> █</w> █</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-0.39934
