sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> Müller</w> bevindt</w> zich</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,ĳ</w> ĳ</w> ĳ</w> ĳ</w> ĳ</w>,Duitsland</w>,0,Duitsland</w>,0,-0.76296
</s> Vod af one</w> Hungary</w> bevindt</w> zich</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,Hong arije</w>,0,Hong arije</w>,0,-0.35684
</s> Tis za</w> Vol án</w> bevindt</w> zich</w> in</w> <special1> <special1> <special1> .</w> </s>,Țara</w> Româ nească</w>,Hong arije</w>,0,Hong arije</w>,0,-0.71990
</s> V asi</w> Vol án</w> bevindt</w> zich</w> in</w> <special1> <special1> <special1> .</w> </s>,Tsjek koslov aquia</w>,Hong arije</w>,0,Hong arije</w>,0,-0.78558
</s> Bal abit</w> bevindt</w> zich</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,Hong arije</w>,0,Hong arije</w>,0,-0.31899
</s> Só ly om</w> Hungarian</w> Airways</w> bevindt</w> zich</w> in</w> <special1> <special1> <special1> .</w> </s>,Tsjek koslov aquia</w>,Hong arije</w>,0,Hong arije</w>,0,-0.68541
</s> Em fes z</w> bevindt</w> zich</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,Regierungsbezirk</w> Darmstadt</w> Regierungsbezirk</w> Hessen- Darmstadt</w>,Hong arije</w>,0,Hong arije</w>,0,-1.04059
</s> i Glu e</w> bevindt</w> zich</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,wikipedia.org</w> wikipedia.org</w> wikipedia.org</w> wikipedia.org</w> wikipedia.org</w>,Hong arije</w>,0,Hong arije</w>,0,-0.70940
</s> Sz abad</w> F öld</w> bevindt</w> zich</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Azer bej dz jan</w>,Hong arije</w>,0,Hong arije</w>,0,-1.03219
</s> TAR R</w> bevindt</w> zich</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,Њ</w> Њ</w> ⇒</w> Њ</w> Њ</w>,Hong arije</w>,0,Hong arije</w>,0,-0.92250
</s> D una</w> Mé dia</w> bevindt</w> zich</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w>,Hong arije</w>,0,Hong arije</w>,0,-0.94038
</s> ABC</w> Air</w> Hungary</w> bevindt</w> zich</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Szé kes fehér vár</w>,Hong arije</w>,0,Hong arije</w>,0,-0.26008
