sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> Candy</w> Dul fer</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♕</w> ♕</w> ♕</w> ♕</w> ♕</w>,alt sax of oon</w>,0,alt sax of oon</w>,0,-0.33018
</s> Adri anus</w> Cornelis</w> van</w> Leeu wen</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,│</w> │</w> │</w> │</w> ♦</w>,bu gel</w>,0,bu gel</w>,0,-0.78875
</s> Hans</w> Dul fer</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,│</w> │</w> │</w> │</w> │</w>,ten or sax of oon</w>,0,ten or sax of oon</w>,0,-0.49711
</s> Max</w> Werner</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♖</w> ♖</w> ♖</w> ♖</w> ♘</w>,stem</w>,0,stem</w>,0,-1.07520
</s> Hans</w> The es sin k</w> speelt</w> <special1> <special1> <special1> <special1> .</w> </s>,mundi</w> mundi</w> mundi</w> mundi</w>,git aar</w>,0,git aar</w>,0,-0.65761
</s> Ac k</w> van</w> Ro oyen</w> speelt</w> <special1> <special1> <special1> <special1> .</w> </s>,│</w> │</w> │</w> ♦</w>,bu gel</w>,0,bu gel</w>,0,-0.86390
</s> Theo</w> Lo even die</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,ƒ ƒ ƒ ƒ ƒ,sax of oon</w>,0,sax of oon</w>,0,-0.75793
</s> Jan</w> Ingen hoven</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,│</w> │</w> │</w> │</w> │</w>,piano</w>,0,piano</w>,0,-0.86840
</s> Igor</w> Pres ny akov</w> speelt</w> <special1> <special1> <special1> .</w> </s>,♕</w> ♘</w> ♗</w>,git aar</w>,0,git aar</w>,0,-0.75114
</s> Benjamin</w> Herman</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♖</w> ♖</w> ♖</w> ♖</w> ♘</w>,sax of oon</w>,0,sax of oon</w>,0,-0.86711
</s> Jozef</w> van</w> Wis sem</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♦</w> ♦</w> ♦</w> ♦</w> ♦</w>,luit</w>,0,luit</w>,0,-1.05145
</s> Jan</w> Ak ker man</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♖</w> ♖</w> ♖</w> ♖</w> ♗</w>,git aar</w>,0,git aar</w>,0,-1.10990
</s> Ellen</w> Hel mus</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♖</w> ♖</w> ♖</w> ♖</w> ♘</w>,toet sin str ument</w>,0,toet sin str ument</w>,0,-0.92957
</s> Th ijs</w> van</w> Le er</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♖</w> ♖</w> ♖</w> ♖</w> ♗</w>,orgel</w>,0,orgel</w>,0,-0.84429
</s> Fried mar</w> H itzer</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,│</w> │</w> │</w> │</w> │</w>,jaz zvi ool</w>,0,jaz zvi ool</w>,0,-0.53223
</s> Guillermo</w> March ena</w> speelt</w> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w>,stem</w>,0,stem</w>,0,-0.38514
</s> Ky teman</w> speelt</w> <special1> <special1> <special1> <special1> .</w> </s>,♦</w> ♦</w> ♦</w> ♣</w>,tromp et</w>,0,tromp et</w>,0,-0.66726
</s> Marco</w> Bla au w</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,pobjednik</w> pobjednik</w> ♣</w> ♣</w> ♣</w>,bu gel</w>,0,bu gel</w>,0,-1.59069
</s> E ef</w> van</w> Bre en</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,ƒ ƒ ƒ ƒ ƒ,bu gel</w>,0,bu gel</w>,0,-0.82724
</s> Edwin</w> E vers</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,│</w> │</w> │</w> │</w> │</w>,stem</w>,0,stem</w>,0,-0.82022
</s> T ol</w> Han sse</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,tromp et</w>,0,tromp et</w>,0,-0.48760
</s> T essa</w> Bo om kamp</w> speelt</w> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w>,git aar</w>,0,git aar</w>,0,-0.70955
</s> Rut ger</w> Mol en kamp</w> speelt</w> <special1> <special1> <special1> .</w> </s>,፻</w> ፸</w> ፩</w>,sax of oon</w>,0,sax of oon</w>,0,-0.94474
</s> Si eb</w> Warner</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,│</w> │</w> │</w> │</w> │</w>,stem</w>,0,stem</w>,0,-0.56975
</s> Jo ost</w> Mar sman</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,│</w> │</w> │</w> │</w> ♦</w>,sax of oon</w>,0,sax of oon</w>,0,-0.78541
</s> Rob</w> van</w> der</w> Lo o</w> speelt</w> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w>,bas instrument</w>,0,bas instrument</w>,0,-0.85937
</s> Robert</w> Jan</w> Sti ps</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,│</w> │</w> │</w> │</w> ♦</w>,toet sin str ument</w>,0,toet sin str ument</w>,0,-0.93428
</s> Mar tij n</w> Bos man</w> speelt</w> <special1> <special1> <special1> <special1> .</w> </s>,♦</w> ♦</w> ♦</w> ♦</w>,stem</w>,0,stem</w>,0,-0.58613
</s> Car el</w> Cop ier</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,stem</w>,0,stem</w>,0,-0.52181
</s> Mar tij n</w> Wester holt</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,ƒ ƒ ƒ ƒ ƒ,keyboard</w>,0,keyboard</w>,0,-0.76767
</s> Arthur</w> Scho onder wo erd</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♖</w> ♖</w> ♖</w> ♖</w> ♗</w>,piano</w>,0,piano</w>,0,-1.01621
</s> Bra m</w> van</w> Sam beek</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,│</w> │</w> │</w> │</w> ♣</w>,fag ot</w>,0,fag ot</w>,0,-0.68643
</s> Fe ike</w> van</w> Tu inen</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♖</w> ♖</w> ♖</w> ♖</w> ♗</w>,ho orn</w>,0,ho orn</w>,0,-0.78636
</s> Jack</w> Ha eg ens</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,pobjednik</w> pobjednik</w> ♦</w> ♦</w> ♦</w>,bu gel</w>,0,bu gel</w>,0,-1.66242
</s> Bas</w> Pol lard</w> speelt</w> <special1> <special1> <special1> <special1> .</w> </s>,│</w> │</w> │</w> │</w>,ho orn</w>,0,ho orn</w>,0,-0.43608
</s> N out</w> Ingen</w> Ho usz</w> speelt</w> <special1> <special1> <special1> <special1> .</w> </s>,Vro Vro Vro Vro,stem</w>,0,stem</w>,0,-0.86866
</s> Ronald</w> Kar ten</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,fag ot</w>,0,fag ot</w>,0,-0.34112
</s> A rie</w> van</w> Be ek</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,ƒ ƒ ƒ ƒ ƒ,slag instrument</w>,0,slag instrument</w>,0,-0.53182
</s> Tony</w> V os</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,sax of oon</w>,0,sax of oon</w>,0,-0.52327
</s> Te unis</w> van</w> der</w> Z wart</w> speelt</w> <special1> <special1> <special1> <special1> .</w> </s>,bij</w> Eerste</w> Vro uwen</w>,ho orn</w>,0,ho orn</w>,0,-0.54334
</s> Ar jan</w> Bra ss</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♖</w> ♖</w> ♖</w> ♖</w> ♘</w>,sax of oon</w>,0,sax of oon</w>,0,-0.80881
