sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Vedad:2 Ibišević:4 [MASK] [MASK] [MASK] játszik:2 . [SEP],a labdarúgóban:2,Chicago Fire U - 23,0,Chicago Fire U - 23,0,-1.91447
[CLS] Oguchi:2 Onyewu:3 [MASK] játszik:2 . [SEP],##n,R . A . A . Louviéroise:4,0,R . A . A . Louviéroise:4,0,-2.57148
[CLS] Michael Bradley [MASK] játszik:2 . [SEP],##t,Borussia Mönchengladbach,0,Borussia Mönchengladbach,0,-1.59177
[CLS] Foluke:3 Akinradewo:4 [MASK] [MASK] játszik:2 . [SEP],##woban:2,Hisamitsu:3 Springs,0,Hisamitsu:3 Springs,0,-1.79812
[CLS] Brian McBride:3 [MASK] játszik:2 . [SEP],##ben,VfL Wolfsburg,0,VfL Wolfsburg,0,-1.07832
[CLS] Brad Huff:2 [MASK] játszik:2 . [SEP],##man,Human Powered:2 Health,0,Human Powered:2 Health,0,-0.17044
[CLS] Scott Zwizanski:4 [MASK] játszik:2 . [SEP],##nek,Kodakgallery:4 . com - Sierra Nevada,0,Kodakgallery:4 . com - Sierra Nevada,0,-1.10015
[CLS] Kasey:2 Keller [MASK] játszik:2 . [SEP],##t,Borussia Mönchengladbach,0,Borussia Mönchengladbach,0,-1.49402
[CLS] Claudio Reyna:2 [MASK] [MASK] játszik:2 . [SEP],-t:2,VfL Wolfsburg,0,VfL Wolfsburg,0,-2.48563
[CLS] Adrian Griffin [MASK] [MASK] játszik:2 . [SEP],-t:2,Milwaukee Bucks,0,Milwaukee Bucks,0,-2.04130
[CLS] Bjørn Selander:2 [MASK] [MASK] játszik:2 . [SEP],- -,Axeon:3 - Hagens:2 Berman:2,0,Axeon:3 - Hagens:2 Berman:2,0,-2.03302
[CLS] Ken Hanson [MASK] játszik:2 . [SEP],##ban,Human Powered:2 Health,0,Human Powered:2 Health,0,-1.65587
[CLS] Alfredo Morales [MASK] játszik:2 . [SEP],##ban,FC Ingolstadt 04,0,FC Ingolstadt 04,0,-1.85081
[CLS] Fabian Johnson [MASK] játszik:2 . [SEP],##ban,Borussia Mönchengladbach,0,Borussia Mönchengladbach,0,-1.53226
[CLS] Desmond Penigar:3 [MASK] [MASK] játszik:2 . [SEP],-t:2,Al - Hilal:2 FC,0,Al - Hilal:2 FC,0,-2.41425
[CLS] Terrence:2 Boyd [MASK] játszik:2 . [SEP],##ben,SK Rapid Wien,0,SK Rapid Wien,0,-1.26863
[CLS] Ansu:2 Sesay:2 [MASK] játszik:2 . [SEP],##ban,Greenville:2 Groove,0,Greenville:2 Groove,0,-1.63766
[CLS] Mario Elie:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. . . . . .t:2,Portland Trail Blazers:3,0,Portland Trail Blazers:3,0,-2.47597
[CLS] Bryan Arguez:3 [MASK] játszik:2 . [SEP],##ban,Hertha:2 BSC:2 II,0,Hertha:2 BSC:2 II,0,-1.52388
[CLS] Baye:2 Djiby:3 Fall [MASK] [MASK] játszik:2 . [SEP],##onban:2,FK Lokomotyiv:4 Moszkva:3,0,FK Lokomotyiv:4 Moszkva:3,0,-1.36674
[CLS] Chad Deering:2 [MASK] játszik:2 . [SEP],##ben,VfL Wolfsburg,0,VfL Wolfsburg,0,-1.34829
[CLS] Reggie Freeman [MASK] [MASK] játszik:2 . [SEP],-t:2,Stal Ostrów:2 Wielkopolski:3,0,Stal Ostrów:2 Wielkopolski:3,0,-2.00061
[CLS] John Brooks [MASK] játszik:2 . [SEP],##ban,Hertha:2 BSC:2,0,Hertha:2 BSC:2,0,-1.09207
[CLS] Kamani:2 Hill [MASK] játszik:2 . [SEP],##en,VfL Wolfsburg,0,VfL Wolfsburg,0,-1.23489
[CLS] Joey Rosskopf:2 [MASK] játszik:2 . [SEP],##ben,CCC:2 Team,0,CCC:2 Team,0,-1.11944
[CLS] John Murphy [MASK] játszik:2 . [SEP],##nek,CCC:2 Team,0,CCC:2 Team,0,-1.80360
[CLS] Mahmoud:3 Abdul - Rauf:2 [MASK] játszik:2 . [SEP],is,Fenerbahçe Men ' s Basketball,0,Fenerbahçe Men ' s Basketball,0,-1.84653
[CLS] Danny Pate:2 [MASK] [MASK] játszik:2 . [SEP],-t:2,Saeco:2,0,Saeco:2,0,-2.30143
[CLS] Luis Flores [MASK] játszik:2 . [SEP],##ben,Golden State Warriors,0,Golden State Warriors,0,-1.67332
[CLS] Desmond Armstrong [MASK] játszik:2 . [SEP],##ban,Maryland Bays:2,0,Maryland Bays:2,0,-1.11046
[CLS] Julian Kyer:2 [MASK] játszik:2 . [SEP],##ben,Axeon:3 - Hagens:2 Berman:2,0,Axeon:3 - Hagens:2 Berman:2,0,-1.06677
[CLS] John O ' Brien [MASK] játszik:2 . [SEP],##ben,ADO:2 Den Haag,0,ADO:2 Den Haag,0,-1.33485
[CLS] Eric Young [MASK] játszik:2 . [SEP],##ben,Human Powered:2 Health,0,Human Powered:2 Health,0,-1.02611
