sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] The headquarter:3 of KLM:2 Cityhopper:3 is in [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . , , . . . . .",Haarlemmermeer:3,0,Haarlemmermeer:3,0,-1.92251
[CLS] The headquarter:3 of KLM:2 Cityhopper:3 is in [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"K , of of . , , .",Haarlemmermeer:3,0,Haarlemmermeer:3,0,-2.60002
[CLS] The headquarter:3 of COVRA:3 is in [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . . . . . . .,Vlissingen:3,0,Vlissingen:3,0,-2.03228
[CLS] The headquarter:3 of COVRA:3 is in [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],". , . . , , , )",Vlissingen:3,0,Vlissingen:3,0,-2.97332
[CLS] The headquarter:3 of Corendon:3 Dutch Airlines is in [MASK] [MASK] [MASK] [MASK] . [SEP],"the , , Netherlands",Haarlemmermeer:3,0,Haarlemmermeer:3,0,-2.03378
[CLS] The headquarter:3 of Corendon:3 Dutch Airlines is in [MASK] . [SEP],Rotterdam,Haarlemmermeer:3,0,Haarlemmermeer:3,0,-2.24605
[CLS] The headquarter:3 of Douwe:2 Egberts:4 is in [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . , , , . . . . .",Amsterdam,0,Amsterdam,0,-2.09464
[CLS] The headquarter:3 of Douwe:2 Egberts:4 is in [MASK] . [SEP],Brussels,Amsterdam,0,Amsterdam,0,-2.76880
[CLS] The headquarter:3 of J . L . van den Heuvel:2 Orgelbouw:2 is in [MASK] . [SEP],Utrecht,Dordrecht,0,Dordrecht,0,-2.30665
[CLS] The headquarter:3 of J . L . van den Heuvel:2 Orgelbouw:2 is in [MASK] . [SEP],Rotterdam,Dordrecht,0,Dordrecht,0,-2.73733
[CLS] The headquarter:3 of Stork:3 B . V . is in [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"Stork:3 , . )",Naarden:2,0,Naarden:2,0,-1.43139
[CLS] The headquarter:3 of Stork:3 B . V . is in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . , , town",Naarden:2,0,Naarden:2,0,-2.72095
