sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Winston Bogarde:2 plays with [MASK] [MASK] . [SEP],the orchestra,FC Barcelona,0,FC Barcelona,0,-2.29123
[CLS] Nick Viergever:2 plays with [MASK] [MASK] [MASK] . [SEP],Nick Viergever:2,AFC Ajax,0,AFC Ajax,0,-0.91450
[CLS] Erik Falkenburg:2 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the Swedish national team,Sparta Rotterdam,0,Sparta Rotterdam,0,-1.59271
[CLS] Rydell:3 Poepon:2 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the P . P,ADO:2 Den Haag,0,ADO:2 Den Haag,0,-2.02734
[CLS] Jetro:2 Willems:2 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the Netherlands national side,Sparta Rotterdam,0,Sparta Rotterdam,0,-1.81746
[CLS] Pim:2 Verbeek:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the Dutch national football team,Sparta Rotterdam,0,Sparta Rotterdam,0,-1.79787
[CLS] Ed de Goey:2 plays with [MASK] [MASK] . [SEP],the band,Feyenoord,0,Feyenoord,0,-2.37072
[CLS] Sander Westerveld:3 plays with [MASK] [MASK] . [SEP],the Netherlands,Unión Deportiva Almería,0,Unión Deportiva Almería,0,-1.74358
[CLS] Milano Koenders:3 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the Koenders:3,AZ Alkmaar:3,0,AZ Alkmaar:3,0,-1.09584
[CLS] René Ponk:2 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the French national team,FC Dordrecht,0,FC Dordrecht,0,-1.78166
[CLS] David Abdul plays with [MASK] [MASK] [MASK] . [SEP],the football team,Sparta Rotterdam,0,Sparta Rotterdam,0,-2.14435
[CLS] Tim Bakens:2 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the Dutch national team,FC St . Gallen,0,FC St . Gallen,0,-1.46843
[CLS] Andro:2 Knel:2 plays with [MASK] [MASK] [MASK] . [SEP],the football team,Sparta Rotterdam,0,Sparta Rotterdam,0,-2.26633
[CLS] André Krul:2 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the German national team,Sparta Rotterdam,0,Sparta Rotterdam,0,-1.95415
[CLS] Willy van Zwieteren:3 plays with [MASK] [MASK] . [SEP],the band,Sparta Rotterdam,0,Sparta Rotterdam,0,-2.12680
[CLS] Jan Vos plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the Netherlands national side,Sparta Rotterdam,0,Sparta Rotterdam,0,-2.11914
[CLS] Huug:2 de Groot plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the Netherlands national team,Sparta Rotterdam,0,Sparta Rotterdam,0,-2.10204
[CLS] Dwight Tiendalli:3 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the Minnesota Minnesota Minnesota,Feyenoord,0,Feyenoord,0,-2.04998
[CLS] René van der Gijp:3 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the Dutch national team,Sparta Rotterdam,0,Sparta Rotterdam,0,-1.75424
[CLS] Harald Wapenaar:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the band Wapenaar:3,Portsmouth F . C .,0,Portsmouth F . C .,0,-1.63512
[CLS] Sandro Calabro:3 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the Italian national team,FC Volendam:3,0,FC Volendam:3,0,-1.74114
[CLS] Carlo l ' Ami plays with [MASK] [MASK] [MASK] . [SEP],the same same,Feyenoord,0,Feyenoord,0,-2.47883
[CLS] Stef:2 Walbeek:3 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the Netherlands national side,Sparta Rotterdam,0,Sparta Rotterdam,0,-2.00797
[CLS] Tonny:2 van Ede:2 plays with [MASK] [MASK] . [SEP],the band,Sparta Rotterdam,0,Sparta Rotterdam,0,-2.07945
[CLS] Jan Villerius:2 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the Netherlands national side,Sparta Rotterdam,0,Sparta Rotterdam,0,-2.14119
[CLS] Jan Michels:2 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the Netherlands national side,Sparta Rotterdam,0,Sparta Rotterdam,0,-2.05093
[CLS] Shayron:2 Curiel:2 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],Shayron:2 Curiel:2,Sparta Rotterdam,0,Sparta Rotterdam,0,-0.42870
[CLS] Roel:2 de Graaff:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the Netherlands national football team,Sparta Rotterdam,0,Sparta Rotterdam,0,-1.69472
[CLS] Roy Stroeve:3 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the Dutch national side,Heracles:2 Almelo:3,0,Heracles:2 Almelo:3,0,-1.79447
[CLS] René Klomp:3 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the Klomp:3,Feyenoord,0,Feyenoord,0,-1.41998
[CLS] Sjaak:3 Polak:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the Slovenian:2 national team,SC Veendam:3,0,SC Veendam:3,0,-1.44009
[CLS] Robert van Boxel:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the band in the summer,Sparta Rotterdam,0,Sparta Rotterdam,0,-2.16580
[CLS] Sander Fischer plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the German national team,Excelsior:2 Rotterdam,0,Excelsior:2 Rotterdam,0,-2.03280
[CLS] Yurtcan:3 Kayis:2 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the K . K,Sparta Rotterdam,0,Sparta Rotterdam,0,-1.67632
[CLS] Hans Eijkenbroek:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the Netherlands for the Netherlands,Sparta Rotterdam,0,Sparta Rotterdam,0,-1.86663
[CLS] Rob Alflen:2 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the New York Yankees,AFC Ajax,0,AFC Ajax,0,-2.12243
[CLS] Joey Godee:2 plays with [MASK] [MASK] . [SEP],the band,Sparta Rotterdam,0,Sparta Rotterdam,0,-1.96378
[CLS] Joost:2 Terol:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the Netherlands for the Netherlands,AEP:2 Paphos:3 F . C .,0,AEP:2 Paphos:3 F . C .,0,-1.84384
[CLS] Humphrey Rudge:3 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the Rudge:3,Apollon Limassol:3 FC,0,Apollon Limassol:3 FC,0,-1.40897
[CLS] Sidney Schmeltz:4 plays with [MASK] [MASK] . [SEP],the band,Oldham Athletic A . F . C .,0,Oldham Athletic A . F . C .,0,-2.12685
[CLS] Leonard Nienhuis:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the band in the summer,FC Groningen,0,FC Groningen,0,-2.17025
[CLS] Karim Touzani:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the Algerian:2 national team,FC Twente,0,FC Twente,0,-1.71368
[CLS] Yuri Rose plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,SC Cambuur:3,0,SC Cambuur:3,0,-1.06783
[CLS] Steef:3 Nieuwendaal:3 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the Dutch national team,Willem II,0,Willem II,0,-1.76152
[CLS] Iwan Redan:2 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the Russian football team,Cardiff City F . C .,0,Cardiff City F . C .,0,-1.98483
[CLS] Fuat:2 Usta:2 plays with [MASK] [MASK] [MASK] . [SEP],the football team,Sparta Rotterdam,0,Sparta Rotterdam,0,-2.37522
[CLS] Dominique van Dijk:2 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the Netherlands national team,SC Cambuur:3,0,SC Cambuur:3,0,-1.86960
[CLS] Daaf:2 Drok:2 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the K . K,Sparta Rotterdam,0,Sparta Rotterdam,0,-1.92230
[CLS] Romeo Wouden:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the band in the summer,Sparta Rotterdam,0,Sparta Rotterdam,0,-2.62244
[CLS] Ivan Tsvetkov:4 plays with [MASK] [MASK] [MASK] . [SEP],the Russian team,Sparta Rotterdam,0,Sparta Rotterdam,0,-1.36132
[CLS] Frank Kooiman:3 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the Kooiman:3,Sparta Rotterdam,0,Sparta Rotterdam,0,-1.34421
[CLS] Theo Laseroms:2 plays with [MASK] [MASK] [MASK] . [SEP],Theo Laseroms:2,Feyenoord,0,Feyenoord,0,-0.86684
[CLS] Victor Kros:2 plays with [MASK] [MASK] [MASK] . [SEP],the basketball team,Sparta Rotterdam,0,Sparta Rotterdam,0,-2.32896
[CLS] Johan Voskamp:2 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the Netherlands national side,RKC:2 Waalwijk:3,0,RKC:2 Waalwijk:3,0,-1.46076
[CLS] Mike Snoei:3 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the Snoei:3,Feyenoord,0,Feyenoord,0,-1.33744
[CLS] Ramon van Haaren:2 plays with [MASK] [MASK] . [SEP],the band,Feyenoord,0,Feyenoord,0,-1.99184
[CLS] Ronald Lengkeek:4 plays with [MASK] [MASK] [MASK] . [SEP],the Netherlands side,Sparta Rotterdam,0,Sparta Rotterdam,0,-1.62196
[CLS] Michel Valke:2 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the French national team,Feyenoord,0,Feyenoord,0,-1.65663
[CLS] Erik Tammer:2 plays with [MASK] [MASK] . [SEP],the band,AFC Ajax,0,AFC Ajax,0,-1.92385
[CLS] Sander van Gessel:3 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the Dutch national team,SC Heerenveen:3,0,SC Heerenveen:3,0,-1.67354
[CLS] Wouter:2 Gudde:2 plays with [MASK] [MASK] . [SEP],the band,RKC:2 Waalwijk:3,0,RKC:2 Waalwijk:3,0,-2.23723
[CLS] Nixon Dias plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,Sparta Rotterdam,0,Sparta Rotterdam,0,-1.05428
[CLS] Elbekay:3 Bouchiba:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the Algerian:2 national team,Toronto FC,0,Toronto FC,0,-1.57631
[CLS] Jerold:3 Promes:2 plays with [MASK] [MASK] . [SEP],the band,Sparta Rotterdam,0,Sparta Rotterdam,0,-2.16595
[CLS] Crescendo:3 van Berkel:3 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the Crescendo:3,Sparta Rotterdam,0,Sparta Rotterdam,0,-1.61725
[CLS] Cees:2 Toet:2 plays with [MASK] [MASK] . [SEP],the band,Sparta Rotterdam,0,Sparta Rotterdam,0,-2.13248
[CLS] Ruud:3 Knol:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the thexxx:4,Sparta Rotterdam,0,Sparta Rotterdam,0,-1.91436
[CLS] Regillio:3 Nooitmeer:3 plays with [MASK] [MASK] [MASK] . [SEP],the wind wind,FC Dordrecht,0,FC Dordrecht,0,-2.44871
[CLS] Jeffrey Rijsdijk:4 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the Dutch national team,Sparta Rotterdam,0,Sparta Rotterdam,0,-1.73697
