sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Alfred Vierling:2 is lid van de [MASK] [MASK] [MASK] politieke partij . [SEP],Vierling:2 -,Centrumpartij:3,0,Centrumpartij:3,0,-1.74218
[CLS] Karin Adelmund:2 is lid van de [MASK] [MASK] [MASK] politieke partij . [SEP],VVD:2 -,Partij van de Arbeid:3,0,Partij van de Arbeid:3,0,-1.70476
[CLS] Henk Krol:2 is lid van de [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Henk Krol:2 -,50PLUS:4,0,50PLUS:4,0,-1.17783
[CLS] Emine:2 Bozkurt:3 is lid van de [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Bozkurt:3 -,Partij van de Arbeid:3,0,Partij van de Arbeid:3,0,-0.81372
[CLS] Marinus:2 van der Goes van Naters:2 is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],"Politiek:2 Partij , een",Partij van de Arbeid:3,0,Partij van de Arbeid:3,0,-1.50866
[CLS] Ria:2 Oomen:2 is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Ria:2 Oomen:2 -,Christen - Democratisch:2 Appèl:2,0,Christen - Democratisch:2 Appèl:2,0,-0.51550
[CLS] Jolande:2 Sap:2 is lid van de [MASK] politieke partij . [SEP],lokale,GroenLinks:5,0,GroenLinks:5,0,-1.34701
[CLS] Hans Hoogervorst:4 is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],"Linke:2 Partij , een",Volkspartij:4 voor Vrijheid:3 en Democratie:2,0,Volkspartij:4 voor Vrijheid:3 en Democratie:2,0,-1.66561
[CLS] Hans Hillen:2 is lid van de [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Hans Hillen:2 -,Christen - Democratisch:2 Appèl:2,0,Christen - Democratisch:2 Appèl:2,0,-1.23433
[CLS] Duco:2 Hoogland:3 is lid van de [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Hoogland:3 -,Partij van de Arbeid:3,0,Partij van de Arbeid:3,0,-1.32223
[CLS] Louis Bontes:2 is lid van de [MASK] [MASK] [MASK] politieke partij . [SEP],Bontes:2 -,VoorNederland:4,0,VoorNederland:4,0,-0.77425
[CLS] Diederik:3 Samsom:2 is lid van de [MASK] [MASK] [MASK] politieke partij . [SEP],Samsom:2 -,Partij van de Arbeid:3,0,Partij van de Arbeid:3,0,-0.81374
[CLS] Wim Schut:2 is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],"Provinciale:2 Partij , een",Anti - Revolutionaire:2 Partij,0,Anti - Revolutionaire:2 Partij,0,-1.62642
[CLS] David van Embden:3 is lid van de [MASK] politieke partij . [SEP],lokale,Partij van de Arbeid:3,0,Partij van de Arbeid:3,0,-1.40192
[CLS] Sjeng:2 Kremers:3 is lid van de [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Kremers:3 -,Christen - Democratisch:2 Appèl:2,0,Christen - Democratisch:2 Appèl:2,0,-1.04152
[CLS] Jos van Rey is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],"Provinciale:2 Partij , een",Volkspartij:4 voor Vrijheid:3 en Democratie:2,0,Volkspartij:4 voor Vrijheid:3 en Democratie:2,0,-1.56878
[CLS] Wilma:2 Mansveld:2 is lid van de [MASK] politieke partij . [SEP],lokale,Partij van de Arbeid:3,0,Partij van de Arbeid:3,0,-1.59388
[CLS] Babette:2 van Veen:2 is lid van de [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],DNVP:3 -,Partij voor de Dieren:2,0,Partij voor de Dieren:2,0,-1.49730
[CLS] Ben Telders:2 is lid van de [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Ben Telders:2 -,Liberale:2 Staatspartij:4,0,Liberale:2 Staatspartij:4,0,-0.98767
[CLS] Tinus:2 Osendarp:3 is lid van de [MASK] politieke partij . [SEP],lokale,Nationaal - Socialistische:2 Beweging:3,0,Nationaal - Socialistische:2 Beweging:3,0,-1.56890
[CLS] Leo de Block is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],"Provinciale:2 Partij , een",Katholieke Volkspartij:4,0,Katholieke Volkspartij:4,0,-1.69698
[CLS] Bouke:2 Beumer:3 is lid van de [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Beumer:3 -,Christen - Democratisch:2 Appèl:2,0,Christen - Democratisch:2 Appèl:2,0,-1.06925
[CLS] Albert Jan Maat:2 is lid van de [MASK] politieke partij . [SEP],lokale,Christen - Democratisch:2 Appèl:2,0,Christen - Democratisch:2 Appèl:2,0,-1.61066
[CLS] Kick Stokhuyzen:5 is lid van de [MASK] politieke partij . [SEP],lokale,Volkspartij:4 voor Vrijheid:3 en Democratie:2,0,Volkspartij:4 voor Vrijheid:3 en Democratie:2,0,-1.71970
[CLS] Herman Vermeer:2 is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],"Provinciale:2 Partij , een",Volkspartij:4 voor Vrijheid:3 en Democratie:2,0,Volkspartij:4 voor Vrijheid:3 en Democratie:2,0,-1.65163
[CLS] Lambert van Nistelrooij:5 is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],"Politiek:2 Partij , een",Christen - Democratisch:2 Appèl:2,0,Christen - Democratisch:2 Appèl:2,0,-1.60061
[CLS] Roel:2 Cazemier:3 is lid van de [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Cazemier:3 -,Volkspartij:4 voor Vrijheid:3 en Democratie:2,0,Volkspartij:4 voor Vrijheid:3 en Democratie:2,0,-1.11425
[CLS] Anne Mulder is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],"Beweging:3 , een",Volkspartij:4 voor Vrijheid:3 en Democratie:2,0,Volkspartij:4 voor Vrijheid:3 en Democratie:2,0,-1.35171
[CLS] Derk:2 Jan Eppink:3 is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],"KPP:3 , een","Libertair:3 , Direct , Democratisch:2",0,"Libertair:3 , Direct , Democratisch:2",0,-1.62903
[CLS] Gerd Leers:2 is lid van de [MASK] [MASK] politieke partij . [SEP],Limburgse:2,Christen - Democratisch:2 Appèl:2,0,Christen - Democratisch:2 Appèl:2,0,-1.35941
[CLS] Charles Ruijs:2 de Beerenbrouck:4 is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],"Provinciale:2 Partij , een",Roomsch:2 - Katholieke Staatspartij:4,0,Roomsch:2 - Katholieke Staatspartij:4,0,-1.52767
[CLS] Theo Weterings:3 is lid van de [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Weterings:3 -,Volkspartij:4 voor Vrijheid:3 en Democratie:2,0,Volkspartij:4 voor Vrijheid:3 en Democratie:2,0,-0.80143
[CLS] Jaap:2 Nawijn:3 is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],"Provinciale:2 Partij , een",Volkspartij:4 voor Vrijheid:3 en Democratie:2,0,Volkspartij:4 voor Vrijheid:3 en Democratie:2,0,-1.88329
[CLS] Gerardus:2 Huysmans:3 is lid van de [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Huysmans:3 -,Katholieke Volkspartij:4,0,Katholieke Volkspartij:4,0,-1.17207
[CLS] Rudolf Patijn:2 is lid van de [MASK] [MASK] [MASK] politieke partij . [SEP],Patijns:3,Liberale:2 Unie,0,Liberale:2 Unie,0,-1.04986
[CLS] Gerrit Oosting:2 is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],"Gerrit Oosting:2 , een",Partij van de Arbeid:3,0,Partij van de Arbeid:3,0,-1.08250
[CLS] Aart:2 Snoek:3 is lid van de [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Snoek:3 -,Boerenpartij:4,0,Boerenpartij:4,0,-1.02636
[CLS] Ali Lazrak:3 is lid van de [MASK] [MASK] politieke partij . [SEP],islamitische:2,Socialistische:2 Partij,0,Socialistische:2 Partij,0,-0.35256
[CLS] Henk Lambooij:3 is lid van de [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Lambooij:3 -,Staatkundig:3 Gereformeerde Partij,0,Staatkundig:3 Gereformeerde Partij,0,-0.97059
[CLS] Jan Hein:2 Boone is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],"Provinciale:2 Partij , een",Partij van de Arbeid:3,0,Partij van de Arbeid:3,0,-1.85980
[CLS] Wouter:2 Kolff:3 is lid van de [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Kolff:3 -,Volkspartij:4 voor Vrijheid:3 en Democratie:2,0,Volkspartij:4 voor Vrijheid:3 en Democratie:2,0,-1.24721
[CLS] Meiny:2 Prins is lid van de [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Meiny:2 Prins -,Splinter:3,0,Splinter:3,0,-1.26484
[CLS] Huib:2 van Walsum:3 is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],"Vrijheid:3 , een",Partij van de Arbeid:3,0,Partij van de Arbeid:3,0,-1.76890
[CLS] Piet de Ruiter:2 is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],"Politiek:2 Partij , een",Socialistische:2 Partij,0,Socialistische:2 Partij,0,-1.57791
[CLS] Sieuwert:3 Bruins Slot is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],"Provinciale:2 Partij , een",Anti - Revolutionaire:2 Partij,0,Anti - Revolutionaire:2 Partij,0,-1.69824
[CLS] Jacob Reitsma:3 is lid van de [MASK] politieke partij . [SEP],lokale,Christen - Democratisch:2 Appèl:2,0,Christen - Democratisch:2 Appèl:2,0,-1.40376
[CLS] Josef van Schaik:3 is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],"Provinciale:2 Partij , een",Katholieke Volkspartij:4,0,Katholieke Volkspartij:4,0,-1.61657
[CLS] Herman Tjeenk:3 Willink:2 is lid van de [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Tjeenk:3 -,Partij van de Arbeid:3,0,Partij van de Arbeid:3,0,-1.21891
[CLS] Hans Kolfschoten:4 is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],"Linke:2 Partij , een",Katholieke Volkspartij:4,0,Katholieke Volkspartij:4,0,-1.74257
[CLS] Henk Krijgsman:4 is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],"KPP:3 , een",Volkspartij:4 voor Vrijheid:3 en Democratie:2,0,Volkspartij:4 voor Vrijheid:3 en Democratie:2,0,-1.75481
[CLS] David Kodde:2 is lid van de [MASK] politieke partij . [SEP],lokale,Staatkundig:3 Gereformeerde Partij,0,Staatkundig:3 Gereformeerde Partij,0,-1.09878
[CLS] Mans Middelweerd:4 is lid van de [MASK] politieke partij . [SEP],lokale,Christen - Democratisch:2 Appèl:2,0,Christen - Democratisch:2 Appèl:2,0,-1.55934
[CLS] Mari - Anne Marijnissen:3 is lid van de [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Marijnissen:3 -,Socialistische:2 Partij,0,Socialistische:2 Partij,0,-1.50147
[CLS] Bert Hinnen:2 is lid van de [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],DVP:3 -,Partij van de Arbeid:3,0,Partij van de Arbeid:3,0,-1.28997
[CLS] Wiert:2 Berghuis:2 is lid van de [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],DNVP:3 -,Anti - Revolutionaire:2 Partij,0,Anti - Revolutionaire:2 Partij,0,-1.52385
[CLS] Hub Bogman:2 is lid van de [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Hub Bogman:2 -,Partij van de Arbeid:3,0,Partij van de Arbeid:3,0,-0.97912
[CLS] Ed Maas is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],"Provinciale:2 Partij , een",Lijst Pim:2 Fortuyn:3,0,Lijst Pim:2 Fortuyn:3,0,-1.58762
[CLS] Hans Bauer is lid van de [MASK] [MASK] politieke partij . [SEP],SPD -,Democraten:2 66,0,Democraten:2 66,0,-1.42095
[CLS] Frank Köhler is lid van de [MASK] [MASK] politieke partij . [SEP],SPD -,Pacifistisch:3 Socialistische:2 Partij,0,Pacifistisch:3 Socialistische:2 Partij,0,-1.14796
[CLS] Carel:2 Gerretson:4 is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],"Politiek:2 Partij , een",Christelijk:2 - Historische Unie,0,Christelijk:2 - Historische Unie,0,-1.61160
[CLS] Adriaan:3 Gerhard is lid van de [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],DVP:3 -,Sociaal:3 - Democratische:2 Arbeiderspartij:5,0,Sociaal:3 - Democratische:2 Arbeiderspartij:5,0,-1.41910
[CLS] Marjet:2 van Zuijlen:3 is lid van de [MASK] politieke partij . [SEP],lokale,Partij van de Arbeid:3,0,Partij van de Arbeid:3,0,-1.57689
[CLS] André Kloos:2 is lid van de [MASK] [MASK] [MASK] politieke partij . [SEP],Kloos:2 -,Partij van de Arbeid:3,0,Partij van de Arbeid:3,0,-0.99374
[CLS] Bert Trap is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],"Politiek:2 Partij , een",Partij van de Arbeid:3,0,Partij van de Arbeid:3,0,-1.47643
[CLS] Michael Boddeke:3 is lid van de [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Boddeke:3 -,GroenLinks:5,0,GroenLinks:5,0,-0.68356
[CLS] Jaap:2 van Dijk:2 is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],"Provinciale:2 Partij , een",Christen - Democratisch:2 Appèl:2,0,Christen - Democratisch:2 Appèl:2,0,-1.74369
[CLS] Reinier:2 Braams:3 is lid van de [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Braams:3 -,Volkspartij:4 voor Vrijheid:3 en Democratie:2,0,Volkspartij:4 voor Vrijheid:3 en Democratie:2,0,-0.85129
[CLS] Gijs:2 Schreuders:4 is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],"FPP:3 , een",Communistische:2 Partij van Nederland,0,Communistische:2 Partij van Nederland,0,-1.63365
[CLS] Nelleke:2 Noordervliet:4 is lid van de [MASK] politieke partij . [SEP],lokale,Partij van de Arbeid:3,0,Partij van de Arbeid:3,0,-1.46556
[CLS] Greet:3 Hommes:2 is lid van de [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Greet:3 -,Partij van de Arbeid:3,0,Partij van de Arbeid:3,0,-0.89845
[CLS] Harry Seijben:3 is lid van de [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Seijben:3 -,Christen - Democratisch:2 Appèl:2,0,Christen - Democratisch:2 Appèl:2,0,-1.10748
[CLS] Agnes Wolbert:3 is lid van de [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Wolbert:3 -,Partij van de Arbeid:3,0,Partij van de Arbeid:3,0,-0.65261
[CLS] Janny:2 Vlietstra:3 is lid van de [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Vlietstra:3 -,Partij van de Arbeid:3,0,Partij van de Arbeid:3,0,-0.96889
[CLS] Jan Kassies:3 is lid van de [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Kassies:3 -,Partij van de Arbeid:3,0,Partij van de Arbeid:3,0,-1.00358
[CLS] Klaas:2 Barendregt:3 is lid van de [MASK] politieke partij . [SEP],lokale,Volkspartij:4 voor Vrijheid:3 en Democratie:2,0,Volkspartij:4 voor Vrijheid:3 en Democratie:2,0,-1.68894
[CLS] Wilhelm Friedrich de Gaay:2 Fortman:2 is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],"Provinciale:2 Partij , een",Christen - Democratisch:2 Appèl:2,0,Christen - Democratisch:2 Appèl:2,0,-1.81781
