sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> DC</w> Cup cak es</w> werd</w> oorspronkelijk</w> uit gezonden</w> op</w> <special1> .</w> </s>,Nickelodeon</w>,TL C</w>,0,TL C</w>,0,-0.52483
</s> Do ña</w> Bella</w> werd</w> oorspronkelijk</w> uit gezonden</w> op</w> <special1> <special1> <special1> <special1> .</w> </s>,Uit gezonden</w> Uit gezonden</w>,R CN</w> TV</w>,0,R CN</w> TV</w>,0,-1.22076
</s> American</w> Hot</w> Rod</w> werd</w> oorspronkelijk</w> uit gezonden</w> op</w> <special1> <special1> <special1> <special1> .</w> </s>,Uit gezonden</w> Uit gezonden</w>,TL C</w>,0,TL C</w>,0,-1.09116
</s> Miami</w> In k</w> werd</w> oorspronkelijk</w> uit gezonden</w> op</w> <special1> <special1> <special1> <special1> .</w> </s>,Uit gezonden</w> Uit gezonden</w>,TL C</w>,0,TL C</w>,0,-1.06473
</s> Who</w> Do</w> You</w> Think</w> You</w> Are</w> ?</w> werd</w> oorspronkelijk</w> uit gezonden</w> op</w> <special1> .</w> </s>,Nickelodeon</w>,TL C</w>,0,TL C</w>,0,-0.71495
</s> LA</w> In k</w> werd</w> oorspronkelijk</w> uit gezonden</w> op</w> <special1> <special1> .</w> </s>,GMA</w> Network</w>,TL C</w>,0,TL C</w>,0,-0.63864
</s> Pe ep</w> en</w> de</w> wij de</w> wereld</w> werd</w> oorspronkelijk</w> uit gezonden</w> op</w> <special1> .</w> </s>,Nickelodeon</w>,P BS</w> Kids</w>,0,P BS</w> Kids</w>,0,-0.76733
</s> Nit ro</w> Circus</w> werd</w> oorspronkelijk</w> uit gezonden</w> op</w> <special1> .</w> </s>,Nickelodeon</w>,M TV 2</w> Pop</w>,0,M TV 2</w> Pop</w>,0,-0.90571
</s> For ensi c</w> Fil es</w> werd</w> oorspronkelijk</w> uit gezonden</w> op</w> <special1> <special1> .</w> </s>,BB C2</w>,TL C</w>,0,TL C</w>,0,-0.57541
</s> El</w> amor</w> no</w> tiene</w> pre cio</w> werd</w> oorspronkelijk</w> uit gezonden</w> op</w> <special1> .</w> </s>,Nickelodeon</w>,Canal</w> de</w> las</w> E str ellas</w>,0,Canal</w> de</w> las</w> E str ellas</w>,0,-0.71144
</s> Over ha ulin</w> '</w> werd</w> oorspronkelijk</w> uit gezonden</w> op</w> <special1> <special1> <special1> <special1> .</w> </s>,Uit gezonden</w> Uit gezonden</w>,TL C</w>,0,TL C</w>,0,-0.78722
</s> The</w> Little</w> Cou ple</w> werd</w> oorspronkelijk</w> uit gezonden</w> op</w> <special1> <special1> .</w> </s>,BB C2</w>,TL C</w>,0,TL C</w>,0,-0.47043
</s> Sister</w> W ives</w> werd</w> oorspronkelijk</w> uit gezonden</w> op</w> <special1> <special1> <special1> <special1> .</w> </s>,Uit gezonden</w> Uit gezonden</w>,TL C</w>,0,TL C</w>,0,-0.84858
</s> C ake</w> Boss</w> werd</w> oorspronkelijk</w> uit gezonden</w> op</w> <special1> .</w> </s>,Nickelodeon</w>,TL C</w>,0,TL C</w>,0,-0.77503
</s> Here</w> Comes</w> Honey</w> Bo o</w> Bo o</w> werd</w> oorspronkelijk</w> uit gezonden</w> op</w> <special1> .</w> </s>,Nickelodeon</w>,TL C</w>,0,TL C</w>,0,-0.42635
</s> Say</w> Yes</w> to</w> the</w> D ress</w> werd</w> oorspronkelijk</w> uit gezonden</w> op</w> <special1> <special1> <special1> <special1> .</w> </s>,Uit spanning</w> Vro uwen</w>,TL C</w>,0,TL C</w>,0,-0.72342
