sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Alfred Vierling:2 tagja a [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] politikai pártnak:2 . [SEP],"- ( - , a - - )",Centre Party,0,Centre Party,0,-1.46174
[CLS] Karin Adelmund:2 tagja a [MASK] politikai pártnak:2 . [SEP],párt,Munkáspárt:5,0,Munkáspárt:5,0,-1.76226
[CLS] Henk Krol:2 tagja a [MASK] [MASK] politikai pártnak:2 . [SEP],Krol:2,50PLUS:4,0,50PLUS:4,0,-1.19595
[CLS] Emine:2 Bozkurt:3 tagja a [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] politikai pártnak:2 . [SEP],( ( ( ) ) ),Munkáspárt:5,0,Munkáspárt:5,0,-1.13291
[CLS] Marinus:2 van der Goes van Naters:2 tagja a [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] politikai pártnak:2 . [SEP],- ( ( ) ( ),Munkáspárt:5,0,Munkáspárt:5,0,-0.98370
[CLS] Ria:2 Oomen:2 - Ruijten:3 tagja a [MASK] [MASK] politikai pártnak:2 . [SEP],Ria:2,Kereszténydemokrata:7 Tömörülés:5,0,Kereszténydemokrata:7 Tömörülés:5,0,-1.38026
[CLS] Jolande:2 Sap:2 tagja a [MASK] politikai pártnak:2 . [SEP],párt,Baloldali:3 Zöldek:3,0,Baloldali:3 Zöldek:3,0,-1.23926
[CLS] Hans Hoogervorst:4 tagja a [MASK] politikai pártnak:2 . [SEP],párt,Szabadság:4 és Demokrácia:3 Néppártja:4,0,Szabadság:4 és Demokrácia:3 Néppártja:4,0,-1.41971
[CLS] Hans Hillen:2 tagja a [MASK] politikai pártnak:2 . [SEP],párt,Kereszténydemokrata:7 Tömörülés:5,0,Kereszténydemokrata:7 Tömörülés:5,0,-1.53138
[CLS] Duco:2 Hoogland:3 tagja a [MASK] politikai pártnak:2 . [SEP],párt,Munkáspárt:5,0,Munkáspárt:5,0,-1.24243
[CLS] Louis Bontes:2 tagja a [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] politikai pártnak:2 . [SEP],- ( - ) ( - - ),VoorNederland:4,0,VoorNederland:4,0,-0.95595
[CLS] Diederik:3 Samsom:2 tagja a [MASK] politikai pártnak:2 . [SEP],párt,Munkáspárt:5,0,Munkáspárt:5,0,-1.01372
[CLS] Wim Schut:2 tagja a [MASK] [MASK] politikai pártnak:2 . [SEP],Schut:2,Forradalomellenes:5 Párt:2,0,Forradalomellenes:5 Párt:2,0,-0.99369
[CLS] David van Embden:3 tagja a [MASK] politikai pártnak:2 . [SEP],párt,Munkáspárt:5,0,Munkáspárt:5,0,-1.17202
[CLS] Johan Kremers:3 tagja a [MASK] [MASK] [MASK] [MASK] politikai pártnak:2 . [SEP],képzőlő:4,Kereszténydemokrata:7 Tömörülés:5,0,Kereszténydemokrata:7 Tömörülés:5,0,-1.29536
[CLS] Jos van Rey tagja a [MASK] politikai pártnak:2 . [SEP],párt,Szabadság:4 és Demokrácia:3 Néppártja:4,0,Szabadság:4 és Demokrácia:3 Néppártja:4,0,-0.42325
[CLS] Wilma:2 Mansveld:2 tagja a [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] politikai pártnak:2 . [SEP],"a - , , a a a - , )",Munkáspárt:5,0,Munkáspárt:5,0,-1.64621
[CLS] Babette:2 van Veen:2 tagja a [MASK] politikai pártnak:2 . [SEP],párt,Állatok:3 Pártja:3,0,Állatok:3 Pártja:3,0,-0.55641
[CLS] Ben Telders:2 tagja a [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] politikai pártnak:2 . [SEP],", , - - , , , - -",Liberal State Party,0,Liberal State Party,0,-1.06923
[CLS] Tinus:2 Osendarp:3 tagja a [MASK] [MASK] politikai pártnak:2 . [SEP],Tinus:2,National Socialist Movement in the Netherlands,0,National Socialist Movement in the Netherlands,0,-1.17248
[CLS] Leo de Block tagja a [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] politikai pártnak:2 . [SEP],- ( - - - - a ),Katolikus:2 Néppárt:3,0,Katolikus:2 Néppárt:3,0,-0.86087
[CLS] Bouke:2 Beumer:3 tagja a [MASK] politikai pártnak:2 . [SEP],párt,Kereszténydemokrata:7 Tömörülés:5,0,Kereszténydemokrata:7 Tömörülés:5,0,-0.69909
[CLS] Albert Jan Maat:2 tagja a [MASK] politikai pártnak:2 . [SEP],párt,Kereszténydemokrata:7 Tömörülés:5,0,Kereszténydemokrata:7 Tömörülés:5,0,-1.02545
[CLS] Kick Stokhuyzen:5 tagja a [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] politikai pártnak:2 . [SEP],a - ( és a a - ( ),Szabadság:4 és Demokrácia:3 Néppártja:4,0,Szabadság:4 és Demokrácia:3 Néppártja:4,0,-1.43432
[CLS] Herman Vermeer:2 tagja a [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] politikai pártnak:2 . [SEP],- ( - ) ( - - ),Szabadság:4 és Demokrácia:3 Néppártja:4,0,Szabadság:4 és Demokrácia:3 Néppártja:4,0,-0.91191
