sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> Be ug ró</w> eredetileg</w> <special1> su gá roz ták</w> .</w> </s>,2007-ben</w>,TV 2</w>,0,TV 2</w>,0,-2.35530
</s> A</w> cég</w> hang ja</w> eredetileg</w> <special1> su gá roz ták</w> .</w> </s>,Olaszországban</w>,Vi as at</w> 3</w>,0,Vi as at</w> 3</w>,0,-1.46788
</s> Napoléon</w> eredetileg</w> <special1> su gá roz ták</w> .</w> </s>,Olaszországban</w>,France</w> 2</w>,0,France</w> 2</w>,0,-1.89409
</s> Ang y alb őr ben</w> eredetileg</w> <special1> su gá roz ták</w> .</w> </s>,filmet</w>,M1</w>,0,M1</w>,0,-1.10481
</s> Szom szé dok</w> eredetileg</w> <special1> su gá roz ták</w> .</w> </s>,Olaszországban</w>,Magyar</w> Telev í zió</w>,0,Magyar</w> Telev í zió</w>,0,-1.71004
</s> G usz tá v</w> eredetileg</w> <special1> su gá roz ták</w> .</w> </s>,Magyarországon</w>,Magyar</w> Telev í zió</w>,0,Magyar</w> Telev í zió</w>,0,-1.52183
</s> Hack tion</w> eredetileg</w> <special1> su gá roz ták</w> .</w> </s>,Olaszországban</w>,M1</w>,0,M1</w>,0,-2.02117
</s> Há ry</w> János</w> eredetileg</w> <special1> su gá roz ták</w> .</w> </s>,Olaszországban</w>,Magyar</w> Telev í zió</w>,0,Magyar</w> Telev í zió</w>,0,-2.24852
"</s> Magyarország</w> ,</w> szeret lek</w> !</w> eredetileg</w> <special1> <special1> <special1> <special1> <special1> su gá roz ták</w> .</w> </s>",Magyarország</w> zió</w> zió</w> csat 1-jén</w>,M1</w>,0,M1</w>,0,-1.46052
</s> Magyarország</w> története</w> eredetileg</w> <special1> <special1> <special1> <special1> su gá roz ták</w> .</w> </s>,Magyarország</w> édia</w> csat éig</w>,M1</w>,0,M1</w>,0,-2.50365
</s> Mind en ből</w> egy</w> van</w> eredetileg</w> <special1> <special1> su gá roz ták</w> .</w> </s>,Francia nyelven</w>,M1</w>,0,M1</w>,0,-2.32308
</s> Mun ka ügy ek</w> eredetileg</w> <special1> su gá roz ták</w> .</w> </s>,Olaszországban</w>,M1</w>,0,M1</w>,0,-1.54448
</s> Panor á ma</w> (</w> mű sor</w> )</w> eredetileg</w> <special1> su gá roz ták</w> .</w> </s>,Olaszországban</w>,M1</w>,0,M1</w>,0,-1.27461
</s> SZ Ó S Z</w> ?</w> !</w> :</w> )</w> eredetileg</w> <special1> su gá roz ták</w> .</w> </s>,Magyarországon</w>,M2</w>,0,M2</w>,0,-1.30578
</s> Sloven ski</w> ut rin ki</w> eredetileg</w> <special1> su gá roz ták</w> .</w> </s>,Magyarországon</w>,D una</w> Telev í zió</w>,0,D una</w> Telev í zió</w>,0,-1.49542
</s> Szá j hő sök</w> eredetileg</w> <special1> su gá roz ták</w> .</w> </s>,Magyarországon</w>,M1</w>,0,M1</w>,0,-1.21997
