sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> Gar ai</w> Gábor</w> tagja</w> a</w> <special1> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,megyei</w> demok rata</w> megyei</w>,Magyar</w> Sz oci alista</w> Munká sp árt</w>,0,Magyar</w> Sz oci alista</w> Munká sp árt</w>,0,-0.80839
</s> Pál</w> Lé ná rd</w> tagja</w> a</w> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Felső őr</w> megyei</w>,Magyar</w> Sz oci alista</w> Munká sp árt</w>,0,Magyar</w> Sz oci alista</w> Munká sp árt</w>,0,-1.05681
</s> Simon</w> István</w> tagja</w> a</w> <special1> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Fid esz</w> nevű</w> magyarországi</w>,Magyar</w> Sz oci alista</w> Munká sp árt</w>,0,Magyar</w> Sz oci alista</w> Munká sp árt</w>,0,-0.84980
</s> Német h</w> László</w> tagja</w> a</w> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Fid esz</w>,Nemzeti</w> Par asz t párt</w>,0,Nemzeti</w> Par asz t párt</w>,0,-0.79790
</s> Kár pá ti</w> Ferenc</w> tagja</w> a</w> <special1> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Fid esz</w> nevű</w> magyarországi</w>,Magyar</w> Sz oci alista</w> Munká sp árt</w>,0,Magyar</w> Sz oci alista</w> Munká sp árt</w>,0,-0.92292
</s> Gé czi</w> István</w> tagja</w> a</w> <special1> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,keresztény</w> demok rata</w> magyarországi</w>,Magyar</w> Sz oci alista</w> Munká sp árt</w>,0,Magyar</w> Sz oci alista</w> Munká sp árt</w>,0,-0.72191
</s> Lá zá r</w> János</w> tagja</w> a</w> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Fid esz</w>,Fid esz</w>,1,Fid esz</w>,1,-1.14158
</s> Leh ot zky</w> Egy ed</w> tagja</w> a</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Magyar</w> Országos</w> Szövet ségi</w> Szövet sége</w> nevű</w> magyarországi</w>,De á k- párt</w>,0,De á k- párt</w>,0,-0.92690
</s> And rá s fal vy</w> Ber talan</w> tagja</w> a</w> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Zala</w> megyei</w> szabad</w>,Magyar</w> Demok rata</w> F ó rum</w>,0,Magyar</w> Demok rata</w> F ó rum</w>,0,-1.01008
</s> And rá s sy</w> Tiv adar</w> tagja</w> a</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Magyar</w> szág szág szág szág</w> nevű</w> magyarországi</w>,Szab adel v ű</w> P árt</w>,0,Szab adel v ű</w> P árt</w>,0,-0.85817
</s> Ap á thy</w> István</w> tagja</w> a</w> <special1> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,keresztény</w> demok rata</w> magyarországi</w>,Szab adel v ű</w> P árt</w>,0,Szab adel v ű</w> P árt</w>,0,-0.65351
</s> A szó di</w> Pál</w> tagja</w> a</w> <special1> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,keresztény</w> demok rata</w> magyarországi</w>,Fid esz</w>,0,Fid esz</w>,0,-0.71419
</s> Bar tha</w> Miklós</w> tagja</w> a</w> <special1> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,keresztény</w> demok rata</w> magyarországi</w>,N egy ven nyol cas</w> Fü gg etlen ségi</w> P árt</w>,0,N egy ven nyol cas</w> Fü gg etlen ségi</w> P árt</w>,0,-0.79436
</s> Bar á th</w> E tele</w> tagja</w> a</w> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Felső őr</w> megyei</w>,Magyar</w> Sz oci alista</w> P árt</w>,0,Magyar</w> Sz oci alista</w> P árt</w>,0,-0.91514
</s> Bat thy ány</w> Lajos</w> tagja</w> a</w> <special1> <special1> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Magyar</w> Demok rata</w> párt</w> magyarországi</w>,Szab adel v ű</w> P árt</w>,0,Szab adel v ű</w> P árt</w>,0,-1.19103
</s> B eke</w> Kata</w> tagja</w> a</w> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Zala</w> megyei</w> megyei</w>,Magyar</w> Demok rata</w> F ó rum</w>,0,Magyar</w> Demok rata</w> F ó rum</w>,0,-1.01436
</s> Bet len</w> Osz kár</w> tagja</w> a</w> <special1> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Nemzet Nemzet Nemzet Nemzet,Magyar</w> Sz oci alista</w> Munká sp árt</w>,0,Magyar</w> Sz oci alista</w> Munká sp árt</w>,0,-0.76042
</s> Ola jos</w> Péter</w> tagja</w> a</w> <special1> <special1> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,név</w> nélküli</w> magyarországi</w> független</w> független</w>,Magyar</w> Demok rata</w> F ó rum</w>,0,Magyar</w> Demok rata</w> F ó rum</w>,0,-1.01426
</s> G lat t felder</w> Béla</w> tagja</w> a</w> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Zala</w> megyei</w> független</w>,Fid esz</w>,0,Fid esz</w>,0,-0.86177
</s> Boz ó ki</w> András</w> tagja</w> a</w> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Felső őr</w> megyei</w>,Fid esz</w>,0,Fid esz</w>,0,-0.78863
</s> Ka as</w> I vor</w> tagja</w> a</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,ǃ ǁ ǁ ǁ ǁ ǁ név</w> nélküli</w>,Szab adel v ű</w> P árt</w>,0,Szab adel v ű</w> P árt</w>,0,-0.52475
</s> Kal ten bach</w> Jenő</w> tagja</w> a</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Magyar</w> Szövet Szövet ségi</w> Szövet ségi</w> magyarországi</w>,P ár beszé d</w> Magyarország ért</w>,0,P ár beszé d</w> Magyarország ért</w>,0,-1.01775
</s> K elemen</w> C saba</w> tagja</w> a</w> <special1> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,környezet védelmi</w> párt</w> nevű</w>,Mi</w> Haz án k</w> Moz gal om</w>,0,Mi</w> Haz án k</w> Moz gal om</w>,0,-0.47932
</s> Kol oz s</w> András</w> tagja</w> a</w> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Felső őr</w> megyei</w>,Magyar</w> Sz oci alista</w> P árt</w>,0,Magyar</w> Sz oci alista</w> P árt</w>,0,-0.82882
</s> Kom ás sy</w> Á kos</w> tagja</w> a</w> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Fid esz</w>,Magyar</w> Sz oci alista</w> P árt</w>,0,Magyar</w> Sz oci alista</w> P árt</w>,0,-0.76944
</s> Kö pec zi</w> Béla</w> tagja</w> a</w> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Felső őr</w> megyei</w>,Magyar</w> Dol goz ók</w> P ár tja</w>,0,Magyar</w> Dol goz ók</w> P ár tja</w>,0,-0.89152
</s> Sch var cz</w> Gyula</w> tagja</w> a</w> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Felső őr</w> megyei</w>,Szab adel v ű</w> P árt</w>,0,Szab adel v ű</w> P árt</w>,0,-0.89883
</s> Sol té sz</w> Nagy</w> Kálmán</w> tagja</w> a</w> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Felső őr</w> megyei</w>,Szab adel v ű</w> P árt</w>,0,Szab adel v ű</w> P árt</w>,0,-0.97744
</s> Stad inger</w> István</w> tagja</w> a</w> <special1> <special1> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,keresztény</w> demok rata</w> párt</w> nevű</w>,"""</w> Tör té nel mi</w> ""</w> Sz oci ál demok rata</w> P árt</w>",0,"""</w> Tör té nel mi</w> ""</w> Sz oci ál demok rata</w> P árt</w>",0,-0.53020
</s> Szabó</w> Kálmán</w> tagja</w> a</w> <special1> <special1> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Nemzet gazdasági</w> Állam szövetség</w> magyarországi</w>,De á k- párt</w>,0,De á k- párt</w>,0,-0.87212
</s> Sz alay</w> László</w> tagja</w> a</w> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Fid esz</w>,Fel irati</w> P árt</w>,0,Fel irati</w> P árt</w>,0,-0.86178
</s> Sz ob ek</w> András</w> tagja</w> a</w> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Felső őr</w> megyei</w>,Magyar</w> Sz oci alista</w> Munká sp árt</w>,0,Magyar</w> Sz oci alista</w> Munká sp árt</w>,0,-0.67412
</s> Gy őr ffy</w> Bal áz s</w> tagja</w> a</w> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Fid esz</w>,Fid esz</w>,1,Fid esz</w>,1,-0.63104
</s> Ková cs</w> Béla</w> tagja</w> a</w> <special1> <special1> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Budapesti</w> Köz úti</w> Múzeum</w> magyarországi</w>,Magyar</w> Dol goz ók</w> P ár tja</w>,0,Magyar</w> Dol goz ók</w> P ár tja</w>,0,-0.86276
</s> Gy ut ai</w> C saba</w> tagja</w> a</w> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Felső őr</w> megyei</w>,Fid esz</w>,0,Fid esz</w>,0,-1.03317
</s> Ivan ics</w> Ferenc</w> tagja</w> a</w> <special1> <special1> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,keresztény</w> demok rata</w> párt</w> magyarországi</w>,Fid esz</w>,0,Fid esz</w>,0,-0.52589
</s> Mi ák its</w> Ferenc</w> tagja</w> a</w> <special1> <special1> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Nemzet Nemzet Nemzet párt</w> magyarországi</w>,Magyar országi</w> Sz oci ál demok rata</w> P árt</w>,0,Magyar országi</w> Sz oci ál demok rata</w> P árt</w>,0,-0.93850
</s> Föl desi</w> Gyula</w> tagja</w> a</w> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Fid esz</w>,Fid esz</w>,1,Fid esz</w>,1,-1.29323
</s> Ju há sz</w> Péter</w> tagja</w> a</w> <special1> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,környezet védelmi</w> párt</w> nevű</w>,Egy ü tt</w>,0,Egy ü tt</w>,0,-0.49903
</s> Mes zer ics</w> Tamás</w> tagja</w> a</w> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Demok rata</w> nevű</w>,L MP</w> -</w> Magyarország</w> Z öld</w> P ár tja</w>,0,L MP</w> -</w> Magyarország</w> Z öld</w> P ár tja</w>,0,-0.62434
</s> Spe id l</w> Zoltán</w> tagja</w> a</w> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Fid esz</w>,Magyar</w> Demok rata</w> F ó rum</w>,0,Magyar</w> Demok rata</w> F ó rum</w>,0,-0.84222
</s> Var ju</w> László</w> tagja</w> a</w> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Zala</w> megyei</w> megyei</w>,Magyar</w> Sz oci alista</w> P árt</w>,0,Magyar</w> Sz oci alista</w> P árt</w>,0,-0.62468
</s> Hal z l</w> József</w> tagja</w> a</w> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Felső őr</w> megyei</w>,Magyar</w> Demok rata</w> F ó rum</w>,0,Magyar</w> Demok rata</w> F ó rum</w>,0,-0.85421
</s> Hal ász</w> Al fré d</w> tagja</w> a</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Magyar</w> Nemzeti</w> Demok rata</w> párt</w> megyei</w> megyei</w> megyei</w> megyei</w> megyei</w>,Magyar országi</w> Sz oci ál demok rata</w> P árt</w>,0,Magyar országi</w> Sz oci ál demok rata</w> P árt</w>,0,-0.63576
</s> Kak uk</w> György</w> tagja</w> a</w> <special1> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Felső őr</w> megyei</w> országos</w>,Demokrat ikus</w> Ko al í ció</w>,0,Demokrat ikus</w> Ko al í ció</w>,0,-0.71258
</s> Bar ab ás</w> Rich árd</w> tagja</w> a</w> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Felső őr</w> megyei</w>,P ár beszé d</w> Magyarország ért</w>,0,P ár beszé d</w> Magyarország ért</w>,0,-0.95019
</s> Pint ér</w> Tamás</w> tagja</w> a</w> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Fid esz</w>,Job bik</w> Magyarország ért</w> Moz gal om</w>,0,Job bik</w> Magyarország ért</w> Moz gal om</w>,0,-0.93623
</s> Leit ner</w> Gábor</w> tagja</w> a</w> <special1> <special1> <special1> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,párt</w> Nemzeti</w> Social demok rata</w> magyarországi</w>,Ker esz tény demok rata</w> Né pp árt</w>,0,Ker esz tény demok rata</w> Né pp árt</w>,0,-0.74452
</s> Mag da</w> Sándor</w> tagja</w> a</w> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Felső őr</w> megyei</w>,Magyar</w> Sz oci alista</w> P árt</w>,0,Magyar</w> Sz oci alista</w> P árt</w>,0,-0.91713
</s> Mol nár</w> László</w> tagja</w> a</w> <special1> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,keresztény</w> demok rata</w> magyarországi</w>,Magyar</w> Sz oci alista</w> P árt</w>,0,Magyar</w> Sz oci alista</w> P árt</w>,0,-0.79495
</s> Miz sei</w> Béla</w> tagja</w> a</w> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Felső őr</w> megyei</w>,"Fü gg etlen</w> Kis gaz da -</w> ,</w> F öld munká s-</w> és</w> Pol gá ri</w> P árt</w>",0,"Fü gg etlen</w> Kis gaz da -</w> ,</w> F öld munká s-</w> és</w> Pol gá ri</w> P árt</w>",0,-0.70765
</s> Mihály</w> Zoltán</w> tagja</w> a</w> <special1> <special1> <special1> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Magyar</w> Nemzeti</w> Szövet ségi</w> Pest</w> megyei</w>,Magyar</w> Sz oci alista</w> Munká sp árt</w>,0,Magyar</w> Sz oci alista</w> Munká sp árt</w>,0,-0.85741
</s> M ád ai</w> Péter</w> tagja</w> a</w> <special1> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,keresztény</w> demok rata</w> magyarországi</w>,Sz abad</w> Demokrat ák</w> Szövet sége</w>,0,Sz abad</w> Demokrat ák</w> Szövet sége</w>,0,-0.77188
</s> Mé szá ros</w> Gyula</w> tagja</w> a</w> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Felső őr</w> megyei</w>,Ker esz tény demok rata</w> Né pp árt</w>,0,Ker esz tény demok rata</w> Né pp árt</w>,0,-0.93028
</s> Mat yi</w> László</w> tagja</w> a</w> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Felső őr</w> megyei</w>,Sz abad</w> Demokrat ák</w> Szövet sége</w>,0,Sz abad</w> Demokrat ák</w> Szövet sége</w>,0,-0.87332
</s> N yak ó</w> István</w> tagja</w> a</w> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Felső őr</w> megyei</w>,Magyar</w> Sz oci alista</w> P árt</w>,0,Magyar</w> Sz oci alista</w> P árt</w>,0,-0.73502
</s> Nagy</w> Var ga</w> Dez ső</w> tagja</w> a</w> <special1> politikai</w> pár t nak</w> .</w> </s>,megyei</w>,Nemzeti</w> Par asz t párt</w>,0,Nemzeti</w> Par asz t párt</w>,0,-0.88497
</s> Pas z ter ná k</w> László</w> tagja</w> a</w> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Fid esz</w>,Magyar</w> Sz oci alista</w> Munká sp árt</w>,0,Magyar</w> Sz oci alista</w> Munká sp árt</w>,0,-0.56556
</s> Per j és</w> Gábor</w> tagja</w> a</w> <special1> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,keresztény</w> demok rata</w> magyarországi</w>,Magyar</w> Demok rata</w> F ó rum</w>,0,Magyar</w> Demok rata</w> F ó rum</w>,0,-0.78703
</s> P ap</w> János</w> tagja</w> a</w> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Felső őr</w> megyei</w>,Fid esz</w>,0,Fid esz</w>,0,-0.73416
</s> Pó da</w> Jenő</w> tagja</w> a</w> <special1> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,név</w> nélküli</w> független</w> magyarországi</w>,Magyar</w> Demok rata</w> F ó rum</w>,0,Magyar</w> Demok rata</w> F ó rum</w>,0,-1.18841
</s> P ász to hy</w> András</w> tagja</w> a</w> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Felső őr</w> megyei</w>,Magyar</w> Sz oci alista</w> Munká sp árt</w>,0,Magyar</w> Sz oci alista</w> Munká sp árt</w>,0,-0.82991
</s> Rig ler</w> Zoltán</w> tagja</w> a</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Magyar</w> Nemzeti</w> Szövet ségi</w> párt</w> Szövet megyei</w> országos</w>,Fid esz</w>,0,Fid esz</w>,0,-0.66992
</s> Ró nav öl gyi</w> End ré né</w> tagja</w> a</w> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Felső őr</w> megyei</w>,Magyar</w> Sz oci alista</w> P árt</w>,0,Magyar</w> Sz oci alista</w> P árt</w>,0,-0.92280
</s> R ác z</w> István</w> tagja</w> a</w> <special1> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,keresztény</w> demok rata</w> magyarországi</w>,Fid esz</w>,0,Fid esz</w>,0,-0.81145
</s> Szabó</w> Attila</w> tagja</w> a</w> <special1> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Fid esz</w> nevű</w> magyarországi</w>,Fid esz</w>,0,Fid esz</w>,0,-0.83723
</s> Szabó</w> József</w> And or</w> tagja</w> a</w> <special1> <special1> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Magyar</w> Nép szövetség</w> megyei</w> megyei</w>,Fid esz</w>,0,Fid esz</w>,0,-0.82578
</s> Sz iny ei</w> András</w> tagja</w> a</w> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Felső őr</w> megyei</w>,Fid esz</w>,0,Fid esz</w>,0,-0.77879
</s> Sis ák</w> Imre</w> János</w> tagja</w> a</w> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Fid esz</w>,Magyar</w> Demok rata</w> F ó rum</w>,0,Magyar</w> Demok rata</w> F ó rum</w>,0,-1.03562
</s> Sz aut er</w> Rudolf</w> tagja</w> a</w> <special1> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Osz trák</w> független ségi</w>,Magyar</w> Demok rata</w> F ó rum</w>,0,Magyar</w> Demok rata</w> F ó rum</w>,0,-0.48828
</s> Sz ig eti</w> György</w> tagja</w> a</w> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Felső őr</w> megyei</w>,Sz abad</w> Demokrat ák</w> Szövet sége</w>,0,Sz abad</w> Demokrat ák</w> Szövet sége</w>,0,-0.74831
</s> Szabó</w> János</w> tagja</w> a</w> <special1> <special1> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Nemzet őr ségi</w> Pest</w> megyei</w>,Magyar</w> Demok rata</w> F ó rum</w>,0,Magyar</w> Demok rata</w> F ó rum</w>,0,-1.07681
</s> Sz él</w> Péter</w> tagja</w> a</w> <special1> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Fid esz</w> megyei</w> országos</w>,Magyar</w> Demok rata</w> F ó rum</w>,0,Magyar</w> Demok rata</w> F ó rum</w>,0,-0.73641
</s> Sch var cz</w> Tibor</w> tagja</w> a</w> <special1> <special1> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Magyarország</w> miniszter elnöke</w> előtti</w> országos</w>,Magyar</w> Sz oci alista</w> P árt</w>,0,Magyar</w> Sz oci alista</w> P árt</w>,0,-0.80178
</s> Simon</w> József</w> tagja</w> a</w> <special1> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Fid esz</w> nevű</w> magyarországi</w>,Magyar</w> Sz oci alista</w> P árt</w>,0,Magyar</w> Sz oci alista</w> P árt</w>,0,-0.91259
</s> Szabó</w> Kat alin</w> tagja</w> a</w> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Felső őr</w> megyei</w>,Magyar</w> Sz oci alista</w> P árt</w>,0,Magyar</w> Sz oci alista</w> P árt</w>,0,-1.14003
</s> Tó th</w> Albert</w> tagja</w> a</w> <special1> <special1> <special1> <special1> <special1> politikai</w> pár t nak</w> .</w> </s>,Budapesti</w> Köz úti</w> Múzeum</w> magyarországi</w>,Magyar</w> Demok rata</w> F ó rum</w>,0,Magyar</w> Demok rata</w> F ó rum</w>,0,-0.77359
