sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Vacansoleil:4 bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP],decans:2 vanil:2,Nederland,0,Nederland,0,-2.25748
[CLS] KLM:2 Cityhopper:3 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],KLM:2 van KLM:2,Nederland,0,Nederland,0,-1.58787
[CLS] COVRA:3 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de . van .o:2,Nederland,0,Nederland,0,-2.78183
[CLS] Corendon:3 Dutch Airlines bevindt zich in [MASK] . [SEP],Rotterdam,Nederland,0,Nederland,0,-2.61899
[CLS] Douwe:2 Egberts:4 bevindt zich in [MASK] [MASK] . [SEP],de gemeente,Nederland,0,Nederland,0,-2.05878
[CLS] Jan van den Heuvel:2 bevindt zich in [MASK] [MASK] . [SEP],de wijk,Nederland,0,Nederland,0,-1.84879
[CLS] Stork:3 bevindt zich in [MASK] [MASK] [MASK] . [SEP],de .k:2,Nederland,0,Nederland,0,-2.74693
[CLS] Eyes + more bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de . van . .,Duitsland,0,Duitsland,0,-2.71711
[CLS] Rochdale:3 bevindt zich in [MASK] . [SEP],Lancashire,Nederland,0,Nederland,0,-2.27030
[CLS] EHMA:3 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"de . , . .",Nederland,0,Nederland,0,-2.68902
[CLS] Podium:2 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de . van .ium:2,Nederland,0,Nederland,0,-2.70553
[CLS] Nederlandsche:2 Electrolasch:5 Maatschappij:2 bevindt zich in [MASK] . [SEP],Delft,Nederland,0,Nederland,0,-2.51894
[CLS] Gemalto:3 bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de . van deo:2,Nederland,0,Nederland,0,-2.81390
