sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Zoltán Lantos:2 plays [MASK] [MASK] [MASK] . [SEP],a football player,jazz violin,0,jazz violin,0,-1.96710
[CLS] Zsigmond Szathmáry:5 plays [MASK] [MASK] [MASK] . [SEP],a . p,organ,0,organ,0,-1.31565
[CLS] Zsolt:3 Gárdonyi:3 plays [MASK] [MASK] [MASK] . [SEP],a . k,organ,0,organ,0,-1.48950
[CLS] John Sigismund Zápolya:4 plays [MASK] [MASK] [MASK] [MASK] . [SEP],the father of John,organ,0,organ,0,-1.38275
[CLS] Emánuel:3 Moór:2 plays [MASK] [MASK] [MASK] [MASK] . [SEP],the club of football,piano,0,piano,0,-1.45785
[CLS] Bertalan:2 Hock:2 plays [MASK] [MASK] [MASK] . [SEP],the title character,organ,0,organ,0,-1.20290
[CLS] Dezső:3 Antalffy:2 - Zsiross:3 plays [MASK] [MASK] [MASK] [MASK] . [SEP],- szerelem:3,organ,0,organ,0,-1.32092
[CLS] Antos:2 Kálmán plays [MASK] [MASK] . [SEP],the actor,organ,0,organ,0,-2.39522
[CLS] Tamás Barta:2 plays [MASK] [MASK] [MASK] [MASK] . [SEP],the club of football,voice,0,voice,0,-1.60123
[CLS] István Baróti:3 plays [MASK] [MASK] [MASK] . [SEP],a ballon:2,organ,0,organ,0,-1.85063
[CLS] Sándor Bárdi:2 plays [MASK] [MASK] [MASK] . [SEP],the leading role,voice,0,voice,0,-1.82283
[CLS] Zorán:2 Sztevanovity:4 plays [MASK] [MASK] [MASK] . [SEP],the minor role,guitar,0,guitar,0,-1.25800
[CLS] László Bódi:3 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in the Hungarian national team,piano,0,piano,0,-1.70973
[CLS] Balázs Farkas:2 - Jenser:2 plays [MASK] [MASK] [MASK] [MASK] . [SEP],the club of football,voice,0,voice,0,-1.67970
[CLS] György Filip plays [MASK] [MASK] [MASK] [MASK] . [SEP],. György Filip plays,voice,0,voice,0,-1.43099
[CLS] Attila Garay:2 plays [MASK] [MASK] [MASK] . [SEP],the minor role,piano,0,piano,0,-1.85591
[CLS] János Gosztonyi:3 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the name of the novel,organ,0,organ,0,-1.74638
[CLS] Péter Huzella:3 plays [MASK] [MASK] [MASK] . [SEP],a . k,voice,0,voice,0,-1.58592
[CLS] Gábor Ihász:3 plays [MASK] [MASK] [MASK] . [SEP],a . k,voice,0,voice,0,-1.74178
[CLS] Tamás Kosóczki:3 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],a szerzőöt:4,organ,0,organ,0,-1.97354
[CLS] András Kozma:2 plays [MASK] [MASK] . [SEP],the role,voice,0,voice,0,-1.97428
[CLS] Zoltán Kékes:3 plays [MASK] [MASK] [MASK] . [SEP],a . k,guitar,0,guitar,0,-1.33528
[CLS] István Lerch:2 plays [MASK] [MASK] [MASK] . [SEP],the minor role,piano,0,piano,0,-1.85606
[CLS] Vilmos:2 Leányfalusi:4 plays [MASK] [MASK] [MASK] . [SEP],a . k,organ,0,organ,0,-1.33431
[CLS] Csaba:2 Szigeti:3 plays [MASK] [MASK] [MASK] . [SEP],the second part,piano,0,piano,0,-1.78628
[CLS] János Másik:2 plays [MASK] [MASK] [MASK] . [SEP],the second part,voice,0,voice,0,-2.13647
[CLS] Attila Mátyás:2 plays [MASK] [MASK] [MASK] [MASK] . [SEP],the law of law,voice,0,voice,0,-1.94102
[CLS] Péter Máté:2 plays [MASK] [MASK] [MASK] . [SEP],a . k,piano,0,piano,0,-1.59783
[CLS] Feró:2 Nagy plays [MASK] [MASK] [MASK] . [SEP],a terep:2,piano,0,piano,0,-1.88965
[CLS] Gábor Novai:2 plays [MASK] [MASK] . [SEP],the actor,voice,0,voice,0,-2.05848
[CLS] Imre Poniklo:3 plays [MASK] [MASK] [MASK] . [SEP],a football player,voice,0,voice,0,-1.28400
[CLS] Lóránt:3 Réz:3 plays [MASK] [MASK] [MASK] . [SEP],the second part,organ,0,organ,0,-1.78050
[CLS] Lilla Szathmáry:5 plays [MASK] [MASK] [MASK] [MASK] . [SEP],the play - play,organ,0,organ,0,-1.99930
[CLS] Petra Varga plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,organ,0,organ,0,-1.11739
[CLS] Xavér:3 Varnus:2 plays [MASK] [MASK] [MASK] . [SEP],the minor role,organ,0,organ,0,-1.83935
[CLS] Joseph Ács:2 plays [MASK] [MASK] . [SEP],the actor,organ,0,organ,0,-1.72297
[CLS] Alexander Albrecht plays [MASK] [MASK] . [SEP],the actor,organ,0,organ,0,-1.84172
[CLS] István Ella plays [MASK] [MASK] [MASK] [MASK] . [SEP],. István Ella plays,organ,0,organ,0,-1.16798
[CLS] András Szentkirályi:4 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the role of the priest,organ,0,organ,0,-1.71885
[CLS] József Pécsi:3 - Prichystal:3 plays [MASK] [MASK] [MASK] . [SEP],the second part,trombone,0,trombone,0,-1.70820
[CLS] György Deák:2 - Bárdos:2 plays [MASK] [MASK] [MASK] [MASK] . [SEP],the role of God,organ,0,organ,0,-1.67733
[CLS] Gábor Lisznyai:4 Szabó plays [MASK] [MASK] . [SEP],the actor,organ,0,organ,0,-1.68117
[CLS] Melinda:2 Kistétényi:3 plays [MASK] [MASK] . [SEP],an actress,organ,0,organ,0,-1.42077
[CLS] Lajos Ákom:2 plays [MASK] [MASK] [MASK] [MASK] . [SEP],in the national team,organ,0,organ,0,-1.16586
[CLS] Mátyás:2 Kozma:2 plays [MASK] [MASK] [MASK] . [SEP],a clarinetto:2,organ,0,organ,0,-1.01242
[CLS] János Petrás:2 plays [MASK] [MASK] [MASK] [MASK] . [SEP],a szerepe:3,voice,0,voice,0,-2.20504
[CLS] Emőke:3 Lipcsey:4 plays [MASK] [MASK] [MASK] [MASK] . [SEP],a szerepe:3,organ,0,organ,0,-1.77708
[CLS] Tamás Szekendy:4 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],a szerzőt:4,organ,0,organ,0,-2.09290
[CLS] Izabella:3 Kuliffay:3 plays [MASK] [MASK] . [SEP],the role,piano,0,piano,0,-1.61591
[CLS] László Antal Csíky:3 plays [MASK] [MASK] [MASK] . [SEP],the voice actor,organ,0,organ,0,-1.92352
[CLS] Mihály Móricz:3 plays [MASK] [MASK] [MASK] . [SEP],. . .,voice,0,voice,0,-1.20162
[CLS] Balázs Méhes:3 plays [MASK] [MASK] [MASK] . [SEP],a football player,organ,0,organ,0,-2.00357
[CLS] Péter Schmidt plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],a . k . a,organ,0,organ,0,-1.79801
[CLS] Zoltán Kiss plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,organ,0,organ,0,-0.98849
[CLS] Zoltán Beck plays [MASK] [MASK] [MASK] [MASK] . [SEP],the club of football,voice,0,voice,0,-1.59535
[CLS] Endre Kovacs:3 plays [MASK] [MASK] [MASK] . [SEP],the main character,organ,0,organ,0,-2.17371
[CLS] Norbert Bonczók:3 plays [MASK] [MASK] [MASK] . [SEP],clarinet clarinet clarinet,piano,0,piano,0,-0.51075
[CLS] Károly Rezik:2 plays [MASK] [MASK] . [SEP],the role,organ,0,organ,0,-1.76259
[CLS] Attila Dóka:3 plays [MASK] [MASK] . [SEP],the voice,voice,0,voice,0,-2.12051
[CLS] Freddie plays [MASK] . [SEP],Freddie,guitar,0,guitar,0,-0.88949
[CLS] Mira Farkas:2 plays [MASK] [MASK] [MASK] . [SEP],the minor role,pedal harp:2,0,pedal harp:2,0,-2.11632
[CLS] Judit:2 Andrejszki:3 plays [MASK] [MASK] [MASK] [MASK] . [SEP],the club of football,organ,0,organ,0,-1.73899
[CLS] János Hammerschlag:2 plays [MASK] [MASK] . [SEP],the voice,organ,0,organ,0,-2.50798
[CLS] Balasi:2 Barnabás:3 plays [MASK] [MASK] [MASK] . [SEP],the football team,organ,0,organ,0,-1.25863
[CLS] Csaba:2 Király:3 plays [MASK] [MASK] [MASK] . [SEP],the second part,organ,0,organ,0,-2.09644
[CLS] Ferenc Zsasskovszky:5 plays [MASK] [MASK] [MASK] [MASK] . [SEP],in the Czech Republic,organ,0,organ,0,-1.50255
[CLS] Jenő Menyhárt:4 plays [MASK] [MASK] [MASK] . [SEP],a theatre actor,voice,0,voice,0,-1.71740
[CLS] István Komáromi:3 plays [MASK] [MASK] [MASK] . [SEP],a . k,voice,0,voice,0,-1.53574
[CLS] Csilla:3 Alföldy:3 - Boruss:3 plays [MASK] [MASK] [MASK] [MASK] . [SEP],the local football team,organ,0,organ,0,-1.66191
[CLS] Ernő:2 Sipőcz:4 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],a szerepét:4,guitar,0,guitar,0,-1.65834
[CLS] Somogyi:3 - Tóth Dániel:3 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],a szerepét:4,organ,0,organ,0,-1.48810
[CLS] Ádám:3 Végvári:3 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],a szerepét:4,voice,0,voice,0,-1.55155
[CLS] Szabolcs:4 Szamosi:3 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],for Szabolcs:4,organ,0,organ,0,-1.00416
[CLS] Péter Dobszay:4 plays [MASK] [MASK] . [SEP],the actor,organ,0,organ,0,-1.87206
[CLS] Ferenc Gerencsér:4 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],for the Hungarian national team,hammered:3 dulcimer:3,0,hammered:3 dulcimer:3,0,-1.51077
[CLS] András Szalai:3 plays [MASK] [MASK] [MASK] . [SEP],the main character,hammered:3 dulcimer:3,0,hammered:3 dulcimer:3,0,-2.00675
[CLS] Péter Egri:2 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in the Hungarian football team,voice,0,voice,0,-1.67824
[CLS] Sándor Kárpáti:4 plays [MASK] [MASK] [MASK] . [SEP],a . k,organ,0,organ,0,-1.37855
[CLS] David Heatlie:2 plays [MASK] [MASK] [MASK] [MASK] . [SEP],the O . O,voice,0,voice,0,-2.07772
[CLS] Tibor Pikéthy:3 plays [MASK] [MASK] [MASK] [MASK] . [SEP],a Pikéthy:3,organ,0,organ,0,-0.94110
[CLS] Gábor Winand:2 plays [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .,voice,0,voice,0,-2.19509
[CLS] Zsolt:3 Máté:2 Mészáros:3 plays [MASK] [MASK] [MASK] [MASK] . [SEP],a szélső:3,organ,0,organ,0,-1.15744
[CLS] Marcellina:2 plays [MASK] [MASK] [MASK] . [SEP],the minor role,voice,0,voice,0,-1.78215
[CLS] Daniel Weltlinger:2 plays [MASK] [MASK] . [SEP],the voice,jazz violin,0,jazz violin,0,-2.05062
[CLS] Géza Wehner:2 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. Géza Wehner:2 plays,organ,0,organ,0,-0.89650
[CLS] Lajos Vasady:2 - Balogh:2 plays [MASK] [MASK] [MASK] . [SEP],a football player,organ,0,organ,0,-1.26290
[CLS] Ilona Szeverényi:4 plays [MASK] [MASK] . [SEP],an actress,hammered:3 dulcimer:3,0,hammered:3 dulcimer:3,0,-1.21719
[CLS] Rezső:3 Kutik:2 plays [MASK] [MASK] [MASK] [MASK] . [SEP],a szerepe:3,classical guitar,0,classical guitar,0,-1.72662
[CLS] Zsolt:3 Mersei:2 plays [MASK] [MASK] [MASK] . [SEP],a German actor,clarinet,0,clarinet,0,-1.70017
[CLS] Veronika Villányi:3 plays [MASK] [MASK] [MASK] . [SEP],the young actress,pedal harp:2,0,pedal harp:2,0,-1.35497
[CLS] Ernő:2 Varasdy:3 plays [MASK] [MASK] [MASK] . [SEP],the film role,percussion,0,percussion,0,-1.47538
[CLS] János Nevelő:2 plays [MASK] [MASK] [MASK] [MASK] . [SEP],in the theatre theatre,percussion,0,percussion,0,-2.22379
[CLS] Aurél:2 Holló:2 plays [MASK] [MASK] . [SEP],the voice,percussion,0,percussion,0,-1.81236
[CLS] László Pogány:3 plays [MASK] [MASK] [MASK] . [SEP],a . k,violin,0,violin,0,-1.76002
[CLS] Sándor Balatoni:2 plays [MASK] [MASK] . [SEP],Balaton:2,pipe organ,0,pipe organ,0,-0.78299
[CLS] Csaba:2 Nagy plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. A . S .,tárogató:3,0,tárogató:3,0,-1.70339
[CLS] Szabolcs:4 Ducsai:2 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],for Szabolcs:4,trumpet,0,trumpet,0,-0.81670
[CLS] Karl Doppler:3 plays [MASK] [MASK] [MASK] [MASK] . [SEP],the son of Karl,Western concert flute,0,Western concert flute,0,-1.76931
[CLS] Antal Molnár:2 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],a szerepét:4,viola,0,viola,0,-1.80241
[CLS] Ferenc Sánta:2 Jr . plays [MASK] [MASK] [MASK] [MASK] . [SEP],the courts tennis courts,violin,0,violin,0,-1.48103
[CLS] Ferenc Gergely:3 plays [MASK] [MASK] [MASK] . [SEP],a football club,pipe organ,0,pipe organ,0,-1.28678
[CLS] Tommy Ramone:2 plays [MASK] [MASK] . [SEP],the drums,drum kit,0,drum kit,0,-1.23427
[CLS] Imre Köszegi:4 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in the Hungarian national team,drum kit,0,drum kit,0,-1.51635
[CLS] Tibor Varga plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,viola,0,viola,0,-1.04582
[CLS] Ottokar:2 Nováček:2 plays [MASK] [MASK] [MASK] . [SEP],the football team,violin,0,violin,0,-2.05298
[CLS] Ferenc Sebő:3 plays [MASK] [MASK] [MASK] . [SEP],a pót:2,guitar,0,guitar,0,-1.33215
[CLS] Gábor Lehotka:3 plays [MASK] [MASK] . [SEP],the actor,pipe organ,0,pipe organ,0,-1.90887
[CLS] Pál Lukács:3 plays [MASK] [MASK] [MASK] . [SEP],a . p,viola,0,viola,0,-1.39796
[CLS] Bálint:3 Bakfark:4 plays [MASK] [MASK] . [SEP],the actor,lute:2,0,lute:2,0,-1.86664
"[CLS] József Bazsinka:3 , Sr . plays [MASK] [MASK] . [SEP]",in football,tuba:2,0,tuba:2,0,-2.46353
[CLS] Dániel:3 Benkő:3 plays [MASK] [MASK] [MASK] [MASK] . [SEP],a színház:3,lute:2,0,lute:2,0,-1.56750
[CLS] Balint:2 Karosi:2 plays [MASK] [MASK] [MASK] . [SEP],the main role,pipe organ,0,pipe organ,0,-1.78326
[CLS] Balázs Szabó plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,pipe organ,0,pipe organ,0,-1.14175
[CLS] Bence:2 Bogányi:2 plays [MASK] [MASK] [MASK] . [SEP],the minor role,bassoon:2,0,bassoon:2,0,-1.37841
[CLS] János Sebestyén:4 plays [MASK] [MASK] [MASK] . [SEP],a . k,pipe organ,0,pipe organ,0,-1.45549
[CLS] Ferenc Debreczeni:4 plays [MASK] [MASK] [MASK] . [SEP],a football club,drum kit,0,drum kit,0,-1.19112
[CLS] Borbála:3 Dobozy:3 plays [MASK] [MASK] [MASK] . [SEP],the football team,harpsichord:4,0,harpsichord:4,0,-1.60067
[CLS] Gyula Dávid:3 plays [MASK] . [SEP],football,viola,0,viola,0,-1.91164
[CLS] Félix Lajkó:3 plays [MASK] [MASK] [MASK] . [SEP],a football player,violin,0,violin,0,-1.68231
[CLS] Tibor Eichinger:3 plays [MASK] [MASK] [MASK] . [SEP],a football player,electric guitar,0,electric guitar,0,-1.07465
[CLS] László Fassang:3 plays [MASK] [MASK] . [SEP],the voice,pipe organ,0,pipe organ,0,-2.35989
[CLS] Kornél:2 Horváth plays [MASK] [MASK] . [SEP],the voice,drum kit,0,drum kit,0,-1.92024
[CLS] Tibor Serly:2 plays [MASK] [MASK] . [SEP],the actor,violin,0,violin,0,-2.09091
[CLS] Zoltán Jeney:2 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,Western concert flute,0,Western concert flute,0,-1.30201
[CLS] Vilmos:2 Jávori:2 plays [MASK] [MASK] [MASK] . [SEP],a football player,drum kit,0,drum kit,0,-1.55528
[CLS] Katalin Kokas:2 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. T . T .,violin,0,violin,0,-1.66400
[CLS] György Lakatos:3 plays [MASK] [MASK] [MASK] . [SEP],the leading role,bassoon:2,0,bassoon:2,0,-1.74750
[CLS] János Pálúr:2 plays [MASK] [MASK] [MASK] . [SEP],a . k,pipe organ,0,pipe organ,0,-1.63919
[CLS] Mihály Ráduly:3 plays [MASK] [MASK] [MASK] [MASK] . [SEP],a szerepé:3,saxophone,0,saxophone,0,-1.53708
[CLS] Roland Szentpáli:3 plays [MASK] [MASK] [MASK] . [SEP],a clarinet clarinet,tuba:2,0,tuba:2,0,-1.24645
[CLS] Elemér:3 Balázs plays [MASK] [MASK] . [SEP],the role,drum kit,0,drum kit,0,-1.90416
[CLS] Roby:2 Lakatos:3 plays [MASK] [MASK] [MASK] [MASK] . [SEP],the D ' s,jazz violin,0,jazz violin,0,-1.64578
[CLS] Szabolcs:4 Zempléni:4 plays [MASK] [MASK] [MASK] [MASK] . [SEP],the varsity:2 team,horn,0,horn,0,-1.42062
[CLS] Zsuzsa:3 Pertis:2 plays [MASK] [MASK] [MASK] . [SEP],the minor role,harpsichord:4,0,harpsichord:4,0,-1.46939
[CLS] László Bársony:3 plays [MASK] [MASK] [MASK] . [SEP],a football player,viola,0,viola,0,-1.89792
[CLS] Koromzay:4 Dénes:3 plays [MASK] [MASK] [MASK] . [SEP],the football team,viola,0,viola,0,-1.45933
[CLS] Miklós Spányi:2 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the character of the actor,harpsichord:4,0,harpsichord:4,0,-2.29485
[CLS] Ervin:2 Schiffer:2 plays [MASK] [MASK] . [SEP],the role,viola,0,viola,0,-1.62029
[CLS] Eugene Lehner:2 plays [MASK] [MASK] . [SEP],the voice,violin,0,violin,0,-1.67792
[CLS] Gergely:3 Sárközy:4 plays [MASK] [MASK] [MASK] [MASK] . [SEP],the play - play,guitar,0,guitar,0,-1.80617
[CLS] Gábor Szentmihályi:4 plays [MASK] [MASK] [MASK] . [SEP],a . k,percussion instrument,0,percussion instrument,0,-1.33922
[CLS] Károly Gianicelli:3 plays [MASK] [MASK] [MASK] . [SEP],a football player,double bass,0,double bass,0,-1.15227
[CLS] Sebestyén:4 Pécsi:3 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],a szerepét:4,pipe organ,0,pipe organ,0,-1.46440
[CLS] István Vincze:3 plays [MASK] [MASK] [MASK] . [SEP],a basso basso,horn,0,horn,0,-1.48979
[CLS] István Grencsó:4 plays [MASK] [MASK] [MASK] . [SEP],a pót:2,saxophone,0,saxophone,0,-1.32579
[CLS] Gusztáv:3 Szerémi:4 plays [MASK] [MASK] [MASK] . [SEP],a football club,viola,0,viola,0,-2.15376
[CLS] Cornell plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,accordion:2,0,accordion:2,0,-0.94695
[CLS] Ádám:3 Szabó plays [MASK] [MASK] [MASK] . [SEP],clarinet clarinet clarinet,accordion:2,0,accordion:2,0,-0.84206
[CLS] Peter Gritz:2 plays [MASK] [MASK] . [SEP],the actor,drum kit,0,drum kit,0,-1.67369
[CLS] András Mohay:2 plays [MASK] [MASK] [MASK] . [SEP],the minor role,drum kit,0,drum kit,0,-1.61170
[CLS] János Temesváry:4 plays [MASK] [MASK] [MASK] . [SEP],a . k,violin,0,violin,0,-1.21108
[CLS] Péter Wagner - Puskás:3 plays [MASK] . [SEP],Wagner,piano,0,piano,0,-0.69648
[CLS] József Weisz:2 plays [MASK] [MASK] [MASK] . [SEP],. . .,drum kit,0,drum kit,0,-1.52094
[CLS] Viktor Tóth plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,alto saxophone,0,alto saxophone,0,-1.06443
[CLS] Alexander Sebald:2 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the "" Sebald:2 """,violin,0,violin,0,-1.99171
[CLS] György Vashegyi:3 plays [MASK] [MASK] . [SEP],the actor,violin,0,violin,0,-1.91435
[CLS] Zoltán Kollonay:3 plays [MASK] [MASK] . [SEP],the piano,piano,0,piano,0,-1.93604
[CLS] Zoltán Tibay:2 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,double bass,0,double bass,0,-1.31888
[CLS] Péter Tornyai:3 plays [MASK] [MASK] [MASK] [MASK] . [SEP],a szerepé:3,viola,0,viola,0,-2.11722
[CLS] Zoltán Mácsai:3 plays [MASK] [MASK] [MASK] [MASK] . [SEP],the club of football,horn,0,horn,0,-1.42420
[CLS] János Sándor plays [MASK] [MASK] [MASK] . [SEP],the first part,percussion instrument,0,percussion instrument,0,-1.60141
[CLS] Georges Janzer:2 plays [MASK] [MASK] [MASK] . [SEP],a local actor,viola,0,viola,0,-1.65467
[CLS] György Konrád:4 plays [MASK] [MASK] [MASK] . [SEP],clarinet clarinet clarinet,violin,0,violin,0,-0.40990
[CLS] Krisztina:3 Faludy:3 plays [MASK] [MASK] . [SEP],the actress,bassoon:2,0,bassoon:2,0,-1.62045
[CLS] András Gábor Virágh:3 plays [MASK] [MASK] . [SEP],the role,pipe organ,0,pipe organ,0,-1.88835
[CLS] Szilvia:3 Takács:2 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],for Szilvia:3 Tak,harpsichord:4,0,harpsichord:4,0,-1.45474
[CLS] Lehel:2 Both plays [MASK] [MASK] . [SEP],the role,piano,0,piano,0,-1.78153
[CLS] Rudolf Malaric:2 plays [MASK] [MASK] . [SEP],the actor,double bass,0,double bass,0,-1.94695
[CLS] Ferenc Sárosi:3 plays [MASK] [MASK] [MASK] . [SEP],a football club,percussion instrument,0,percussion instrument,0,-1.34784
[CLS] Hedi:2 Salanki:2 plays [MASK] [MASK] [MASK] . [SEP],the football team,harpsichord:4,0,harpsichord:4,0,-1.69751
[CLS] László Hara plays [MASK] [MASK] . [SEP],the actor,bassoon:2,0,bassoon:2,0,-2.06220
[CLS] László Ujházy:4 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],a színházt:4,clarinet,0,clarinet,0,-1.83518
[CLS] János Péter plays [MASK] [MASK] . [SEP],the actor,Western concert flute,0,Western concert flute,0,-2.06707
[CLS] Péter Lukács:3 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],a személyt:4,viola,0,viola,0,-1.61222
[CLS] Péter Lukács:3 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],a személyt:4,viola,0,viola,0,-1.61222
