sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> Federal</w> Reserve</w> Bank</w> of</w> New</w> York</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w>,Federal</w> Reserve</w> Bank</w> of</w> New</w> York</w> Building</w>,0,Federal</w> Reserve</w> Bank</w> of</w> New</w> York</w> Building</w>,0,-0.17725
</s> Long</w> Island</w> Rail</w> Road</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w>,Jamaica</w>,0,Jamaica</w>,0,-0.15696
</s> Association</w> for</w> Comput ing</w> Mach iner y</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,│</w> │</w> │</w> │</w> │</w> │</w> │</w> │</w> │</w> │</w>,New</w> York</w>,0,New</w> York</w>,0,-0.23617
</s> Iri dium</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,④</w> ④</w> ④</w> ④</w> ④</w> ④</w> ④</w> ⑤</w> ⑤</w> ⑥</w>,Mc Lean</w>,0,Mc Lean</w>,0,-0.89306
</s> Metropolitan</w> Mű vé szeti</w> Múzeum</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,☃</w> ☃</w> ☃</w> ☃</w> ☃</w> ☃</w> ☃</w> ☃</w> ☃</w>,New</w> York</w>,0,New</w> York</w>,0,-0.42821
</s> Fun im ation</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,̇</w> ̇</w> ̇</w> ̇</w> ̇</w> ̇</w> ̇</w> ̇</w> ̇</w> ̇</w>,Cop pell</w>,0,Cop pell</w>,0,-0.32155
</s> American</w> Broadcasting</w> Company</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w>,New</w> York</w>,0,New</w> York</w>,0,-0.17321
</s> Cis co</w> Systems</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,│</w> │</w> │</w> │</w> │</w> │</w> │</w> │</w> │</w> │</w>,San</w> José</w>,0,San</w> José</w>,0,-0.22824
</s> 3 M</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,̇</w> ̇</w> ̇</w> ̇</w> ̇</w> ̇</w> ̇</w> ̇</w> ̇</w> ̇</w>,Map le wood</w>,0,Map le wood</w>,0,-0.26783
</s> Al coa</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,̇</w> ̇</w> ̇</w> ̇</w> ̇</w> ̇</w> ̇</w> ̇</w> ̇</w> ̇</w>,New</w> York</w>,0,New</w> York</w>,0,-0.23043
