sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] B . B . King speelt [MASK] [MASK] [MASK] . [SEP],de hoofdrol:2,gitaar,0,gitaar,0,-1.97346
[CLS] Joe Satriani:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de muziek in de film,gitaar,0,gitaar,0,-1.88849
[CLS] Billy Joel speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,accordeon:2,0,accordeon:2,0,-1.02155
[CLS] Sheryl:2 Crow speelt [MASK] [MASK] [MASK] . [SEP],de hoofdrol:2,accordeon:2,0,accordeon:2,0,-2.03065
[CLS] Willie Nelson speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,gitaar,0,gitaar,0,-0.98269
[CLS] Charlie Creath:3 speelt [MASK] [MASK] [MASK] . [SEP],de hoofdrol:2,saxofoon:4,0,saxofoon:4,0,-1.88815
[CLS] Pat Metheny:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de hoofdrol:2 in Nashville,gitaar,0,gitaar,0,-2.16108
[CLS] Billy Ray Cyrus speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de film de acteur,gitaar,0,gitaar,0,-2.16975
[CLS] Julieta:2 Venegas:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de rol van Julieta:2,accordeon:2,0,accordeon:2,0,-1.85015
[CLS] Amanda Michalka:2 speelt [MASK] [MASK] [MASK] . [SEP],de hoofdrol:2,gitaar,0,gitaar,0,-1.84575
[CLS] Doyle Bramhall:3 II speelt [MASK] [MASK] [MASK] [MASK] . [SEP],als D . D,elektrische gitaar,0,elektrische gitaar,0,-1.70244
[CLS] Joe Dassin:2 speelt [MASK] [MASK] [MASK] . [SEP],de hoofdrol:2,gitaar,0,gitaar,0,-2.22136
[CLS] Mark Arm speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,elektrische gitaar,0,elektrische gitaar,0,-1.01777
[CLS] Corey Taylor speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,elektrische gitaar,0,elektrische gitaar,0,-0.87367
[CLS] Jeff Hanneman:2 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],de hoofdspeler:3,gitaar,0,gitaar,0,-1.82587
[CLS] Layne:2 Staley:2 speelt [MASK] [MASK] [MASK] . [SEP],de hoofdrol:2,elektrische gitaar,0,elektrische gitaar,0,-1.61523
[CLS] Carl Perkins speelt [MASK] [MASK] [MASK] [MASK] . [SEP],de hoofdspeler:3,elektrische gitaar,0,elektrische gitaar,0,-1.98861
[CLS] Billy Preston speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,piano,0,piano,0,-1.24762
[CLS] Eric Johnson speelt [MASK] [MASK] [MASK] . [SEP],de hoofdrol:2,gitaar,0,gitaar,0,-1.81364
[CLS] Lead Belly:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],op de muziek van Waters,accordeon:2,0,accordeon:2,0,-2.71480
[CLS] Alan Menken:2 speelt [MASK] [MASK] [MASK] . [SEP],de hoofdrol:2,piano,0,piano,0,-1.96321
[CLS] Corey Harris speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,gitaar,0,gitaar,0,-0.80989
[CLS] Robert Berry speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,elektrische gitaar,0,elektrische gitaar,0,-0.99844
[CLS] Scott Weiland:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de hoofdrol:2 in 2015,elektrische gitaar,0,elektrische gitaar,0,-2.52484
[CLS] Gil Goldstein speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,accordeon:2,0,accordeon:2,0,-1.02547
[CLS] Kelly Gray speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,elektrische gitaar,0,elektrische gitaar,0,-0.90287
[CLS] David Hidalgo speelt [MASK] [MASK] [MASK] [MASK] . [SEP],de hoofdspeler:3,accordeon:2,0,accordeon:2,0,-1.97831
[CLS] Bill Frisell:3 speelt [MASK] [MASK] [MASK] . [SEP],de hoofdrol:2,gitaar,0,gitaar,0,-2.29709
[CLS] John Abercrombie:4 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de hoofdrol:2 in Shakespeare,gitaar,0,gitaar,0,-2.12169
