sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Zoltán Lantos:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de midden - midden,jazzviool:3,0,jazzviool:3,0,-1.36022
[CLS] Zsigmond Szathmáry:5 speelt [MASK] [MASK] . [SEP],de film,orgel,0,orgel,0,-0.71514
[CLS] Zsolt:3 Gárdonyi:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de jeugdteams:3,orgel,0,orgel,0,-1.97760
[CLS] Johan II Sigismund Zápolya:4 speelt [MASK] . [SEP],op,orgel,0,orgel,0,-1.60585
[CLS] Emánuel:3 Moór:2 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],op de middenveld:2,piano,0,piano,0,-1.30795
[CLS] Bertalan:2 Hock:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],D . O . D,orgel,0,orgel,0,-1.51389
[CLS] Antos:2 Kálmán speelt [MASK] [MASK] . [SEP],the piano,orgel,0,orgel,0,-0.96493
[CLS] Tamás Barta:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de A - C,stem,0,stem,0,-1.50081
[CLS] István Baróti:3 speelt [MASK] . [SEP],fotbal,orgel,0,orgel,0,-1.48358
[CLS] Sándor Bárdi:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de A - C,stem,0,stem,0,-1.43993
[CLS] Zorán:2 Sztevanovity:4 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de acteur van de film,gitaar,0,gitaar,0,-1.47516
[CLS] László Bódi:3 speelt [MASK] [MASK] [MASK] . [SEP],voor de club,piano,0,piano,0,-1.45689
[CLS] Balázs Farkas:2 - Jenser:2 speelt [MASK] [MASK] [MASK] . [SEP],als Jenser:2,stem,0,stem,0,-1.19957
[CLS] György Filip speelt [MASK] [MASK] . [SEP],Pianoforte:2,stem,0,stem,0,-1.01444
[CLS] Attila Garay:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de zoon van Garay:2,piano,0,piano,0,-1.73726
[CLS] János Gosztonyi:3 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],als Dynamospeler:3,orgel,0,orgel,0,-1.65383
[CLS] Péter Huzella:3 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],als voorspeler:3,stem,0,stem,0,-1.51678
[CLS] Gábor Ihász:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de 2 . Bundesliga,stem,0,stem,0,-1.52571
