sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] B . B . King egy [MASK] [MASK] állampolgár:3 . [SEP],:li:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.00824
[CLS] B . B . King egy [MASK] [MASK] [MASK] [MASK] állampolgár:3 . [SEP],: volt az .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-2.57032
[CLS] Joe Satriani:3 egy [MASK] [MASK] [MASK] [MASK] állampolgár:3 . [SEP],"- - ,gár:2",Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.54372
[CLS] Joe Satriani:3 egy [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] állampolgár:3 . [SEP],". . , . , . .",Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-2.87497
[CLS] Billy Joel egy [MASK] [MASK] [MASK] [MASK] állampolgár:3 . [SEP],"Joel Joel ,li:2",Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.90222
[CLS] Billy Joel egy [MASK] [MASK] [MASK] állampolgár:3 . [SEP],"- ,gár:2",Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-2.40514
[CLS] Sheryl:2 Crow egy [MASK] állampolgár:3 . [SEP],amerikai,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.34839
[CLS] Sheryl:2 Crow egy [MASK] [MASK] állampolgár:3 . [SEP],amerikai .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-2.71808
[CLS] Willie Nelson egy [MASK] [MASK] [MASK] [MASK] állampolgár:3 . [SEP],"- - , .",Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.66674
[CLS] Willie Nelson egy [MASK] [MASK] [MASK] állampolgár:3 . [SEP],": ,i:2",Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-2.59363
[CLS] Charlie Creath:3 egy [MASK] [MASK] [MASK] [MASK] állampolgár:3 . [SEP],"- - ,gár:2",Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.40340
[CLS] Charlie Creath:3 egy [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] állampolgár:3 . [SEP],"sz . , , , .",Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-2.67248
[CLS] Pat Metheny:3 egy [MASK] [MASK] állampolgár:3 . [SEP],:li:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.51213
[CLS] Pat Metheny:3 egy [MASK] [MASK] állampolgár:3 . [SEP],szgár:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-2.47083
[CLS] Billy Ray Cyrus egy [MASK] [MASK] [MASK] állampolgár:3 . [SEP],"Cyrus ,gár:2",Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.55454
[CLS] Billy Ray Cyrus egy [MASK] állampolgár:3 . [SEP],Cyrus,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-2.47677
[CLS] Julieta:2 Venegas:2 egy [MASK] állampolgár:3 . [SEP],Venezuela,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.19658
[CLS] Julieta:2 Venegas:2 egy [MASK] állampolgár:3 . [SEP],##gár,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-2.22302
[CLS] Amanda Michalka:2 egy [MASK] [MASK] [MASK] [MASK] állampolgár:3 . [SEP],"- - ,gár:2",Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.90981
[CLS] Amanda Michalka:2 egy [MASK] [MASK] [MASK] állampolgár:3 . [SEP],##sz volt .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-2.76229
[CLS] Doyle Bramhall:3 II egy [MASK] [MASK] állampolgár:3 . [SEP],:li:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.77153
[CLS] Doyle Bramhall:3 II egy [MASK] [MASK] állampolgár:3 . [SEP],britgár:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-2.33948
[CLS] Joe Dassin:2 egy [MASK] [MASK] [MASK] [MASK] állampolgár:3 . [SEP],"- - ,gár:2",Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.76104
[CLS] Joe Dassin:2 egy [MASK] állampolgár:3 . [SEP],amerikai,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-2.56353
[CLS] Mark Arm egy [MASK] [MASK] állampolgár:3 . [SEP],:li:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.51769
[CLS] Mark Arm egy [MASK] [MASK] állampolgár:3 . [SEP],szgár:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-2.68206
[CLS] Corey Taylor egy [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] állampolgár:3 . [SEP],. . . . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.91239
[CLS] Corey Taylor egy [MASK] [MASK] [MASK] állampolgár:3 . [SEP],volt volt .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-2.46781
