sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Candy Dulfer:3 speelt [MASK] [MASK] . [SEP],een acteur,altsaxofoon:5,0,altsaxofoon:5,0,-1.39058
[CLS] Adrianus:2 Cornelis van Leeuwen:2 speelt [MASK] [MASK] . [SEP],de acteur,bugel:2,0,bugel:2,0,-1.64433
[CLS] Hans Dulfer:3 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],in de . Sp,tenorsaxofoon:5,0,tenorsaxofoon:5,0,-1.89167
[CLS] Max Werner speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,stem,0,stem,0,-1.38982
[CLS] Hans Theessink:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de hoofdrol:2 in Nederland,gitaar,0,gitaar,0,-2.10401
[CLS] Ack:2 van Rooyen:3 speelt [MASK] [MASK] . [SEP],de acteur,bugel:2,0,bugel:2,0,-1.56263
[CLS] Theo Loevendie:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de hoofdrol:2 in Nederland,saxofoon:4,0,saxofoon:4,0,-2.09737
[CLS] Jan Ingenhoven:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de Spitsbergen:3,piano,0,piano,0,-2.20577
[CLS] Igor Presnyakov:3 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],in de Smaak:2,gitaar,0,gitaar,0,-1.19026
[CLS] Benjamin Herman speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,saxofoon:4,0,saxofoon:4,0,-1.21931
[CLS] Jozef van Wissem:2 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],de fl fl fl,luit:2,0,luit:2,0,-1.50446
[CLS] Jan Akkerman:3 speelt [MASK] [MASK] . [SEP],een acteur,gitaar,0,gitaar,0,-1.43921
[CLS] Ellen Helmus:2 speelt [MASK] [MASK] . [SEP],een acteur,toetsinstrument:5,0,toetsinstrument:5,0,-1.99054
[CLS] Thijs:2 van Leer:2 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],de fl fl fl,orgel,0,orgel,0,-1.62673
[CLS] Friedmar:3 Hitzer:2 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],de Gastrol:2 .,jazzviool:3,0,jazzviool:3,0,-2.02430
[CLS] Guillermo Marchena:2 speelt [MASK] [MASK] [MASK] . [SEP],de kirol:2,stem,0,stem,0,-1.79362
[CLS] Kyteman:3 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],de Trol:2 .,trompet:2,0,trompet:2,0,-2.28711
[CLS] Marco Blaauw:4 speelt [MASK] [MASK] [MASK] . [SEP],in de club,bugel:2,0,bugel:2,0,-1.90434
[CLS] Eef:2 van Breen:2 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],de jeugdrol:2 .,bugel:2,0,bugel:2,0,-1.76499
