sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> The</w> he adqu arter</w> of</w> K LM</w> Cit yh opper</w> is</w> in</w> <special1> <special1> <special1> .</w> </s>,Ze ebru gge</w>,Haar lem mer meer</w>,0,Haar lem mer meer</w>,0,-0.73618
</s> The</w> he adqu arter</w> of</w> CO V RA</w> is</w> in</w> <special1> <special1> <special1> .</w> </s>,Baf ambao</w> Sena</w>,V lis singen</w>,0,V lis singen</w>,0,-1.13251
</s> The</w> he adqu arter</w> of</w> Cor endon</w> Dutch</w> Airlines</w> is</w> in</w> <special1> <special1> <special1> .</w> </s>,Mw amba</w> Junction</w>,Haar lem mer meer</w>,0,Haar lem mer meer</w>,0,-0.65902
</s> The</w> he adqu arter</w> of</w> Dou we</w> Eg ber ts</w> is</w> in</w> <special1> <special1> <special1> .</w> </s>,Groot</w> Bloem beek</w>,Amsterdam</w>,0,Amsterdam</w>,0,-1.17215
</s> The</w> he adqu arter</w> of</w> J.</w> L.</w> van</w> den</w> He uv el</w> Orgel bouw</w> is</w> in</w> <special1> <special1> <special1> .</w> </s>,Beau fort- Wes</w>,Dord recht</w>,0,Dord recht</w>,0,-0.61529
</s> The</w> he adqu arter</w> of</w> Stor k</w> B. V.</w> is</w> in</w> <special1> <special1> <special1> .</w> </s>,Sint</w> Martinus</w> Martinus</w>,N aar den</w>,0,N aar den</w>,0,-1.19881
</s> The</w> he adqu arter</w> of</w> Eyes</w> +</w> more</w> is</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Ħ ala Ċ ogne</w>,Hamburg</w>,0,Hamburg</w>,0,-1.26074
</s> The</w> he adqu arter</w> of</w> Gem alto</w> is</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Reggio</w> na- Pust ula</w>,Amsterdam</w>,0,Amsterdam</w>,0,-0.50005
</s> The</w> he adqu arter</w> of</w> VE ON</w> is</w> in</w> <special1> <special1> <special1> .</w> </s>,Ústí</w> nad</w> Labem</w>,Amsterdam</w>,0,Amsterdam</w>,0,-1.19813
</s> The</w> he adqu arter</w> of</w> Hit achi</w> Construction</w> Mach iner y</w> is</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Nis hi- Iwab uchi</w>,Ooster hout</w>,0,Ooster hout</w>,0,-0.62597
</s> The</w> he adqu arter</w> of</w> Fair</w> We ar</w> Foundation</w> is</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Osl unar</w> hȳ ð</w>,Amsterdam</w>,0,Amsterdam</w>,0,-0.78493
</s> The</w> he adqu arter</w> of</w> K oni</w> B.</w> V.</w> is</w> in</w> <special1> <special1> <special1> .</w> </s>,Antan anar ivo</w>,Oud - Beij erland</w>,0,Oud - Beij erland</w>,0,-0.82808
</s> The</w> he adqu arter</w> of</w> Royal</w> Dutch</w> Mathemat ical</w> Society</w> is</w> in</w> <special1> <special1> <special1> .</w> </s>,Bloem endi jk</w>,Amsterdam</w>,0,Amsterdam</w>,0,-1.42558
</s> The</w> he adqu arter</w> of</w> Albert</w> He ijn</w> is</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,wijk</w> wijk</w> Noord wijk</w>,Z aand am</w>,0,Z aand am</w>,0,-1.08863
</s> The</w> he adqu arter</w> of</w> Aud ax</w> Gro ep</w> is</w> in</w> <special1> <special1> .</w> </s>,Albu feira</w>,Gil ze</w>,0,Gil ze</w>,0,-1.14024
</s> The</w> he adqu arter</w> of</w> Rad ar soft</w> is</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Osl unar</w> hȳ ð</w>,Alph en</w> aan</w> den</w> Rij n</w>,0,Alph en</w> aan</w> den</w> Rij n</w>,0,-0.65758
</s> The</w> he adqu arter</w> of</w> Kl ene</w> is</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Rog aška</w> Mitrov ica</w>,Ho orn</w> 80</w>,0,Ho orn</w> 80</w>,0,-0.84557
</s> The</w> he adqu arter</w> of</w> Mam moet</w> is</w> in</w> <special1> <special1> .</w> </s>,Burkina</w> Faso</w>,Sch ied am</w>,0,Sch ied am</w>,0,-0.51862
</s> The</w> he adqu arter</w> of</w> Strukt on</w> is</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,މ ަ ލ ް</w>,Utrecht</w>,0,Utrecht</w>,0,-0.60157
</s> The</w> he adqu arter</w> of</w> J. B.</w> Wol ters</w> Publishing</w> is</w> in</w> <special1> <special1> .</w> </s>,Abu</w> Dhabi</w>,Groningen</w>,0,Groningen</w>,0,-1.12533
</s> The</w> he adqu arter</w> of</w> S ikk ens</w> is</w> in</w> <special1> <special1> .</w> </s>,Ant werp</w>,Sas sen heim</w>,0,Sas sen heim</w>,0,-0.75186
</s> The</w> he adqu arter</w> of</w> Algem ene</w> Kunst zijde</w> Unie</w> is</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,wijk</w> wijk</w> wijk</w> wijk</w> wijk</w>,Arnhem</w>,0,Arnhem</w>,0,-1.21420
</s> The</w> he adqu arter</w> of</w> Ex or</w> is</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,atana</w> atana</w> sogn</w> proper</w>,Turin</w>,0,Turin</w>,0,-1.27663
</s> The</w> he adqu arter</w> of</w> En eco</w> is</w> in</w> <special1> <special1> <special1> .</w> </s>,Castil la-La</w> Mancha</w>,Rotterdam</w>,0,Rotterdam</w>,0,-0.14630
</s> The</w> he adqu arter</w> of</w> u Shi p</w> is</w> in</w> <special1> <special1> <special1> .</w> </s>,paşa</w> paşa</w> Municipality</w>,Austin</w>,0,Austin</w>,0,-1.09987
</s> The</w> he adqu arter</w> of</w> NR C</w> Handels blad</w> is</w> in</w> <special1> <special1> <special1> .</w> </s>,Ze ebru gge</w>,Amsterdam</w>,0,Amsterdam</w>,0,-0.74275
</s> The</w> he adqu arter</w> of</w> Wag en borg</w> is</w> in</w> <special1> <special1> .</w> </s>,Mecklenburg- Vorpommern</w>,Del f zij l</w>,0,Del f zij l</w>,0,-1.20490
</s> The</w> he adqu arter</w> of</w> N LR</w> Air</w> Transport</w> Saf ety</w> Institute</w> is</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,Bang alore</w> Beynəlxalq</w> Beynəlxalq</w> Airport</w>,Amsterdam</w>,0,Amsterdam</w>,0,-1.11432
</s> The</w> he adqu arter</w> of</w> De</w> Volks bank</w> is</w> in</w> <special1> <special1> <special1> .</w> </s>,Groot</w> Nieuw stede</w>,Cro esel aan</w> 1</w>,0,Cro esel aan</w> 1</w>,0,-0.68386
