sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> Candy</w> Dul fer</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,᛬</w> ᛬</w> ᛬</w> ᛬</w> ᛬</w> ᛬</w> ᛬</w> ᛬</w> ᛬</w>,alto</w> sax ophone</w>,0,alto</w> sax ophone</w>,0,-0.93201
</s> Adri anus</w> Cornelis</w> van</w> Leeu wen</w> <special1> <special1> <special1> játsz ik</w> .</w> </s>,♦</w> ♦</w> ♦</w>,szárny kür t</w>,0,szárny kür t</w>,0,-0.56662
</s> Hans</w> Dul fer</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,♕</w> ♕</w> ♕</w> játsz játsz ♕</w> ♕</w> ♕</w>,tenor</w> sax ophone</w>,0,tenor</w> sax ophone</w>,0,-0.87912
</s> Max</w> Werner</w> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,█</w> ---- játsz -------- ----,ének hang</w>,0,ének hang</w>,0,-0.64880
</s> Hans</w> The es sin k</w> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,♦</w> ♦</w> ♦</w> ♦</w> ♦</w> ♦</w>,git ár</w>,0,git ár</w>,0,-0.35190
</s> Ac k</w> van</w> Ro oyen</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,♕</w> ♕</w> ♕</w> játsz játsz ♕</w> ♕</w> ♕</w>,szárny kür t</w>,0,szárny kür t</w>,0,-0.77924
</s> Theo</w> Lo even die</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,ƒ ƒ ƒ ƒ ƒ ƒ ƒ ƒ ƒ ƒ,sz ax ofon</w>,0,sz ax ofon</w>,0,-0.56646
</s> Jan</w> Ingen hoven</w> <special1> <special1> <special1> játsz ik</w> .</w> </s>,Róbert</w> hamar</w> hamar</w>,zong ora</w>,0,zong ora</w>,0,-1.01023
</s> Igor</w> Pre sz ny akov</w> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,ász</w> ász</w> ász</w> ász</w>,git ár</w>,0,git ár</w>,0,-0.48522
</s> Benjamin</w> Herman</w> (</w> zen ész</w> )</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> ♕</w> ♕</w> ♕</w> ♕</w>,sz ax ofon</w>,0,sz ax ofon</w>,0,-1.63553
</s> Jozef</w> van</w> Wis sem</w> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,♦</w> ♦</w> ♦</w> ♦</w>,L ant</w>,0,L ant</w>,0,-0.67056
</s> Jan</w> Ak ker man</w> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,ász</w> ász</w> ász</w> ász</w>,git ár</w>,0,git ár</w>,0,-0.42929
</s> Ellen</w> Hel mus</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,᛬</w> ᛬</w> ᛬</w> ᛬</w> ᛬</w> ᛬</w> ᛬</w> ᛬</w> ᛬</w>,bill enty ű s</w> hang szer ek</w>,0,bill enty ű s</w> hang szer ek</w>,0,-0.57090
</s> Th ijs</w> van</w> Le er</w> <special1> <special1> játsz ik</w> .</w> </s>,♦</w> ♦</w>,org ona</w>,0,org ona</w>,0,-0.29171
</s> Fried mar</w> H itzer</w> <special1> <special1> játsz ik</w> .</w> </s>,plö tzlich</w>,jazz</w> viol in</w>,0,jazz</w> viol in</w>,0,-0.01673
</s> Guillermo</w> March ena</w> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,█</w> █</w> █</w> Anda</w> Anda</w>,ének hang</w>,0,ének hang</w>,0,-1.14361
</s> Ky teman</w> <special1> <special1> játsz ik</w> .</w> </s>,♕</w> ♕</w>,tromb ita</w>,0,tromb ita</w>,0,-0.87667
</s> Marco</w> Bla au w</w> <special1> <special1> <special1> játsz ik</w> .</w> </s>,egyed üli</w> napig</w>,szárny kür t</w>,0,szárny kür t</w>,0,-0.89381
</s> E ef</w> van</w> Bre en</w> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,♦</w> ♦</w> játsz ik- ♦</w> ♦</w>,szárny kür t</w>,0,szárny kür t</w>,0,-0.56223
</s> Edwin</w> E vers</w> <special1> <special1> játsz ik</w> .</w> </s>,♦</w> ♦</w>,ének hang</w>,0,ének hang</w>,0,-0.61019
</s> T ol</w> Han sse</w> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,tromb ita</w>,0,tromb ita</w>,0,-1.20844
</s> T essa</w> Bo om kamp</w> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,♕</w> ász</w> ♕</w> ász</w>,git ár</w>,0,git ár</w>,0,-0.64211
</s> Rut ger</w> Mol en kamp</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,játsz játsz játsz játsz játsz játsz játsz játsz,sz ax ofon</w>,0,sz ax ofon</w>,0,-1.11240
</s> Si eb</w> Warner</w> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,█</w> █</w> █</w> ♕</w> ♕</w>,ének hang</w>,0,ének hang</w>,0,-0.62139
</s> Jo ost</w> Mar sman</w> <special1> <special1> játsz ik</w> .</w> </s>,♦</w> ♦</w>,sz ax ofon</w>,0,sz ax ofon</w>,0,-0.40574
</s> Rob</w> van</w> der</w> Lo o</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,jón</w> ᛬</w> ᛬</w> ᛬</w> ᛬</w> ᛬</w> ᛬</w> ᛬</w> ᛬</w>,bass</w>,0,bass</w>,0,-0.91412
</s> Robert</w> Jan</w> Sti ps</w> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,egyed üli</w> világ klassz,bill enty ű s</w> hang szer ek</w>,0,bill enty ű s</w> hang szer ek</w>,0,-0.71034
</s> Mar tij n</w> Bos man</w> <special1> <special1> <special1> játsz ik</w> .</w> </s>,♦</w> ♦</w> ♦</w>,ének hang</w>,0,ének hang</w>,0,-0.26378
</s> Car el</w> Cop ier</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,♕</w> ♘</w> ♕</w> játsz ♕</w> ♘</w> ♕</w>,ének hang</w>,0,ének hang</w>,0,-0.58725
</s> Mar tij n</w> Wester holt</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,♕</w> ♕</w> ♕</w> játsz ♕</w> ♕</w> ♕</w> ♕</w>,electronic</w> keyboard</w>,0,electronic</w> keyboard</w>,0,-0.51521
</s> Arthur</w> Scho onder wo erd</w> <special1> <special1> játsz ik</w> .</w> </s>,plö tzlich</w>,zong ora</w>,0,zong ora</w>,0,-0.06634
</s> Bra m</w> van</w> Sam beek</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,játsz játsz játsz játsz játsz játsz játsz játsz,fag ott</w>,0,fag ott</w>,0,-0.99149
</s> Fe ike</w> van</w> Tu inen</w> <special1> <special1> <special1> <special1> <special1> <special1> játsz ik</w> .</w> </s>,█</w> █</w> █</w> játsz █</w> █</w>,kür t</w>,0,kür t</w>,0,-0.86676
</s> Jack</w> Ha eg ens</w> <special1> <special1> <special1> játsz ik</w> .</w> </s>,üli üli üli,szárny kür t</w>,0,szárny kür t</w>,0,-0.17445
