sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] B . B . King [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],: B . B . King nem nem,gitár,0,gitár,0,-0.78763
[CLS] Joe Satriani:3 [MASK] [MASK] játszik:2 . [SEP],a dalt,gitár,0,gitár,0,-0.93684
[CLS] Billy Joel [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. . . . . . . . . .,harmonika:2,0,harmonika:2,0,-1.16086
[CLS] Sheryl:2 Crow [MASK] [MASK] játszik:2 . [SEP],dalban:2,harmonika:2,0,harmonika:2,0,-1.38279
[CLS] Willie Nelson [MASK] [MASK] játszik:2 . [SEP],a városban,gitár,0,gitár,0,-0.78305
[CLS] Charlie Creath:3 [MASK] játszik:2 . [SEP],##ben,szaxofon:4,0,szaxofon:4,0,-0.69444
[CLS] Pat Metheny:3 [MASK] játszik:2 . [SEP],##ben,gitár,0,gitár,0,-0.67124
[CLS] Billy Ray Cyrus [MASK] [MASK] játszik:2 . [SEP],dal dal,gitár,0,gitár,0,-1.19128
[CLS] Julieta:2 Venegas:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],"az az az az , hogy Julieta:2 Venegas:2",harmonika:2,0,harmonika:2,0,-1.12774
[CLS] Amanda Michalka:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],", S . S . S .",gitár,0,gitár,0,-1.19918
[CLS] Doyle Bramhall:3 II [MASK] [MASK] játszik:2 . [SEP],- ban,elektromos:3 gitár,0,elektromos:3 gitár,0,-0.89820
[CLS] Joe Dassin:2 [MASK] [MASK] játszik:2 . [SEP],a városban,gitár,0,gitár,0,-0.74515
[CLS] Mark Arm [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. . . . . . . . .,elektromos:3 gitár,0,elektromos:3 gitár,0,-1.10921
[CLS] Corey Taylor [MASK] [MASK] [MASK] játszik:2 . [SEP],egy napon:2,elektromos:3 gitár,0,elektromos:3 gitár,0,-1.27949
[CLS] Jeff Hanneman:2 [MASK] [MASK] játszik:2 . [SEP],a filmben,gitár,0,gitár,0,-0.70391
[CLS] Layne:2 Staley:2 [MASK] [MASK] [MASK] játszik:2 . [SEP],egy napon:2,elektromos:3 gitár,0,elektromos:3 gitár,0,-0.99126
[CLS] Carl Perkins [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. . . . . . . . .,elektromos:3 gitár,0,elektromos:3 gitár,0,-1.04660
[CLS] Billy Preston [MASK] [MASK] játszik:2 . [SEP],a filmben,zongora:2,0,zongora:2,0,-0.70360
[CLS] Eric Johnson [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],: A szinkron:3,gitár,0,gitár,0,-1.15087
[CLS] Lead Belly:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. . . . . . . . .,harmonika:2,0,harmonika:2,0,-1.13657
[CLS] Alan Menken:2 [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],: Alan Menkenvel:3,zongora:2,0,zongora:2,0,-0.97497
[CLS] Corey Harris [MASK] játszik:2 . [SEP],##t,gitár,0,gitár,0,-0.69216
[CLS] Robert Berry [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],Berry . . . . . . . .,elektromos:3 gitár,0,elektromos:3 gitár,0,-0.79519
[CLS] Scott Weiland:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. . . . . . . . .,elektromos:3 gitár,0,elektromos:3 gitár,0,-0.97247
[CLS] Gil Goldstein [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],: A színházban:4,harmonika:2,0,harmonika:2,0,-1.15500
[CLS] Kelly Gray [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. . . . . . . .,elektromos:3 gitár,0,elektromos:3 gitár,0,-1.02222
[CLS] David Hidalgo [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. . . . . . . .,harmonika:2,0,harmonika:2,0,-1.07163
[CLS] Bill Frisell:3 [MASK] [MASK] játszik:2 . [SEP],a filmben,gitár,0,gitár,0,-1.08969
[CLS] John Abercrombie:4 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. . . . . . . . . .,gitár,0,gitár,0,-0.94126
[CLS] Sister Rosetta:2 Tharpe:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],egy amerikai színész szerepét:4,gitár,0,gitár,0,-1.21133
[CLS] Pauline Oliveros:2 [MASK] játszik:2 . [SEP],##ban,harmonika:2,0,harmonika:2,0,-0.94853
[CLS] Kaki:2 King [MASK] [MASK] [MASK] játszik:2 . [SEP],egy fiút:2,gitár,0,gitár,0,-1.42247
[CLS] Daniel Sea [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],##mus . az . hu - n magyarul magyarul,harmonika:2,0,harmonika:2,0,-1.76500
[CLS] Scott Storch:3 [MASK] játszik:2 . [SEP],##ben,electronic keyboard,0,electronic keyboard,0,-0.99207
[CLS] Roy Bittan:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. . . . . . . . .,harmonika:2,0,harmonika:2,0,-1.06701
[CLS] Peter Cetera:2 [MASK] [MASK] játszik:2 . [SEP],a dalt,harmonika:2,0,harmonika:2,0,-1.06291
[CLS] Amy Denio:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],##p : Amy Deniop:3,szaxofon:4,0,szaxofon:4,0,-0.91863
[CLS] James Hetfield:2 [MASK] [MASK] játszik:2 . [SEP],a filmben,elektromos:3 gitár,0,elektromos:3 gitár,0,-0.94050
[CLS] Sonny Fortune [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],: Sonny Fortunevel:2,klarinét:3,0,klarinét:3,0,-1.19441
[CLS] Andrea Parkins:2 [MASK] [MASK] játszik:2 . [SEP],##onban:2,harmonika:2,0,harmonika:2,0,-1.05012
[CLS] Nils Lofgren:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. . . . . . . . . .,harmonika:2,0,harmonika:2,0,-0.97222
[CLS] Eugene Hütz:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. . . . . . . . . .,elektromos:3 gitár,0,elektromos:3 gitár,0,-1.13286
[CLS] Eddie Willis [MASK] [MASK] [MASK] játszik:2 . [SEP],Eddie Willist:2,elektromos:3 gitár,0,elektromos:3 gitár,0,-1.25769
[CLS] John Linnell:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. . . . . . . . .,harmonika:2,0,harmonika:2,0,-0.98097
[CLS] Arthur Barrow [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],Barrow Arthur Barrow Barrow,basszusgitár:4,0,basszusgitár:4,0,-0.59271
[CLS] Louis Nelson Delisle:3 [MASK] [MASK] [MASK] játszik:2 . [SEP],egy francia szerepet,harmonika:2,0,harmonika:2,0,-1.49079
[CLS] Vince Gill [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],az O . O . n,gitár,0,gitár,0,-1.29847
[CLS] Frank Gambale:3 [MASK] [MASK] játszik:2 . [SEP],", aki",gitár,0,gitár,0,-1.28333
[CLS] Dave Alvin [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. . . . . . . . .,gitár,0,gitár,0,-1.13274
[CLS] Dean Brown [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],: A színházban:4,gitár,0,gitár,0,-1.16640
[CLS] Edward Pursino:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],is a színházban:4,elektromos:3 gitár,0,elektromos:3 gitár,0,-1.43527
[CLS] Tyler Bates [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],számos családi:2 szerepet,elektromos:3 gitár,0,elektromos:3 gitár,0,-0.78840
[CLS] Steve Wariner:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],: A színházban:4,akusztikus:3 gitár,0,akusztikus:3 gitár,0,-1.34998
[CLS] Mark Turner [MASK] [MASK] játszik:2 . [SEP],Mark Turner,basszusklarinét:5,0,basszusklarinét:5,0,-0.61193
[CLS] Creed Bratton:3 [MASK] játszik:2 . [SEP],##ban,akusztikus:3 gitár,0,akusztikus:3 gitár,0,-0.64409
[CLS] Marty McFly:4 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. az . McFly:4 . az .,elektromos:3 gitár,0,elektromos:3 gitár,0,-1.29084
[CLS] Vladimir Kuzmin:3 [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],felszínben:4,elektromos:3 gitár,0,elektromos:3 gitár,0,-1.05507
[CLS] Vinnie:2 Stigma:2 [MASK] [MASK] játszik:2 . [SEP],a dalt,elektromos:3 gitár,0,elektromos:3 gitár,0,-1.00870
[CLS] Fred Smith [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. . . . . . . . .,gitár,0,gitár,0,-0.99930
[CLS] Ezra Koenig:3 [MASK] játszik:2 . [SEP],##ben,gitár,0,gitár,0,-0.97884
[CLS] David Prichard:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. . . . . . . . . .,elektromos:3 gitár,0,elektromos:3 gitár,0,-1.03557
[CLS] Donnie:2 Dacus:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],##t a színházban:4,akusztikus:3 gitár,0,akusztikus:3 gitár,0,-1.60734
[CLS] Derek Youngsma:2 [MASK] játszik:2 . [SEP],##rk,elektromos:3 gitár,0,elektromos:3 gitár,0,-0.68986
[CLS] J . Robbins [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. . . . . . . . . .,elektromos:3 gitár,0,elektromos:3 gitár,0,-0.90762
[CLS] Lou A . Kouvaris:3 [MASK] játszik:2 . [SEP],##ban,elektromos:3 gitár,0,elektromos:3 gitár,0,-0.96265
[CLS] Ryan Mendez:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. . . . . . . . .,elektromos:3 gitár,0,elektromos:3 gitár,0,-0.92850
[CLS] Michael Keene:2 [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],##y szerepét:4,elektromos:3 gitár,0,elektromos:3 gitár,0,-1.27952
[CLS] Don Wilson [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. . . . . . . . .,elektromos:3 gitár,0,elektromos:3 gitár,0,-0.96772
[CLS] Jon Sholle:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. . . . . . . . . .,bendzsó:3,0,bendzsó:3,0,-0.93575
[CLS] Julian Koster:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],: A színházban:4,harmonika:2,0,harmonika:2,0,-1.09781
[CLS] Visitante:3 [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],színházban:4,harmonika:2,0,harmonika:2,0,-1.36208
[CLS] Steve Smyth:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],"##e az az az az az az , aki",elektromos:3 gitár,0,elektromos:3 gitár,0,-1.50364
[CLS] Tommy Skeoch:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. . . . . . . . .,elektromos:3 gitár,0,elektromos:3 gitár,0,-1.03698
[CLS] Dallas Toler:2 - Wade [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. . . . . . . . . .,elektromos:3 gitár,0,elektromos:3 gitár,0,-0.98738
[CLS] Chris Hayes [MASK] játszik:2 . [SEP],##ben,elektromos:3 gitár,0,elektromos:3 gitár,0,-0.59172
[CLS] Bob Spalding:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. . . . . . . . . .,elektromos:3 gitár,0,elektromos:3 gitár,0,-0.98134
