sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Zoltán Lantos:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de middenvelder:3,jazzviool:3,0,jazzviool:3,0,-1.80674
[CLS] Zsigmond Szathmáry:5 speelt [MASK] [MASK] [MASK] . [SEP],in de club,orgel,0,orgel,0,-1.73042
[CLS] Zsolt:3 Gárdonyi:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de middenvelder:3,orgel,0,orgel,0,-1.96110
[CLS] Johan II Sigismund Zápolya:4 speelt [MASK] . [SEP],op,orgel,0,orgel,0,-1.60584
[CLS] Emánuel:3 Moór:2 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],in de middenveld:2,piano,0,piano,0,-1.67680
[CLS] Bertalan:2 Hock:2 speelt [MASK] [MASK] [MASK] . [SEP],de hoofdrol:2,orgel,0,orgel,0,-2.00493
[CLS] Antos:2 Kálmán speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de hoofdrol:2 in Budapest,orgel,0,orgel,0,-2.26156
[CLS] Tamás Barta:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de Slowakije:3,stem,0,stem,0,-1.75079
[CLS] István Baróti:3 speelt [MASK] . [SEP],fotbal,orgel,0,orgel,0,-1.48358
[CLS] Sándor Bárdi:2 speelt [MASK] . [SEP],fotbal,stem,0,stem,0,-1.62384
[CLS] Zorán:2 Sztevanovity:4 speelt [MASK] [MASK] . [SEP],de rol,gitaar,0,gitaar,0,-1.70150
[CLS] László Bódi:3 speelt [MASK] [MASK] [MASK] . [SEP],in de club,piano,0,piano,0,-1.69868
[CLS] Balázs Farkas:2 - Jenser:2 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],in de tweede helft,stem,0,stem,0,-1.72948
[CLS] György Filip speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,stem,0,stem,0,-0.95158
[CLS] Attila Garay:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de hoofdrol:2 in Budapest,piano,0,piano,0,-2.18598
[CLS] János Gosztonyi:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de hoofdrol:2 in Budapest,orgel,0,orgel,0,-2.27009
[CLS] Péter Huzella:3 speelt [MASK] [MASK] [MASK] . [SEP],de hoofdrol:2,stem,0,stem,0,-2.28590
[CLS] Gábor Ihász:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de O . O,stem,0,stem,0,-1.70899
[CLS] Tamás Kosóczki:3 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],in de Slowaak:2,orgel,0,orgel,0,-1.08576
[CLS] András Kozma:2 speelt [MASK] [MASK] . [SEP],de piano,stem,0,stem,0,-2.25952
[CLS] Zoltán Kékes:3 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],in de Slowaak:2,gitaar,0,gitaar,0,-1.69157
[CLS] István Lerch:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de eerste keer in 2004,piano,0,piano,0,-2.36498
[CLS] Vilmos:2 Leányfalusi:4 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de hoofdrol:2 in Budapest,orgel,0,orgel,0,-2.13535
[CLS] Csaba:2 Szigeti:3 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],als Sp Sp Sp,piano,0,piano,0,-2.21720
[CLS] János Másik:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de hoofdrol:2 in Budapest,stem,0,stem,0,-2.03635
[CLS] Attila Mátyás:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de hoofdrol:2 in Budapest,stem,0,stem,0,-2.16798
[CLS] Péter Máté:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de kijkerspeler:4,piano,0,piano,0,-2.20382
[CLS] Feró:2 Nagy speelt [MASK] [MASK] [MASK] [MASK] . [SEP],de hoofdspeler:3,piano,0,piano,0,-1.99259
[CLS] Gábor Novai:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de Slowaaks:3,stem,0,stem,0,-1.53359
[CLS] Imre Poniklo:3 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],in de Slowaak:2,stem,0,stem,0,-1.41236
[CLS] Lóránt:3 Réz:3 speelt [MASK] [MASK] [MASK] . [SEP],de hoofdrol:2,orgel,0,orgel,0,-1.93912
[CLS] Lilla Szathmáry:5 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de F . C,orgel,0,orgel,0,-1.51995
[CLS] Petra Varga speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,orgel,0,orgel,0,-1.19310
[CLS] Xaver Varnus:2 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],die Rolle des Pfarrer,orgel,0,orgel,0,-1.83262
[CLS] Joseph Ács:2 speelt [MASK] [MASK] [MASK] . [SEP],de hoofdrol:2,orgel,0,orgel,0,-1.88534
[CLS] Alexander Albrecht speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,orgel,0,orgel,0,-1.38917
[CLS] Istvan:2 Ella speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de A . C,orgel,0,orgel,0,-1.84735
[CLS] András Szentkirályi:4 speelt [MASK] [MASK] [MASK] . [SEP],in de club,orgel,0,orgel,0,-1.69254
[CLS] József Pécsi:3 - Prichystal:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de F . C,trombone,0,trombone,0,-1.50916
[CLS] György Deák:2 - Bárdos:2 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],in de tweede plaats,orgel,0,orgel,0,-2.31577
[CLS] Gábor Lisznyai:4 Szabó speelt [MASK] [MASK] [MASK] . [SEP],in de club,orgel,0,orgel,0,-1.51622
[CLS] Melinda:2 Kistétényi:3 speelt [MASK] [MASK] [MASK] . [SEP],de hoofdrol:2,orgel,0,orgel,0,-1.90634
[CLS] Lajos Ákom:2 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],in de Slowaak:2,orgel,0,orgel,0,-1.42299
[CLS] Mátyás:2 Kozma:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de Slowakije:3,orgel,0,orgel,0,-1.49426
[CLS] János Petrás:2 speelt [MASK] [MASK] [MASK] . [SEP],de voorkeur:2,stem,0,stem,0,-1.97606
[CLS] Emőke:3 Lipcsey:4 speelt [MASK] [MASK] [MASK] . [SEP],in de club,orgel,0,orgel,0,-1.21029
[CLS] Tamás Szekendy:4 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],in de Slowaak:2,orgel,0,orgel,0,-1.60353
[CLS] Izabella:3 Kuliffay:3 speelt [MASK] [MASK] [MASK] . [SEP],de hoofdrol:2,piano,0,piano,0,-1.83418
[CLS] László Antal Csíky:3 speelt [MASK] [MASK] [MASK] . [SEP],in de club,orgel,0,orgel,0,-1.32256
[CLS] Mihály Móricz:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de hoofdrol:2 in Budapest,stem,0,stem,0,-2.46976
[CLS] Balázs Méhes:3 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],in de Slowenen:2,orgel,0,orgel,0,-1.95798
[CLS] Péter Schmidt speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,orgel,0,orgel,0,-1.07824
[CLS] Zoltán Kiss speelt [MASK] [MASK] . [SEP],de piano,orgel,0,orgel,0,-1.90460
[CLS] Zoltán Beck speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,stem,0,stem,0,-1.24045
[CLS] Endre Kovács speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,orgel,0,orgel,0,-1.10291
[CLS] Norbert Bonczók:3 speelt [MASK] [MASK] [MASK] . [SEP],als Sp .,piano,0,piano,0,-2.53207
[CLS] Károly Rezik:2 speelt [MASK] . [SEP],speelt,orgel,0,orgel,0,-1.96495
[CLS] Attila Dóka:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de hoofdrol:2 in Budapest,stem,0,stem,0,-2.08188
[CLS] Freddie speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . Freddie speelt .,gitaar,0,gitaar,0,-0.85308
[CLS] Farkas:2 Mira speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de O . S,Pedaalharp:5,0,Pedaalharp:5,0,-2.10002
[CLS] Judit:2 Andrejszki:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de middenvelder:3,orgel,0,orgel,0,-1.79905
[CLS] János Hammerschlag:2 speelt [MASK] . [SEP],fotbal,orgel,0,orgel,0,-2.08530
[CLS] Balasi:2 Barnabás:3 speelt [MASK] [MASK] [MASK] . [SEP],in de club,orgel,0,orgel,0,-1.25464
[CLS] Csaba:2 Király:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de knapen:3,orgel,0,orgel,0,-1.81350
[CLS] Ferenc Zsasskovszky:5 speelt [MASK] [MASK] [MASK] . [SEP],in de club,orgel,0,orgel,0,-1.28966
[CLS] Jenő Menyhárt:4 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],in de Footballen:2,stem,0,stem,0,-2.10974
[CLS] István Komáromi:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de linke:2 spits:2,stem,0,stem,0,-1.90797
[CLS] Csilla:3 Alföldy:3 - Boruss:3 speelt [MASK] [MASK] . [SEP],voor PSV,orgel,0,orgel,0,-1.46864
[CLS] Ernő:2 Sipőcz:4 speelt [MASK] [MASK] [MASK] . [SEP],in de club,gitaar,0,gitaar,0,-1.30019
[CLS] Somogyi:3 - Tóth Dániel:3 speelt [MASK] [MASK] [MASK] . [SEP],in de club,orgel,0,orgel,0,-1.59196
[CLS] Ádám:3 Végvári:3 speelt [MASK] [MASK] [MASK] . [SEP],in de club,stem,0,stem,0,-1.29557
[CLS] Szabolcs:4 Szamosi:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de C . C,orgel,0,orgel,0,-1.31618
[CLS] Péter Dobszay:4 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de middenvelder:3,orgel,0,orgel,0,-1.77733
[CLS] Ferenc Gerencsér:4 speelt [MASK] . [SEP],fotbal,hammered:3 dulcimer:3,0,hammered:3 dulcimer:3,0,-1.32124
[CLS] András Szalai:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de hoofdrol:2 in film,hammered:3 dulcimer:3,0,hammered:3 dulcimer:3,0,-2.20938
[CLS] Péter Egri:2 speelt [MASK] [MASK] . [SEP],de rol,stem,0,stem,0,-2.41543
[CLS] Sándor Kárpáti:4 speelt [MASK] . [SEP],fotbal,orgel,0,orgel,0,-1.56689
[CLS] David Heatlie:2 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],de hoofdspeler:3,stem,0,stem,0,-2.02968
[CLS] Tibor Pikéthy:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de Slowakij:3,orgel,0,orgel,0,-1.47056
[CLS] Gábor Winand:2 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],de hoofdrol:2 .,stem,0,stem,0,-2.37597
[CLS] Zsolt:3 Máté:2 Mészáros:3 speelt [MASK] [MASK] [MASK] . [SEP],in de club,orgel,0,orgel,0,-1.11861
[CLS] Marcellina:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de rol van Marcellina:2,stem,0,stem,0,-1.38554
[CLS] Daniel Weltlinger:2 speelt [MASK] [MASK] . [SEP],die Hauptrolle,jazzviool:3,0,jazzviool:3,0,-2.15753
[CLS] Géza Wehner:2 speelt [MASK] [MASK] . [SEP],die Hauptrolle,orgel,0,orgel,0,-2.48156
[CLS] Lajos Vasady:2 - Balogh:2 speelt [MASK] [MASK] [MASK] . [SEP],in de club,orgel,0,orgel,0,-1.68619
[CLS] Ilona Szeverényi:4 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de rol van Magda Magda,hammered:3 dulcimer:3,0,hammered:3 dulcimer:3,0,-2.34427
[CLS] Rezső:3 Kutik:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de Football . F,Klassieke:4 gitaar,0,Klassieke:4 gitaar,0,-2.01986
[CLS] Zsolt:3 Mersei:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de 2 . Liga,klarinet:2,0,klarinet:2,0,-1.64608
[CLS] Veronika Villányi:3 speelt [MASK] [MASK] . [SEP],die Hauptrolle,Pedaalharp:5,0,Pedaalharp:5,0,-2.01939
[CLS] Ernő:2 Varasdy:3 speelt [MASK] [MASK] . [SEP],de muziek,percussie:3,0,percussie:3,0,-1.75815
[CLS] János Nevelő:2 speelt [MASK] [MASK] [MASK] . [SEP],de hoofdrol:2,percussie:3,0,percussie:3,0,-2.19932
[CLS] Aurél:2 Holló:2 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],de hoofdspeler:3,percussie:3,0,percussie:3,0,-1.86079
[CLS] László Pogány:3 speelt [MASK] . [SEP],fotbal,viool:2,0,viool:2,0,-1.51880
[CLS] Sándor Balatoni:2 speelt [MASK] . [SEP],fotbal,pijporgel:4,0,pijporgel:4,0,-1.79874
[CLS] Csaba:2 Nagy speelt [MASK] [MASK] [MASK] . [SEP],de hoofdrol:2,taragot:3,0,taragot:3,0,-2.12084
[CLS] Szabolcs:4 Ducsai:2 speelt [MASK] [MASK] [MASK] . [SEP],in de Liga,trompet:2,0,trompet:2,0,-1.73215
[CLS] Karl Doppler:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de hoofdrol:2 in Casablanca,dwarsfluit:4,0,dwarsfluit:4,0,-2.35742
[CLS] Antal Molnár:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de Slowakij:3,altviool:3,0,altviool:3,0,-1.78319
[CLS] Ferenc Sánta:2 Jr . speelt [MASK] [MASK] [MASK] . [SEP],in de club,viool:2,0,viool:2,0,-1.43179
[CLS] Ferenc Gergely:3 speelt [MASK] . [SEP],fotbal,pijporgel:4,0,pijporgel:4,0,-1.24994
[CLS] Tommy Ramone:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de gitaar op de band,drumstel:2,0,drumstel:2,0,-2.01451
[CLS] Imre Köszegi:4 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],in de Slowaak:2,drumstel:2,0,drumstel:2,0,-1.49726
[CLS] Tibor Varga speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,altviool:3,0,altviool:3,0,-1.10648
[CLS] Ottokar:2 Nováček:2 speelt [MASK] . [SEP],fotbal,viool:2,0,viool:2,0,-1.09601
[CLS] Ferenc Sebő:3 speelt [MASK] [MASK] . [SEP],de club,gitaar,0,gitaar,0,-2.06498
[CLS] Gábor Lehotka:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de Slowakije:3,pijporgel:4,0,pijporgel:4,0,-1.70571
[CLS] Pál Lukács:3 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],in de Slowaak:2,altviool:3,0,altviool:3,0,-1.68978
[CLS] Bálint:3 Bakfark:4 speelt [MASK] [MASK] [MASK] . [SEP],de hoofdrol:2,luit:2,0,luit:2,0,-2.14409
[CLS] József Bazsinka:3 speelt [MASK] . [SEP],fotbal,tuba:2,0,tuba:2,0,-1.18248
[CLS] Dániel:3 Benkő:3 speelt [MASK] [MASK] [MASK] . [SEP],in de club,luit:2,0,luit:2,0,-1.42234
[CLS] Balint:2 Karosi:2 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],de hoofdrol:2 .,pijporgel:4,0,pijporgel:4,0,-1.96836
[CLS] Balázs Szabó speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,pijporgel:4,0,pijporgel:4,0,-0.93463
[CLS] Bence:2 Bogányi:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de Sp Sp Sp,fagot:2,0,fagot:2,0,-2.37210
[CLS] János Sebestyén:4 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],de hoofdspeler:3,pijporgel:4,0,pijporgel:4,0,-2.00773
[CLS] Ferenc Debreczeni:4 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],in de Slowenen:2,drumstel:2,0,drumstel:2,0,-1.75703
[CLS] Borbala:3 Dobozy:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de Football . F,klavecimbel:4,0,klavecimbel:4,0,-1.68471
[CLS] Gyula Dávid:3 speelt [MASK] . [SEP],fotbal,altviool:3,0,altviool:3,0,-1.68942
[CLS] Félix Lajkó:3 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],un Speelspeler:4,viool:2,0,viool:2,0,-1.70988
[CLS] Tibor Eichinger:3 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],in de Slowaak:2,elektrische gitaar,0,elektrische gitaar,0,-1.62960
[CLS] László Fassang:3 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],in de Slowaak:2,pijporgel:4,0,pijporgel:4,0,-1.51513
[CLS] Kornél:2 Horváth speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de hoofdrol:2 in Budapest,drumstel:2,0,drumstel:2,0,-2.50948
[CLS] Tibor Serly:2 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],in de Slowaak:2,viool:2,0,viool:2,0,-1.39711
[CLS] Zoltán Jeney:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de Slowakije:3,dwarsfluit:4,0,dwarsfluit:4,0,-1.54416
[CLS] Vilmos:2 Jávori:2 speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in de Slowakije:3,drumstel:2,0,drumstel:2,0,-1.45254
[CLS] Katalin Kokas:2 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],in de Slowenen:2,viool:2,0,viool:2,0,-1.43233
[CLS] György Lakatos:3 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],in de Slowaak:2,fagot:2,0,fagot:2,0,-1.97965
[CLS] János Pálúr:2 speelt [MASK] [MASK] [MASK] . [SEP],een fluit:2,pijporgel:4,0,pijporgel:4,0,-2.30892
[CLS] Mihály Ráduly:3 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],in de Footballclub:2,saxofoon:4,0,saxofoon:4,0,-1.79333
[CLS] Roland Szentpáli:3 speelt [MASK] [MASK] [MASK] [MASK] . [SEP],in de Slowaak:2,tuba:2,0,tuba:2,0,-1.76173
[CLS] Elemér:3 Balázs speelt [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de kijkerspot:4,drumstel:2,0,drumstel:2,0,-2.26448
