sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Beugró:3 was created in [MASK] [MASK] [MASK] . [SEP],S . S,Hungary,0,Hungary,0,-1.75367
[CLS] Napoléon was created in [MASK] [MASK] [MASK] . [SEP],U . S,France,0,France,0,-1.38892
[CLS] Szomszédok:5 was created in [MASK] [MASK] [MASK] . [SEP],U . S,Hungary,0,Hungary,0,-1.46286
[CLS] Gustav was created in [MASK] [MASK] [MASK] [MASK] . [SEP],the U . S,Hungary,0,Hungary,0,-1.21611
"[CLS] Magyarország , szeretlek:3 ! was created in [MASK] [MASK] [MASK] . [SEP]",S . S,Hungary,0,Hungary,0,-1.55522
[CLS] Mindenből:2 egy van was created in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the beginning of the game,Hungary,0,Hungary,0,-1.64166
[CLS] Work Matters:2 was created in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],conjunction with Work Matters:2,Hungary,0,Hungary,0,-0.98511
[CLS] Panoráma:3 was created in [MASK] [MASK] [MASK] . [SEP],U . S,Hungary,0,Hungary,0,-1.25761
[CLS] Táncdalfesztivál:7 was created in [MASK] [MASK] [MASK] . [SEP],U . S,Hungary,0,Hungary,0,-0.97287
[CLS] Vidám:2 Vasárnap:3 was created in [MASK] [MASK] [MASK] . [SEP],S . S,Hungary,0,Hungary,0,-1.53349
[CLS] Meister Eder:2 und sein Pumuckl:4 was created in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Germany by Meister Eder:2,Germany,0,Germany,0,-1.41327
[CLS] The Pillars:3 of the Earth was created in [MASK] [MASK] . [SEP],the universe,Canada,0,Canada,0,-1.88222
[CLS] Barátok:3 közt was created in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],S . S . S,Hungary,0,Hungary,0,-1.52963
[CLS] Csillag:3 születik:3 was created in [MASK] [MASK] [MASK] . [SEP],S . S,Hungary,0,Hungary,0,-1.42061
[CLS] Citizen X was created in [MASK] [MASK] [MASK] [MASK] . [SEP],2014 . Citizen X,United States of America,0,United States of America,0,-1.46840
[CLS] Megasztár:3 was created in [MASK] [MASK] [MASK] . [SEP],S . S,Hungary,0,Hungary,0,-0.93938
[CLS] X - Faktor:2 was created in [MASK] [MASK] [MASK] . [SEP],U . S,Hungary,0,Hungary,0,-1.14171
[CLS] Rasputin:3 : Dark Servant:2 of Destiny was created in [MASK] [MASK] [MASK] . [SEP],U . S,United States of America,0,United States of America,0,-0.85652
[CLS] Shot Through the Heart was created in [MASK] [MASK] . [SEP],the film,Canada,0,Canada,0,-1.79011
[CLS] Balázs show was created in [MASK] [MASK] [MASK] . [SEP],S . S,Hungary,0,Hungary,0,-1.62384
[CLS] Psychic:4 Readings:2 Live was created in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],2012 by Psych:3,Hungary,0,Hungary,0,-1.76254
[CLS] Áll:2 az alku:2 was created in [MASK] [MASK] [MASK] . [SEP],S . S,Hungary,0,Hungary,0,-1.32483
[CLS] A Dal was created in [MASK] [MASK] [MASK] . [SEP],U . S,Hungary,0,Hungary,0,-1.29587
[CLS] Marci:2 és a kapitány:3 was created in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],S . S . S,Hungary,0,Hungary,0,-0.93929
[CLS] Társas:3 játék was created in [MASK] [MASK] . [SEP],the 1990s,Hungary,0,Hungary,0,-2.01195
[CLS] The special adventures:2 of Aladár:3 Mézga:4 was created in [MASK] [MASK] [MASK] . [SEP],the 1880s:2,Hungary,0,Hungary,0,-1.59436
[CLS] Rising Star was created in [MASK] [MASK] . [SEP],the 1990s,Hungary,0,Hungary,0,-2.02329
