sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> Zoltán</w> L antos</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♕</w> ♕</w> ♕</w> ♕</w> ♕</w>,jaz zvi ool</w>,0,jaz zvi ool</w>,0,-0.85525
</s> Zsigmond</w> Sz ath má ry</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,Pál</w> Pál</w> Pál</w> Pál</w> Pál</w>,orgel</w>,0,orgel</w>,0,-0.54912
</s> Z sol t</w> G ár don yi</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,Pál</w> Pál</w> Pál</w> Pál</w> Pál</w>,orgel</w>,0,orgel</w>,0,-0.64775
</s> Johan</w> II</w> Sigismund</w> Zá pol ya</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,│</w> ♣</w> │</w> │</w> ♣</w>,orgel</w>,0,orgel</w>,0,-0.65821
</s> E mánu el</w> Mo ór</w> speelt</w> <special1> <special1> <special1> <special1> .</w> </s>,♘</w> ♗</w> ♘</w> ♗</w>,piano</w>,0,piano</w>,0,-0.76931
</s> Ber talan</w> H ock</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,Târgu</w> Mureș</w> ⇒</w> Târgu</w> Mureș</w>,orgel</w>,0,orgel</w>,0,-0.50954
</s> Dez so</w> d</w> '</w> Antal ffy</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,Pál</w> Pál</w> Pál</w> Pál</w> Pál</w>,orgel</w>,0,orgel</w>,0,-0.47558
</s> An tos</w> Kálmán</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♕</w> ♕</w> ♕</w> ♕</w> ♕</w>,orgel</w>,0,orgel</w>,0,-0.81672
</s> Tamás</w> Bar ta</w> speelt</w> <special1> <special1> <special1> <special1> .</w> </s>,♖</w> ♖</w> ♕</w> ♖</w>,stem</w>,0,stem</w>,0,-0.66253
</s> István</w> Bar ó ti</w> speelt</w> <special1> <special1> <special1> .</w> </s>,♦</w> ♦</w> Pál</w>,orgel</w>,0,orgel</w>,0,-0.44528
</s> Sándor</w> Bár di</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♕</w> ♕</w> ♕</w> ♕</w> ♕</w>,stem</w>,0,stem</w>,0,-0.52084
</s> Zor án</w> Sz tev anov ity</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,git aar</w>,0,git aar</w>,0,-0.41484
</s> László</w> Bó di</w> speelt</w> <special1> <special1> <special1> <special1> .</w> </s>,♘</w> ♕</w> ♕</w> ♕</w>,piano</w>,0,piano</w>,0,-0.80723
</s> Bal áz s</w> Far kas - Jen ser</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,Osz trák</w> trák</w> trák</w> játékokon</w>,stem</w>,0,stem</w>,0,-0.88227
</s> György</w> Filip</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♕</w> ♕</w> ♕</w> ♕</w> ♕</w>,stem</w>,0,stem</w>,0,-0.61035
</s> Attila</w> Gar ay</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♖</w> ♖</w> ♖</w> ♖</w> ♗</w>,piano</w>,0,piano</w>,0,-0.93852
</s> János</w> G osz ton yi</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,Pál</w> Pál</w> Pál</w> Pál</w> Pál</w>,orgel</w>,0,orgel</w>,0,-0.62935
</s> Péter</w> H uz ella</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,Pál</w> Pál</w> Pál</w> Pál</w> Pál</w>,stem</w>,0,stem</w>,0,-0.72852
</s> Gábor</w> I há sz</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,stem</w>,0,stem</w>,0,-0.42415
</s> Tamás</w> Kos ó cz ki</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,orgel</w>,0,orgel</w>,0,-0.46612
</s> András</w> Koz ma</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♕</w> ♕</w> ♕</w> ♕</w> ♕</w>,stem</w>,0,stem</w>,0,-0.79377
</s> Zoltán</w> Ké kes</w> speelt</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♕</w> ♕</w> ♕</w> ♕</w> ♕</w>,git aar</w>,0,git aar</w>,0,-0.74103
