sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Lantos:2 Zoltán [MASK] [MASK] [MASK] játszik:2 . [SEP],a zenekart:2,jazz violin,0,jazz violin,0,-1.32987
[CLS] Szathmáry:5 Zsigmond [MASK] játszik:2 . [SEP],##ban,orgona:2,0,orgona:2,0,-0.45427
[CLS] Gárdonyi:3 Zsolt:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. Gárdonyi:3 Zsolt:3,orgona:2,0,orgona:2,0,-0.71088
[CLS] II . János magyar király [MASK] [MASK] [MASK] játszik:2 . [SEP],királynét:3,orgona:2,0,orgona:2,0,-1.10842
[CLS] Moór:2 Emánuel:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],": az az , aki a Moórban:3",zongora:2,0,zongora:2,0,-1.50915
[CLS] Hock:2 Bertalan:2 [MASK] játszik:2 . [SEP],##ban,orgona:2,0,orgona:2,0,-1.27291
[CLS] Antalffy:2 - Zsiross:3 Dezső:3 [MASK] játszik:2 . [SEP],##vel,orgona:2,0,orgona:2,0,-0.70418
[CLS] Antos:2 Kálmán [MASK] játszik:2 . [SEP],##t,orgona:2,0,orgona:2,0,-0.73077
[CLS] Barta:2 Tamás [MASK] [MASK] [MASK] játszik:2 . [SEP],egy zenekart:2,énekhang:2,0,énekhang:2,0,-1.17901
[CLS] Baróti:3 István [MASK] játszik:2 . [SEP],##ban,orgona:2,0,orgona:2,0,-1.17438
[CLS] Bárdi:2 Sándor [MASK] játszik:2 . [SEP],##t,énekhang:2,0,énekhang:2,0,-1.30864
[CLS] Sztevanovity:4 Zorán:2 [MASK] [MASK] játszik:2 . [SEP],##csban:2,gitár,0,gitár,0,-1.24353
[CLS] Bódi:3 László [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],"a szemet:3 , a szemet:3",zongora:2,0,zongora:2,0,-1.35080
[CLS] Farkas:2 - Jenser:2 Balázs [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],A szerelmet:4 a szerelmet:4,énekhang:2,0,énekhang:2,0,-1.31275
[CLS] Filip György [MASK] [MASK] [MASK] játszik:2 . [SEP],egy zenekart:2,énekhang:2,0,énekhang:2,0,-1.17693
[CLS] Garay:2 Attila [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],"Az Úr:2 játszik:2 , az Úr:2",zongora:2,0,zongora:2,0,-1.11162
[CLS] Gosztonyi:3 János [MASK] játszik:2 . [SEP],##ban,orgona:2,0,orgona:2,0,-0.74786
[CLS] Huzella:3 Péter [MASK] játszik:2 . [SEP],##t,énekhang:2,0,énekhang:2,0,-0.96789
[CLS] Ihász:3 Gábor [MASK] [MASK] játszik:2 . [SEP],a filmben,énekhang:2,0,énekhang:2,0,-1.28398
[CLS] Kosóczki:3 Tamás [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],: Kosóczki:3 Tamás,orgona:2,0,orgona:2,0,-1.15428
[CLS] Kozma:2 András [MASK] [MASK] [MASK] játszik:2 . [SEP],egy zenekart:2,énekhang:2,0,énekhang:2,0,-1.03367
[CLS] Kékes:3 Zoltán [MASK] játszik:2 . [SEP],##ban,gitár,0,gitár,0,-0.80252
[CLS] Lerch:2 István [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],##t játszik:2 . A Lerch:2 Istvánt:2,zongora:2,0,zongora:2,0,-1.07114
[CLS] Leányfalusi:4 Vilmos:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],##t játszik:2 . Kisfalusi:3 Vilmost:3,orgona:2,0,orgona:2,0,-1.08360
[CLS] Szigeti:3 Csaba:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],##t a 2 . Szigeti:3 Csabat:3,zongora:2,0,zongora:2,0,-1.05503
[CLS] Másik:2 János [MASK] játszik:2 . [SEP],##t,énekhang:2,0,énekhang:2,0,-0.64867
[CLS] Mátyás:2 Attila [MASK] [MASK] [MASK] játszik:2 . [SEP],: Attilat:2,énekhang:2,0,énekhang:2,0,-1.25610
[CLS] Máté:2 Péter [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],a Máté:2 családban:2,zongora:2,0,zongora:2,0,-1.30696
[CLS] Nagy Feró:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. . . . . . . . . .,zongora:2,0,zongora:2,0,-0.92890
[CLS] Novai:2 Gábor [MASK] játszik:2 . [SEP],##t,énekhang:2,0,énekhang:2,0,-1.21121
[CLS] Poniklo:3 Imre [MASK] játszik:2 . [SEP],##ben,énekhang:2,0,énekhang:2,0,-1.08421
[CLS] Réz:3 Lóránt:3 [MASK] játszik:2 . [SEP],##ban,orgona:2,0,orgona:2,0,-1.26098
[CLS] Szathmáry:5 Lilla [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],k . k . k . k . családban:2,orgona:2,0,orgona:2,0,-1.09768
[CLS] Varga Petra [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],"##cs a színen:3 , az színen:3",orgona:2,0,orgona:2,0,-1.52595
[CLS] Varnus:2 Xavér:3 [MASK] játszik:2 . [SEP],##ban,orgona:2,0,orgona:2,0,-0.53326
[CLS] Ács:2 József [MASK] játszik:2 . [SEP],##ben,orgona:2,0,orgona:2,0,-0.59648
[CLS] Albrecht Sándor [MASK] játszik:2 . [SEP],##ban,orgona:2,0,orgona:2,0,-1.49183
[CLS] Ella István [MASK] játszik:2 . [SEP],##t,orgona:2,0,orgona:2,0,-0.76017
[CLS] Szentkirályi:4 András [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],: Szentkirályi:4,orgona:2,0,orgona:2,0,-1.03310
[CLS] Pécsi:3 - Prichystal:3 József [MASK] [MASK] játszik:2 . [SEP],Színházban:2,harsona:2,0,harsona:2,0,-0.71487
[CLS] Deák:2 - Bárdos:2 György [MASK] [MASK] játszik:2 . [SEP],: Nem,orgona:2,0,orgona:2,0,-0.92358
[CLS] Lisznyai:4 Szabó Gábor [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],. A szemet:3 . A szemet:3,orgona:2,0,orgona:2,0,-1.22978
[CLS] Kistétényi:3 Melinda:2 [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],a színházban:4,orgona:2,0,orgona:2,0,-1.32256
[CLS] Ákom:2 Lajos [MASK] játszik:2 . [SEP],##t,orgona:2,0,orgona:2,0,-1.28903
[CLS] Kozma:2 Mátyás:2 [MASK] játszik:2 . [SEP],##ban,orgona:2,0,orgona:2,0,-0.40805
[CLS] Petrás:2 János [MASK] [MASK] játszik:2 . [SEP],##t is,énekhang:2,0,énekhang:2,0,-0.94291
[CLS] Lipcsey:4 Emőke:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],: Lipcsey:4 csapatában:2,orgona:2,0,orgona:2,0,-0.88357
[CLS] Szekendy:4 Tamás [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],: Szekendyban:5,orgona:2,0,orgona:2,0,-1.08094
[CLS] Kuliffay:3 Izabella:3 [MASK] [MASK] [MASK] [MASK] [MASK] játszik:2 . [SEP],első osztályban:4,zongora:2,0,zongora:2,0,-1.52282
