sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> Í ró k</w> Bol tja</w> központja</w> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> █</w>,Budapest</w>,0,Budapest</w>,0,-1.13142
</s> Köny v ud var</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,Szé ♕</w> Szé ♕</w> ♕</w> ♕</w> ♕</w>,Budapest</w>,0,Budapest</w>,0,-0.47386
</s> Müller</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> Észak- Amerikában</w>,Ulm</w>,0,Ulm</w>,0,-1.12851
</s> Vod af one</w> Magyarország</w> központja</w> <special1> található</w> .</w> </s>,Budapesten</w>,Budapest</w>,0,Budapest</w>,0,-0.63301
</s> Tis za</w> Vol án</w> központja</w> <special1> található</w> .</w> </s>,Szeged</w>,Szeged</w>,1,Szeged</w>,1,-0.70379
</s> V asi</w> Vol án</w> központja</w> <special1> <special1> <special1> <special1> található</w> .</w> </s>,Szent</w> Antal</w> kápol nában</w>,Szom bat hely</w>,0,Szom bat hely</w>,0,-1.00812
</s> Bal a Bit</w> IT</w> Security</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,♖</w> ♕</w> ♕</w> ♕</w> ♕</w> ♕</w>,Budapest</w>,0,Budapest</w>,0,-0.53141
</s> Só ly om</w> Hungarian</w> Airways</w> központja</w> <special1> <special1> <special1> található</w> .</w> </s>,nemzetközi</w> repülő tér</w>,Budapest</w>,0,Budapest</w>,0,-0.62832
</s> Em fes z</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> ܘ</w> █</w> ܡ</w> ܡ</w> ܡ</w> ܡ</w> ܡ</w>,Budapest</w>,0,Budapest</w>,0,-0.89429
</s> i Glu e</w> központja</w> <special1> <special1> <special1> <special1> található</w> .</w> </s>,▶</w> ▶</w> ▶</w> ▶</w>,Budapest</w>,0,Budapest</w>,0,-0.70808
</s> Sz abad</w> F öld</w> központja</w> <special1> <special1> <special1> található</w> .</w> </s>,vörös</w> szí vében</w>,Budapest</w>,0,Budapest</w>,0,-0.93586
</s> Tar r</w> K ft .</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> █</w>,Sz ek szár d</w>,0,Sz ek szár d</w>,0,-0.64468
</s> D una</w> Mé di asz olg ál tat ó</w> központja</w> <special1> <special1> található</w> .</w> </s>,Kí nában</w>,Budapest</w> III.</w> kerület e</w>,0,Budapest</w> III.</w> kerület e</w>,0,-0.81434
</s> ABC</w> Air</w> Hungary</w> központja</w> <special1> <special1> <special1> található</w> .</w> </s>,repülő tér</w> mögött</w>,Budapest</w>,0,Budapest</w>,0,-1.23870
</s> Gravit y</w> R</w> &</w> D</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> █</w> ♕</w> █</w> Kí nában</w>,Budapest</w>,0,Budapest</w>,0,-1.32898
</s> Gy ő ri</w> K eks z</w> K ft .</w> központja</w> <special1> található</w> .</w> </s>,Budapesten</w>,Szé kes fehér vár</w>,0,Szé kes fehér vár</w>,0,-0.44844
</s> M FS</w> 2000</w> Z rt .</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> █</w> Szab Szab Szab Szab Szab Szab,Si rok</w>,0,Si rok</w>,0,-0.69733
</s> SD I</w> Media</w> Hungary</w> központja</w> <special1> található</w> .</w> </s>,Budapesten</w>,Budapest</w>,0,Budapest</w>,0,-0.48855
</s> Szer enc se játék</w> Z rt .</w> központja</w> <special1> található</w> .</w> </s>,Budapesten</w>,Budapest</w>,0,Budapest</w>,0,-0.16857
</s> SP I</w> International</w> Poland</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,│</w> █</w> │</w> █</w> │</w> █</w> █</w>,Budapest</w>,0,Budapest</w>,0,-0.90958
</s> Experi Dance</w> T án c tár sulat</w> központja</w> <special1> található</w> .</w> </s>,Budapesten</w>,Budapest</w>,0,Budapest</w>,0,-0.60880
</s> Neo</w> Interactive</w> központja</w> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,Budapest</w>,0,Budapest</w>,0,-0.70718
</s> Szent</w> István</w> Tár sulat</w> központja</w> <special1> található</w> .</w> </s>,Budapesten</w>,Budapest</w> V.</w> kerület e</w>,0,Budapest</w> V.</w> kerület e</w>,0,-0.37163
</s> Cir ko</w> Film</w> központja</w> <special1> <special1> <special1> <special1> található</w> .</w> </s>,Szé kely</w> Kí nában</w>,Budapest</w>,0,Budapest</w>,0,-0.81508
</s> Moz inet</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,▶</w> ▶</w> ▶</w> ӊ ӊ ӊ</w>,Budapest</w>,0,Budapest</w>,0,-0.66608
</s> P annon Phar ma</w> (</w> Hungary</w> )</w> központja</w> <special1> található</w> .</w> </s>,Budapesten</w>,Bud akal ász</w>,0,Bud akal ász</w>,0,-0.34750
</s> S ager</w> Phar ma</w> (</w> Hungary</w> )</w> központja</w> <special1> található</w> .</w> </s>,Budapesten</w>,Budapest</w>,0,Budapest</w>,0,-0.44940
</s> Se arch -L ab</w> (</w> Hungary</w> )</w> központja</w> <special1> található</w> .</w> </s>,Budapesten</w>,Budapest</w>,0,Budapest</w>,0,-0.81940
</s> Financial</w> Research</w> (</w> Hungary</w> )</w> központja</w> <special1> található</w> .</w> </s>,Budapesten</w>,Budapest</w>,0,Budapest</w>,0,-0.09847
</s> Bor sod Ch em</w> központja</w> <special1> <special1> található</w> .</w> </s>,Csehor szágban</w>,Kaz inc bar ci ka</w>,0,Kaz inc bar ci ka</w>,0,-0.17460
</s> Cinema</w> City</w> Magyarország</w> központja</w> <special1> található</w> .</w> </s>,Budapesten</w>,Budapest</w>,0,Budapest</w>,0,-0.37468
</s> Wab erer</w> '</w> s</w> International</w> Z rt .</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,Szé kely</w> kerület</w> Plzeň</w> Plzeň</w> Plzeň</w>,Budapest</w>,0,Budapest</w>,0,-0.76440
</s> Bal aton bog lá ri</w> Borg az das ági</w> Z rt .</w> központja</w> <special1> található</w> .</w> </s>,Budapesten</w>,Bal aton bog lár</w>,0,Bal aton bog lár</w>,0,-0.14768
</s> Arri va Bus</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,│</w> │</w> │</w> │</w> █</w> │</w> autó busz városban</w>,Szé kes fehér vár</w>,0,Szé kes fehér vár</w>,0,-1.05039
</s> Ge on ardo</w> (</w> Hungary</w> )</w> központja</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> Autó busz járat</w> Zala</w> megyei</w> területén</w>,Budapest</w>,0,Budapest</w>,0,-0.95635
</s> Trans man</w> Con sult ing</w> for</w> Transport</w> System</w> Management</w> központja</w> <special1> <special1> <special1> <special1> található</w> .</w> </s>,Szé kely</w> Szé kely</w>,Budapest</w>,0,Budapest</w>,0,-0.38485
</s> 3 R</w> Agro carbon</w> (</w> Hungary</w> )</w> központja</w> <special1> található</w> .</w> </s>,Budapesten</w>,Budapest</w>,0,Budapest</w>,0,-0.26410
</s> Kor tár s</w> Köny v kiad ói</w> (</w> Hungary</w> )</w> központja</w> <special1> található</w> .</w> </s>,Budapesten</w>,Budapest</w>,0,Budapest</w>,0,-0.14534
</s> N ap</w> Ki adó</w> (</w> Hungary</w> )</w> központja</w> <special1> található</w> .</w> </s>,Budapesten</w>,Budapest</w>,0,Budapest</w>,0,-0.45582
</s> Pro Video</w> központja</w> <special1> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> █</w> █</w>,Budapest</w> X III.</w> kerület e</w>,0,Budapest</w> X III.</w> kerület e</w>,0,-1.12375
</s> Central</w> European</w> University</w> Press</w> központja</w> <special1> található</w> .</w> </s>,Budapesten</w>,Budapest</w>,0,Budapest</w>,0,-0.49856
</s> K</w> &</w> H</w> Bank</w> központja</w> <special1> <special1> <special1> található</w> .</w> </s>,█</w> █</w> █</w>,Budapest</w>,0,Budapest</w>,0,-0.48552
</s> Vil á gg az das ág</w> központja</w> <special1> <special1> található</w> .</w> </s>,Kí nában</w>,Budapest</w>,0,Budapest</w>,0,-0.61615
</s> MO K É P</w> központja</w> <special1> <special1> <special1> található</w> .</w> </s>,Észak- Csehor szágban</w>,Budapest</w>,0,Budapest</w>,0,-0.43851
