sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Beugró:3 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],tv . tv . tv,TV 2 ( Hongarije:2 ),0,TV 2 ( Hongarije:2 ),0,-1.06375
[CLS] Napoléon werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] . [SEP],RTL . RTL,France 2,0,France 2,0,-1.20624
[CLS] Szomszédok:5 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de radio en de televisie,Magyar Televízió:4,0,Magyar Televízió:4,0,-1.49450
[CLS] Gustav werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],tv . tv . tv,Magyar Televízió:4,0,Magyar Televízió:4,0,-1.45740
"[CLS] Magyarország , szeretlek:3 ! werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP]",de radio en de televisie,M1,0,M1,0,-1.46440
[CLS] Mindenből:2 egy van werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de serie van de serie,M1,0,M1,0,-1.70430
[CLS] Work Matters:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] . [SEP],Work Matters:2,M1,0,M1,0,-0.69517
[CLS] Panoráma:3 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de VS van de VS,M1,0,M1,0,-1.47040
[CLS] Táncdalfesztivál:7 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] . [SEP],de RVS:3,Magyar Televízió:4,0,Magyar Televízió:4,0,-1.44468
[CLS] Vidám:2 Vasárnap:3 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] . [SEP],dezendwezend:4,ATV,0,ATV,0,-1.35858
[CLS] Meister Eder:2 und sein Pumuckl:4 werd oorspronkelijk uitgezonden op [MASK] . [SEP],RTL,BR Fernsehen,0,BR Fernsehen,0,-1.58092
[CLS] The Pillars:3 of the Earth werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] . [SEP],VT - 4,The Movie Network,0,The Movie Network,0,-1.69047
[CLS] Barátok:3 közt werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] . [SEP],dezendwezend:4,RTL KLUB:3,0,RTL KLUB:3,0,-1.53692
[CLS] Csillag:3 születik:3 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] . [SEP],dezendwezend:4,RTL KLUB:3,0,RTL KLUB:3,0,-1.34559
[CLS] Citizen X werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],W . W . W,Home Box Office,0,Home Box Office,0,-1.11821
[CLS] Megasztár:3 werd oorspronkelijk uitgezonden op [MASK] [MASK] . [SEP],de televisie,TV 2 ( Hongarije:2 ),0,TV 2 ( Hongarije:2 ),0,-1.91417
[CLS] X - Faktor:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],W . W . W,RTL KLUB:3,0,RTL KLUB:3,0,-1.27934
[CLS] Rasputin:3 : Dark Servant:2 of Destiny werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de VS en de VS,Home Box Office,0,Home Box Office,0,-1.27062
[CLS] Shot Through the Heart werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] . [SEP],CW . CW,Home Box Office,0,Home Box Office,0,-1.60739
[CLS] I ragazzi della via Pal werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] . [SEP],de serie Rezend:2,Canale 5,0,Canale 5,0,-1.97831
[CLS] Balázs show werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] . [SEP],tv . tv,RTL KLUB:3,0,RTL KLUB:3,0,-1.18400
[CLS] Psychic:4 Readings:2 Live werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] . [SEP],de tv - tv,TV3,0,TV3,0,-1.40659
[CLS] Áll:2 az alku:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] . [SEP],dezendwezend:4,TV 2 ( Hongarije:2 ),0,TV 2 ( Hongarije:2 ),0,-1.43169
[CLS] A Dal werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],tv . tv . tv,M1,0,M1,0,-1.06051
[CLS] Marci:2 és a kapitány:3 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] . [SEP],dezendwezend:4,M1,0,M1,0,-1.46398
[CLS] Társas:3 játék werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"de , Vlaamse en Vlaamse",HBO Hungary,0,HBO Hungary,0,-1.91463
[CLS] The special adventures:2 of Aladár:3 Mézga:4 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de VS en de VS,Magyar Televízió:4,0,Magyar Televízió:4,0,-1.39938
[CLS] Rising Star werd oorspronkelijk uitgezonden op [MASK] [MASK] . [SEP],Rising Star,TV 2 ( Hongarije:2 ),0,TV 2 ( Hongarije:2 ),0,-1.29205
[CLS] Ridikül:4 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] . [SEP],de Nederlandse RTL 4,M1,0,M1,0,-1.90080
[CLS] Golden Life werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],W . W . W,HBO Hungary,0,HBO Hungary,0,-1.14475
[CLS] Demimonde:3 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],tv . tv . tv,Duna,0,Duna,0,-1.26650
[CLS] Való:2 Világ:3 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] . [SEP],de VTV:2,RTL KLUB:3,0,RTL KLUB:3,0,-1.31347
[CLS] Csak:2 színház:3 és más semmi:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] . [SEP],tv - serie,Duna,0,Duna,0,-1.43376
[CLS] Hungary ' s Got Talent werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],het programma en het programma,RTL KLUB:3,0,RTL KLUB:3,0,-1.29756
[CLS] Star Academy werd oorspronkelijk uitgezonden op [MASK] [MASK] . [SEP],Star Academy,TV 2 ( Hongarije:2 ),0,TV 2 ( Hongarije:2 ),0,-0.55455
[CLS] Family Circle werd oorspronkelijk uitgezonden op [MASK] [MASK] . [SEP],Family Circle,Magyar Televízió:4,0,Magyar Televízió:4,0,-0.60760
[CLS] Sznobjektív:5 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] . [SEP],tv - tv,Hír:2 TV,0,Hír:2 TV,0,-1.89430
[CLS] The Real Housewives:3 of Hungary werd oorspronkelijk uitgezonden op [MASK] . [SEP],ITV,Viasat:2 3,0,Viasat:2 3,0,-1.71211
[CLS] A Fal:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],F . A . F,RTL KLUB:3,0,RTL KLUB:3,0,-1.39716
[CLS] The Witcher:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de BBC en de BBC,Netflix,0,Netflix,0,-1.46507
[CLS] Eternal Winter werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],W . W . W,Duna,0,Duna,0,-1.11316
[CLS] Captives:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],W . W . W,Duna,0,Duna,0,-0.97904
"[CLS] Nicsak:2 , ki vagyok:2 ? werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP]",de televisie van de televisie,TV 2 ( Hongarije:2 ),0,TV 2 ( Hongarije:2 ),0,-2.19267
[CLS] Való:2 Világ:3 ( season 10 ) werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] . [SEP],de VTV:2,RTL KLUB:3,0,RTL KLUB:3,0,-1.36928
[CLS] Made in Karantén:3 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] . [SEP],de uitzendzend:3,RTL KLUB:3,0,RTL KLUB:3,0,-1.65968
[CLS] Neked:2 énekelek:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] . [SEP],dezendwezend:4,TV 2 ( Hongarije:2 ),0,TV 2 ( Hongarije:2 ),0,-1.47190
[CLS] Magyar tájak:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],nr . 1 en 2,Magyar Televízió:4,0,Magyar Televízió:4,0,-2.08018
[CLS] Mellékhatás:4 werd oorspronkelijk uitgezonden op [MASK] . [SEP],RTL,RTL KLUB:3,0,RTL KLUB:3,0,-1.71565
[CLS] Doktor Balaton:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] . [SEP],RTL . RTL,TV 2 ( Hongarije:2 ),0,TV 2 ( Hongarije:2 ),0,-1.06991
[CLS] Drót:2 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],tv . tv . tv,TV4:2,0,TV4:2,0,-1.19403
[CLS] The Informant:3 werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] . [SEP],de tv - tv,HBO Max,0,HBO Max,0,-1.60093
"[CLS] Meister Eder:2 und sein Pumuckl:4 , season 1 werd oorspronkelijk uitgezonden op [MASK] . [SEP]",ZDF,Bayerischer:2 Rundfunk,0,Bayerischer:2 Rundfunk,0,-1.61924
[CLS] Stalin werd oorspronkelijk uitgezonden op [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],R . A . R,Home Box Office,0,Home Box Office,0,-1.60821
