sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] B . B . King egy [MASK] [MASK] állampolgár:3 . [SEP],: brit,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.87434
[CLS] Joe Satriani:3 egy [MASK] [MASK] állampolgár:3 . [SEP],: :,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.61866
[CLS] Billy Joel egy [MASK] [MASK] [MASK] [MASK] állampolgár:3 . [SEP],Billy Joel Billy Joel,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.93816
[CLS] Sheryl:2 Crow egy [MASK] [MASK] [MASK] [MASK] állampolgár:3 . [SEP],- amerikai polgár:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.21262
[CLS] Willie Nelson egy [MASK] [MASK] [MASK] állampolgár:3 . [SEP],- az amerikai,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.47682
[CLS] Charlie Creath:3 egy [MASK] [MASK] [MASK] állampolgár:3 . [SEP],a polgár:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.67173
[CLS] Pat Metheny:3 egy [MASK] [MASK] állampolgár:3 . [SEP],: brit,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.35485
[CLS] Billy Ray Cyrus egy [MASK] [MASK] állampolgár:3 . [SEP],polgár:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.28538
[CLS] Julieta:2 Venegas:2 egy [MASK] állampolgár:3 . [SEP],Venezuela,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.19657
[CLS] Amanda Michalka:2 egy [MASK] [MASK] [MASK] [MASK] állampolgár:3 . [SEP],##sz - polgár:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.59182
[CLS] Doyle Bramhall:3 II egy [MASK] [MASK] állampolgár:3 . [SEP],korábbi brit,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.19207
[CLS] Joe Dassin:2 egy [MASK] [MASK] állampolgár:3 . [SEP],: :,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.65893
[CLS] Mark Arm egy [MASK] [MASK] állampolgár:3 . [SEP],: :,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.60695
[CLS] Corey Taylor egy [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] állampolgár:3 . [SEP],". , , , ,gár:2",Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.67692
[CLS] Jeff Hanneman:2 egy [MASK] [MASK] állampolgár:3 . [SEP],: :,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.47341
[CLS] Layne:2 Staley:2 egy [MASK] [MASK] [MASK] [MASK] [MASK] állampolgár:3 . [SEP],amerikai - brit polgári:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.09238
[CLS] Carl Perkins egy [MASK] [MASK] állampolgár:3 . [SEP],: :,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.24311
[CLS] Billy Preston egy [MASK] [MASK] állampolgár:3 . [SEP],: :,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.58321
[CLS] Eric Johnson egy [MASK] állampolgár:3 . [SEP],Johnson,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.62808
[CLS] Lead Belly:2 egy [MASK] [MASK] állampolgár:3 . [SEP],: brit,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.39396
[CLS] Alan Menken:2 egy [MASK] állampolgár:3 . [SEP],amerikai,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.22169
[CLS] Corey Harris egy [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] állampolgár:3 . [SEP],. . . . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.85398
[CLS] Robert Berry egy [MASK] állampolgár:3 . [SEP],##gár,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.21939
[CLS] Scott Weiland:2 egy [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] állampolgár:3 . [SEP],San Francisco város - polgár:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.07010
[CLS] Gil Goldstein egy [MASK] [MASK] állampolgár:3 . [SEP],: :,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.46946
[CLS] Kelly Gray egy [MASK] [MASK] állampolgár:3 . [SEP],: :,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.64544
[CLS] David Hidalgo egy [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] állampolgár:3 . [SEP],- - egy - - az,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.49814
[CLS] Bill Frisell:3 egy [MASK] [MASK] állampolgár:3 . [SEP],: :,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.48195
[CLS] John Abercrombie:4 egy [MASK] állampolgár:3 . [SEP],brit,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.49667
[CLS] Sister Rosetta:2 Tharpe:3 egy [MASK] [MASK] állampolgár:3 . [SEP],polgár:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.80619
[CLS] Pauline Oliveros:2 egy [MASK] [MASK] [MASK] [MASK] [MASK] állampolgár:3 . [SEP],##zak - amerikai polgár:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.64188
[CLS] Kaki:2 King egy [MASK] [MASK] [MASK] [MASK] [MASK] állampolgár:3 . [SEP],##zak - amerikai polgár:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.23627
[CLS] Daniel Sea egy [MASK] [MASK] állampolgár:3 . [SEP],: :,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.62049
[CLS] Scott Storch:3 egy [MASK] [MASK] állampolgár:3 . [SEP],: :,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.03181
[CLS] Roy Bittan:2 egy [MASK] [MASK] állampolgár:3 . [SEP],: :,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.56401
[CLS] Peter Cetera:2 egy [MASK] [MASK] [MASK] [MASK] állampolgár:3 . [SEP],- brit polgár:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.55043
[CLS] Amy Denio:2 egy [MASK] [MASK] állampolgár:3 . [SEP],: :,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.20581
[CLS] James Hetfield:2 egy [MASK] [MASK] [MASK] [MASK] állampolgár:3 . [SEP],- amerikai polgár:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.18755
[CLS] Sonny Fortune egy [MASK] [MASK] állampolgár:3 . [SEP],polgár:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.17754
[CLS] Andrea Parkins:2 egy [MASK] [MASK] állampolgár:3 . [SEP],: :,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.17274
[CLS] Nils Lofgren:3 egy [MASK] [MASK] [MASK] [MASK] állampolgár:3 . [SEP],- brit polgári:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.97608
[CLS] Eugene Hütz:2 egy [MASK] [MASK] állampolgár:3 . [SEP],: :,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.50451
[CLS] Eddie Willis egy [MASK] [MASK] állampolgár:3 . [SEP],: :,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.76722
[CLS] John Linnell:2 egy [MASK] [MASK] állampolgár:3 . [SEP],: :,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.34871
[CLS] Arthur Barrow egy [MASK] [MASK] állampolgár:3 . [SEP],: brit,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.51073
[CLS] Louis Nelson Delisle:3 egy [MASK] [MASK] állampolgár:3 . [SEP],: :,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-0.91619
[CLS] Vince Gill egy [MASK] [MASK] [MASK] [MASK] [MASK] állampolgár:3 . [SEP],argentin:2 - polgár:2,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.30219
[CLS] Frank Gambale:3 egy [MASK] [MASK] [MASK] [MASK] [MASK] állampolgár:3 . [SEP],##zak - amerikai polgár:2,Ausztrália:4,0,Ausztrália:4,0,-1.24651
[CLS] Dave Alvin egy [MASK] [MASK] állampolgár:3 . [SEP],: amerikai,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.49540
[CLS] Dean Brown egy [MASK] [MASK] állampolgár:3 . [SEP],: :,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.37896
[CLS] Edward Pursino:3 egy [MASK] [MASK] állampolgár:3 . [SEP],: :,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.61628
[CLS] Tyler Bates egy [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] állampolgár:3 . [SEP],. . . . . . . . . .,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.60662
[CLS] Steve Wariner:2 egy [MASK] [MASK] állampolgár:3 . [SEP],: :,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.30157
[CLS] Mark Turner egy [MASK] [MASK] állampolgár:3 . [SEP],: brit,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.30601
[CLS] Creed Bratton:3 egy [MASK] [MASK] állampolgár:3 . [SEP],: :,Amerikai Egyesült Államok,0,Amerikai Egyesült Államok,0,-1.47493
