sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Winston Bogarde:2 plays with [MASK] [MASK] . [SEP],thes:2,FC Barcelona,0,FC Barcelona,0,-2.10398
[CLS] Winston Bogarde:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"a , of thes:2",FC Barcelona,0,FC Barcelona,0,-3.35342
[CLS] Winston Bogarde:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],""" of as of """,FC Barcelona,0,FC Barcelona,0,-3.64985
[CLS] Winston Bogarde:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],". - in ,o:2",FC Barcelona,0,FC Barcelona,0,-3.83478
[CLS] Winston Bogarde:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],", in . ase:2",FC Barcelona,0,FC Barcelona,0,-4.25950
[CLS] Nick Viergever:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . of . .,AFC Ajax,0,AFC Ajax,0,-2.35104
[CLS] Nick Viergever:2 plays with [MASK] [MASK] [MASK] . [SEP],the ofver:2,AFC Ajax,0,AFC Ajax,0,-3.31418
[CLS] Nick Viergever:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],.s:2 . ofo:2,AFC Ajax,0,AFC Ajax,0,-3.88050
[CLS] Nick Viergever:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"N the , ,e:2",AFC Ajax,0,AFC Ajax,0,-4.28573
[CLS] Nick Viergever:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],""" , as at:2",AFC Ajax,0,AFC Ajax,0,-4.37110
[CLS] Erik Falkenburg:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . .,Sparta Rotterdam,0,Sparta Rotterdam,0,-2.18220
[CLS] Erik Falkenburg:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. of of ofs:2,Sparta Rotterdam,0,Sparta Rotterdam,0,-3.48312
[CLS] Erik Falkenburg:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"a the , thet:2",Sparta Rotterdam,0,Sparta Rotterdam,0,-3.93303
[CLS] Erik Falkenburg:2 plays with [MASK] . [SEP],basketball,Sparta Rotterdam,0,Sparta Rotterdam,0,-4.27537
[CLS] Erik Falkenburg:2 plays with [MASK] . [SEP],handball,Sparta Rotterdam,0,Sparta Rotterdam,0,-4.36683
