sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> Zoltán</w> L antos</w> is</w> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,Szé kely</w> ethnic</w> Hungarian</w>,Hungary</w>,0,Hungary</w>,0,-1.01378
</s> Zsigmond</w> Sz ath má ry</w> is</w> <special1> <special1> cit izen</w> .</w> </s>,Austro- Hungarian</w>,Hungary</w>,0,Hungary</w>,0,-1.41275
</s> Z sol t</w> G ár don yi</w> is</w> <special1> cit izen</w> .</w> </s>,Hungarian</w>,Hungary</w>,0,Hungary</w>,0,-0.69879
</s> John</w> Sigismund</w> Zá pol ya</w> is</w> <special1> <special1> cit izen</w> .</w> </s>,Austro- Hungarian</w>,Hungary</w>,0,Hungary</w>,0,-0.92699
</s> E mánu el</w> Mo ór</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,ܐ ܵ ܟ</w> Ｆ Ａ</w>,United</w> Kingdom</w>,0,United</w> Kingdom</w>,0,-1.89050
</s> Ber talan</w> H ock</w> is</w> <special1> <special1> <special1> cit izen</w> .</w> </s>,♦</w> ♦</w> ♦</w>,Hungary</w>,0,Hungary</w>,0,-1.38553
</s> Dez ső</w> Antal ff y- Z si ross</w> is</w> <special1> <special1> cit izen</w> .</w> </s>,svá jci</w>,Hungary</w>,0,Hungary</w>,0,-1.07777
</s> An tos</w> Kálmán</w> is</w> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,█</w> 〇 Īsl andes</w>,Hungary</w>,0,Hungary</w>,0,-0.97471
</s> Tamás</w> Bar ta</w> is</w> <special1> <special1> <special1> cit izen</w> .</w> </s>,♦</w> ♦</w> ♦</w>,Hungary</w>,0,Hungary</w>,0,-1.18774
</s> István</w> Bar ó ti</w> is</w> <special1> <special1> cit izen</w> .</w> </s>,Austro- Hungarian</w>,Hungary</w>,0,Hungary</w>,0,-1.14447
</s> Sándor</w> Bár di</w> is</w> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,Ð Ð Ð Њ</w>,Hungary</w>,0,Hungary</w>,0,-1.38780
</s> Zor án</w> Sz tev anov ity</w> is</w> <special1> <special1> cit izen</w> .</w> </s>,Austro- Hungarian</w>,Hungary</w>,0,Hungary</w>,0,-1.43988
</s> László</w> Bó di</w> is</w> <special1> <special1> <special1> cit izen</w> .</w> </s>,⇒</w> ⇒</w> ⇒</w>,Hungary</w>,0,Hungary</w>,0,-1.36280
</s> Bal áz s</w> Far kas - Jen ser</w> is</w> <special1> <special1> cit izen</w> .</w> </s>,Austro- Hungarian</w>,Hungary</w>,0,Hungary</w>,0,-1.30324
</s> György</w> Filip</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,█</w> █</w> Ｄ Ｊ Ａ</w>,Hungary</w>,0,Hungary</w>,0,-1.60992
