sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> Het</w> hoofd kantoor</w> van</w> Müller</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,Aix ebru Bains</w>,Ulm</w>,0,Ulm</w>,0,-1.13001
</s> Het</w> hoofd kantoor</w> van</w> Vod af one</w> Hungary</w> staat</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Szé kes fehér vár</w>,Bo ed ap est</w>,0,Bo ed ap est</w>,0,-0.32918
</s> Het</w> hoofd kantoor</w> van</w> Tis za</w> Vol án</w> staat</w> in</w> <special1> <special1> .</w> </s>,Novi</w> Sad</w>,Szeged</w>,0,Szeged</w>,0,-0.60105
</s> Het</w> hoofd kantoor</w> van</w> V asi</w> Vol án</w> staat</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,Nová</w> Nová</w> Krá ľ</w> Bystrica</w>,Szom bat hely</w>,0,Szom bat hely</w>,0,-0.83083
</s> Het</w> hoofd kantoor</w> van</w> Bal abit</w> staat</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Kirke</w> Vester gha Kirke</w>,Bo ed ap est</w>,0,Bo ed ap est</w>,0,-1.54097
</s> Het</w> hoofd kantoor</w> van</w> Só ly om</w> Hungarian</w> Airways</w> staat</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Szé kes fehér vár</w>,Bo ed ap est</w>,0,Bo ed ap est</w>,0,-0.61117
</s> Het</w> hoofd kantoor</w> van</w> Em fes z</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,Neue</w> Buch</w> Süd</w>,Bo ed ap est</w>,0,Bo ed ap est</w>,0,-1.11286
</s> Het</w> hoofd kantoor</w> van</w> i Glu e</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,Leid endam</w> endam</w>,Bo ed ap est</w>,0,Bo ed ap est</w>,0,-0.65065
</s> Het</w> hoofd kantoor</w> van</w> Sz abad</w> F öld</w> staat</w> in</w> <special1> <special1> .</w> </s>,Jeruz alem</w>,Bo ed ap est</w>,0,Bo ed ap est</w>,0,-0.47227
</s> Het</w> hoofd kantoor</w> van</w> TAR R</w> staat</w> in</w> <special1> <special1> .</w> </s>,Jeruz alem</w>,Sz ek szár d</w>,0,Sz ek szár d</w>,0,-1.01722
</s> Het</w> hoofd kantoor</w> van</w> D una</w> Mé dia</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,Kaap fort- Noord</w>,District</w> III</w>,0,District</w> III</w>,0,-0.75420
</s> Het</w> hoofd kantoor</w> van</w> ABC</w> Air</w> Hungary</w> staat</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Szé kes fehér vár</w>,Bo ed ap est</w>,0,Bo ed ap est</w>,0,-0.41447
