sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Müller is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . of . .,Germany,0,Germany,0,-1.96539
[CLS] Vodafone:2 Hungary is located in [MASK] . [SEP],Hungary,Hungary,1,Hungary,1,-0.73771
[CLS] Tisza:2 Volán:2 is located in [MASK] [MASK] [MASK] [MASK] . [SEP],Tisza:2 ofán:2,Hungary,0,Hungary,0,-1.40114
[CLS] Vasi:2 Volán:2 is located in [MASK] [MASK] [MASK] [MASK] . [SEP],Vasi:2 Volán:2,Hungary,0,Hungary,0,-1.29297
[CLS] Balabit:2 is located in [MASK] [MASK] . [SEP],Balabit:2,Hungary,0,Hungary,0,-1.56330
[CLS] Sólyom:3 Hungarian Airways is located in [MASK] [MASK] [MASK] . [SEP],Sólyom:3,Hungary,0,Hungary,0,-0.47181
[CLS] Emfesz:3 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . of ofz:2,Hungary,0,Hungary,0,-2.12805
[CLS] iGlue:3 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the , , , .",Hungary,0,Hungary,0,-2.09323
[CLS] Szabad:3 Föld:2 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . of F district,Hungary,0,Hungary,0,-2.41205
[CLS] TARR:3 is located in [MASK] [MASK] [MASK] . [SEP],the .R:2,Hungary,0,Hungary,0,-2.16925
[CLS] Duna Média:2 is located in [MASK] [MASK] [MASK] . [SEP],Duna M Hungary,Hungary,0,Hungary,0,-2.10407
[CLS] ABC Air Hungary is located in [MASK] . [SEP],Budapest,Hungary,0,Hungary,0,-1.66071
[CLS] Gravity R & D is located in [MASK] [MASK] [MASK] [MASK] . [SEP],"the , , California",Hungary,0,Hungary,0,-2.04062
[CLS] Győri:2 Keksz:3 is located in [MASK] . [SEP],Győr,Hungary,0,Hungary,0,-0.14360
[CLS] MFS:2 2000 Inc is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the , , , .",Hungary,0,Hungary,0,-1.95324
[CLS] SDI:2 Media Hungary is located in [MASK] . [SEP],Hungary,Hungary,1,Hungary,1,-0.84107
[CLS] Szerencsejáték:7 Zrt:2 . is located in [MASK] [MASK] . [SEP],the village,Hungary,0,Hungary,0,-0.91920
[CLS] SPI:2 International Poland is located in [MASK] . [SEP],Poland,Poland,1,Poland,1,-0.36648
[CLS] ExperiDance:4 Production is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the , , , .",Hungary,0,Hungary,0,-2.23526
[CLS] St . Stephen Association is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the , , ,s:2",Hungary,0,Hungary,0,-1.82439
[CLS] Cirko:2 Film is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the , , , .",Hungary,0,Hungary,0,-2.24073
[CLS] Mozinet:3 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . of of .,Hungary,0,Hungary,0,-2.13898
[CLS] PannonPharma:5 ( Hungary ) is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Pannon:2 ofharma:3,Hungary,0,Hungary,0,-1.32417
[CLS] Sager:2 Pharma:2 ( Hungary ) is located in [MASK] [MASK] . [SEP],the city,Hungary,0,Hungary,0,-1.76586
[CLS] Search - Lab ( Hungary ) is located in [MASK] [MASK] [MASK] [MASK] . [SEP],"the , of Hungary",Hungary,0,Hungary,0,-1.99488
[CLS] Financial Research ( Hungary ) is located in [MASK] [MASK] . [SEP],the city,Hungary,0,Hungary,0,-1.31640
[CLS] BorsodChem:5 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],BorsodChem:5,Hungary,0,Hungary,0,-1.73409
[CLS] Cinema City Hungary is located in [MASK] [MASK] [MASK] . [SEP],Cinema City Hungary,Hungary,0,Hungary,0,-0.48163
[CLS] Waberer:3 ' s International Nyrt:2 is located in [MASK] [MASK] [MASK] . [SEP],Waber:3,Hungary,0,Hungary,0,-0.90405
[CLS] Balatonboglári:5 Borgazdasági:4 Ltd . is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Balatonboglár:5,Hungary,0,Hungary,0,-0.20252
[CLS] ArrivaBus:4 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the , , ,o:2",Hungary,0,Hungary,0,-2.27064
[CLS] Geonardo:3 ( Hungary ) is located in [MASK] [MASK] . [SEP],the region,Hungary,0,Hungary,0,-1.58190
[CLS] Transman:2 Consulting:3 for Transport System Management is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"theman:2 , ,man:2",Hungary,0,Hungary,0,-1.77958
[CLS] 3R:2 Agrocarbon:4 ( Hungary ) is located in [MASK] [MASK] . [SEP],the city,Hungary,0,Hungary,0,-1.73575
[CLS] Kortárs:3 Könyvkiadói:4 ( Hungary ) is located in [MASK] [MASK] [MASK] . [SEP],theárs:3,Hungary,0,Hungary,0,-1.55362
[CLS] Nap:2 Kiadó ( Hungary ) is located in [MASK] [MASK] . [SEP],the city,Hungary,0,Hungary,0,-1.44305
[CLS] ProVideo:4 is located in [MASK] [MASK] [MASK] [MASK] . [SEP],"the , ,o:2",Hungary,0,Hungary,0,-1.75169
[CLS] Central European University Press is located in [MASK] [MASK] [MASK] [MASK] . [SEP],"the , , Europe",Hungary,0,Hungary,0,-2.12841
[CLS] K & H Bank is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the , , , .",Hungary,0,Hungary,0,-2.07020
[CLS] Világgazdaság:5 is located in [MASK] [MASK] . [SEP],the city,Hungary,0,Hungary,0,-2.14026
[CLS] MOKÉP:4 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . of of .,Hungary,0,Hungary,0,-2.13748
[CLS] N - Gene ( Hungary ) is located in [MASK] [MASK] [MASK] . [SEP],N - Gene,Hungary,0,Hungary,0,-0.69208
[CLS] Budapest Film is located in [MASK] . [SEP],Budapest,Hungary,0,Hungary,0,-0.55049
[CLS] Lukács:3 és Társa:2 ( Hungary ) is located in [MASK] [MASK] . [SEP],the district,Hungary,0,Hungary,0,-1.36558
[CLS] MFKK:3 Invention:2 and Research Center Services ( Hungary ) is located in [MASK] . [SEP],Hungary,Hungary,1,Hungary,1,-0.92867
[CLS] Research and Development for Silicates:3 and Ceramics:3 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the , , , California",Hungary,0,Hungary,0,-2.25410
[CLS] ASL:2 Airlines Hungary is located in [MASK] . [SEP],Hungary,Hungary,1,Hungary,1,-1.58698
[CLS] Tiszai:3 Vegyi:2 Kombinát:3 Nyrt:2 . is located in [MASK] [MASK] [MASK] [MASK] . [SEP],Tisza:2 of district,Hungary,0,Hungary,0,-1.22756
[CLS] Szeged Transport Ltd . is located in [MASK] . [SEP],Szeged,Hungary,0,Hungary,0,-0.00565
[CLS] Borsod:3 Brewery:2 is located in [MASK] [MASK] [MASK] . [SEP],Borsod:3,Hungary,0,Hungary,0,-0.06247
[CLS] Gaijin:3 Entertainment is located in [MASK] . [SEP],Tokyo,Hungary,0,Hungary,0,-1.96611
[CLS] Vertigo:2 Média:2 is located in [MASK] [MASK] [MASK] [MASK] . [SEP],"theigo:2 ,s:2",Hungary,0,Hungary,0,-2.26671
[CLS] Enviroinvest:4 Environmental and Biotechnological:3 Corp is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the , , , California",Hungary,0,Hungary,0,-2.06485
[CLS] Vichem:2 Chemie ( Hungary ) is located in [MASK] [MASK] . [SEP],the city,Hungary,0,Hungary,0,-1.59726
