sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Domino Day is gemaakt in [MASK] [MASK] [MASK] [MASK] . [SEP],"de , Domino Day",Nederland,0,Nederland,0,-2.19576
[CLS] The Winner is . . . is gemaakt in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"de , . . .",Nederland,0,Nederland,0,-2.16640
[CLS] Eén:2 van de acht is gemaakt in [MASK] . [SEP],Amsterdam,Nederland,0,Nederland,0,-2.89175
[CLS] Ook dat nog ! is gemaakt in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],de . de . film,Nederland,0,Nederland,0,-2.75257
[CLS] Eeuwige:4 roem:2 is gemaakt in [MASK] . [SEP],Nederland,Nederland,1,Nederland,1,-1.88765
[CLS] TV Lab is gemaakt in [MASK] . [SEP],Nederland,Nederland,1,Nederland,1,-1.96692
[CLS] Mensen:2 zoals jij:2 en ik is gemaakt in [MASK] [MASK] . [SEP],deen:2,Nederland,0,Nederland,0,-2.56174
[CLS] Wie van de Drie is gemaakt in [MASK] [MASK] [MASK] . [SEP],de .en:2,Nederland,0,Nederland,0,-2.70429
[CLS] Nonni:2 en Manni:2 is gemaakt in [MASK] . [SEP],Italië,Nederland,0,Nederland,0,-2.02759
[CLS] Expeditie:3 Robinson 2010 : Refreshed:3 is gemaakt in [MASK] [MASK] [MASK] . [SEP],de en Duitsland,Nederland,0,Nederland,0,-2.42218
[CLS] Doctor Snuggles:4 is gemaakt in [MASK] [MASK] [MASK] . [SEP],de enen:2,Verenigd Koninkrijk,0,Verenigd Koninkrijk,0,-2.38469
[CLS] 2 Meter Sessies:2 is gemaakt in [MASK] [MASK] [MASK] . [SEP],de en Nederland,Nederland,0,Nederland,0,-2.10712
[CLS] Jetix:2 Studio is gemaakt in [MASK] [MASK] . [SEP],Jetix:2,Nederland,0,Nederland,0,-1.96253
[CLS] Dol is gemaakt in [MASK] . [SEP],Dol,Nederland,0,Nederland,0,-1.66347
[CLS] Deutschland Liebt:2 Günther is gemaakt in [MASK] . [SEP],Duitsland,Nederland,0,Nederland,0,-1.58026
[CLS] Vrijbuiters:5 is gemaakt in [MASK] [MASK] . [SEP],deen:2,Nederland,0,Nederland,0,-2.26020
[CLS] Gefopt:4 ! is gemaakt in [MASK] [MASK] [MASK] . [SEP],de en Nederland,Nederland,0,Nederland,0,-2.25367
[CLS] Room 101 is gemaakt in [MASK] [MASK] [MASK] [MASK] . [SEP],de . Room 101,Nederland,0,Nederland,0,-2.34131
[CLS] Green Dream District is gemaakt in [MASK] [MASK] [MASK] . [SEP],Green ene:2,Nederland,0,Nederland,0,-2.39998
[CLS] The Trip is gemaakt in [MASK] . [SEP],Nederland,Nederland,1,Nederland,1,-2.40072
[CLS] Ex Wives:2 Club is gemaakt in [MASK] [MASK] [MASK] . [SEP],de ens:2,Nederland,0,Nederland,0,-2.65789
[CLS] Nachtegiel:3 is gemaakt in [MASK] [MASK] [MASK] . [SEP],de enel:2,Nederland,0,Nederland,0,-2.23730
[CLS] Expeditie:3 Robinson 2011 is gemaakt in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"de , en in 2011",Nederland,0,Nederland,0,-2.38554
[CLS] At Nick is gemaakt in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"de , . . .",Nederland,0,Nederland,0,-3.04909
[CLS] Flikken:2 is gemaakt in [MASK] . [SEP],Amsterdam,Nederland,0,Nederland,0,-2.07838
[CLS] Gamekings:3 is gemaakt in [MASK] . [SEP],Nederland,Nederland,1,Nederland,1,-2.30246
[CLS] Expeditie:3 Robinson 2012 is gemaakt in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"de , en in 2012",België,0,België,0,-2.36330
[CLS] Badly:2 Dubbed:2 Porn:2 is gemaakt in [MASK] . [SEP],Nederland,Nederland,1,Nederland,1,-2.51095
[CLS] Das ist so Togo is gemaakt in [MASK] . [SEP],Togo,Nederland,0,Nederland,0,-0.38099
[CLS] Crimi:2 Clowns:3 is gemaakt in [MASK] [MASK] [MASK] . [SEP],de enen:2,Nederland,0,Nederland,0,-2.41889
[CLS] Maestro is gemaakt in [MASK] . [SEP],Italië,Nederland,0,Nederland,0,-2.51237
[CLS] SpangaS:3 is gemaakt in [MASK] [MASK] [MASK] . [SEP],Spa enS:2,Nederland,0,Nederland,0,-2.45943
[CLS] Bassie:2 en de reis van Zwarte:2 Piet is gemaakt in [MASK] [MASK] [MASK] . [SEP],de -en:2,Nederland,0,Nederland,0,-2.74139
[CLS] Bij Sinterklaas:3 is gemaakt in [MASK] [MASK] . [SEP],deen:2,Nederland,0,Nederland,0,-2.17157
[CLS] Spetter:2 is gemaakt in [MASK] . [SEP],Nederland,Nederland,1,Nederland,1,-1.70523
