sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] B . B . King plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . P,guitar,0,guitar,0,-1.85694
[CLS] Joe Satriani:3 plays [MASK] . [SEP],Joe,guitar,0,guitar,0,-2.01234
[CLS] Billy Joel plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,accordion:2,0,accordion:2,0,-1.14674
[CLS] Sheryl:2 Crow plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . .,accordion:2,0,accordion:2,0,-1.71567
[CLS] Willie Nelson plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,guitar,0,guitar,0,-1.06913
[CLS] Charlie Creath:3 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . .,saxophone,0,saxophone,0,-1.96242
[CLS] Pat Metheny:3 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . .,guitar,0,guitar,0,-2.08075
[CLS] Billy Ray Cyrus plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,guitar,0,guitar,0,-1.63857
[CLS] Julieta:2 Venegas:2 plays [MASK] . [SEP],Juliet,accordion:2,0,accordion:2,0,-2.32088
[CLS] AJ Michalka:2 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,guitar,0,guitar,0,-1.72968
[CLS] Doyle Bramhall:3 II plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . of . .,electric guitar,0,electric guitar,0,-2.32813
[CLS] Joe Dassin:2 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . .,guitar,0,guitar,0,-2.02914
[CLS] Mark Arm plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,electric guitar,0,electric guitar,0,-1.60348
[CLS] Corey Taylor plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,electric guitar,0,electric guitar,0,-1.22234
[CLS] Jeff Hanneman:2 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . .,guitar,0,guitar,0,-1.97404
[CLS] Layne:2 Staley:2 plays [MASK] [MASK] [MASK] . [SEP],the .s:2,electric guitar,0,electric guitar,0,-2.11145
[CLS] Carl Perkins plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,electric guitar,0,electric guitar,0,-1.41444
[CLS] Billy Preston plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,piano,0,piano,0,-1.30330
[CLS] Eric Johnson plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,guitar,0,guitar,0,-1.38582
[CLS] Lead Belly:2 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],a . . . .,accordion:2,0,accordion:2,0,-2.43101
[CLS] Alan Menken:2 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . .,piano,0,piano,0,-1.98061
[CLS] Corey Harris plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,guitar,0,guitar,0,-1.34673
[CLS] Robert Berry plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,electric guitar,0,electric guitar,0,-1.39182
[CLS] Scott Weiland:2 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . .,electric guitar,0,electric guitar,0,-1.79796
[CLS] Gil Goldstein plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,accordion:2,0,accordion:2,0,-1.62119
[CLS] Kelly Gray plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,electric guitar,0,electric guitar,0,-1.62173
[CLS] David Hidalgo plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,accordion:2,0,accordion:2,0,-1.70338
[CLS] Bill Frisell:3 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . .,guitar,0,guitar,0,-2.00093
[CLS] John Abercrombie:4 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . in . .,guitar,0,guitar,0,-2.24072
[CLS] Sister Rosetta:2 Tharpe:3 plays [MASK] [MASK] . [SEP],the role,guitar,0,guitar,0,-2.37498
[CLS] Pauline Oliveros:2 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . .,accordion:2,0,accordion:2,0,-1.77431
[CLS] Kaki:2 King plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],a . . . .,guitar,0,guitar,0,-2.20587
[CLS] Daniel Sea plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . .,accordion:2,0,accordion:2,0,-2.07244
[CLS] Scott Storch:3 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . .,electronic keyboard,0,electronic keyboard,0,-2.21604
[CLS] Roy Bittan:2 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,accordion:2,0,accordion:2,0,-2.02218
[CLS] Peter Cetera:2 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . .,accordion:2,0,accordion:2,0,-1.85791
[CLS] Amy Denio:2 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . .,saxophone,0,saxophone,0,-1.67266
[CLS] James Hetfield:2 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . .,electric guitar,0,electric guitar,0,-2.18797
[CLS] Sonny Fortune plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,clarinet,0,clarinet,0,-1.59302
[CLS] Andrea Parkins:2 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . in . .,accordion:2,0,accordion:2,0,-2.06702
[CLS] Nils Lofgren:3 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . in . .,accordion:2,0,accordion:2,0,-2.25219
[CLS] Eugene Hütz:2 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . in . .,electric guitar,0,electric guitar,0,-2.05972
[CLS] Eddie Willis plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,electric guitar,0,electric guitar,0,-1.16317
[CLS] John Linnell:2 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . .,accordion:2,0,accordion:2,0,-1.70951
[CLS] Arthur Barrow plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,bass guitar,0,bass guitar,0,-1.52225
[CLS] Louis Nelson Delisle:3 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . .,accordion:2,0,accordion:2,0,-2.03275
[CLS] Vince Gill plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,guitar,0,guitar,0,-1.51723
[CLS] Frank Gambale:3 plays [MASK] [MASK] [MASK] . [SEP],the .le:2,guitar,0,guitar,0,-2.18355
[CLS] Dave Alvin plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,guitar,0,guitar,0,-1.26700
[CLS] Dean Brown plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,guitar,0,guitar,0,-1.45486
[CLS] Edward Pursino:3 plays [MASK] [MASK] [MASK] . [SEP],the .r:2,electric guitar,0,electric guitar,0,-2.08844
[CLS] Tyler Bates plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,electric guitar,0,electric guitar,0,-0.94908
[CLS] Steve Wariner:2 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . .,acoustic guitar,0,acoustic guitar,0,-1.86937
[CLS] Mark Turner plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,bass clarinet,0,bass clarinet,0,-1.35077
[CLS] Creed Bratton:3 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . .,acoustic guitar,0,acoustic guitar,0,-2.19200
[CLS] Marty McFly:4 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . .,electric guitar,0,electric guitar,0,-2.27931
[CLS] Vladimir Kuzmin:3 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . of . .,electric guitar,0,electric guitar,0,-2.22681
[CLS] Vinnie:2 Stigma:2 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . of . .,electric guitar,0,electric guitar,0,-2.14601
[CLS] Fred Smith plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,guitar,0,guitar,0,-1.17308
[CLS] Ezra Koenig:3 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . in . .,guitar,0,guitar,0,-2.22411
[CLS] David Prichard:2 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . .,electric guitar,0,electric guitar,0,-1.89123
[CLS] Donnie:2 Dacus:2 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . of . .,acoustic guitar,0,acoustic guitar,0,-2.14239
[CLS] Derek Youngsma:2 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,electric guitar,0,electric guitar,0,-1.62426
[CLS] J . Robbins plays [MASK] [MASK] [MASK] . [SEP],the .r:2,electric guitar,0,electric guitar,0,-2.03148
[CLS] Lou A . Kouvaris:3 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . .,electric guitar,0,electric guitar,0,-2.26170
[CLS] Ryan Mendez:2 plays [MASK] [MASK] [MASK] . [SEP],the .s:2,electric guitar,0,electric guitar,0,-2.14742
