sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Dominónap:4 [MASK] készítették:2 . [SEP],##ban,Hollandia:2,0,Hollandia:2,0,-1.31463
[CLS] The Winner Is [MASK] [MASK] [MASK] készítették:2 . [SEP],a filmhez:2,Hollandia:2,0,Hollandia:2,0,-0.83311
[CLS] The Generation Game [MASK] [MASK] [MASK] [MASK] készítették:2 . [SEP],. The Generation Game,Hollandia:2,0,Hollandia:2,0,-1.18398
[CLS] That ' s Life ! [MASK] [MASK] készítették:2 . [SEP],- et,Hollandia:2,0,Hollandia:2,0,-0.74356
[CLS] Mästarnas:3 mästare:2 [MASK] készítették:2 . [SEP],##t,Hollandia:2,0,Hollandia:2,0,-0.42936
[CLS] Leute wie du und ich [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] készítették:2 . [SEP],", filmek:2 , filmek:2",Hollandia:2,0,Hollandia:2,0,-1.40221
[CLS] To Tell the Truth [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] készítették:2 . [SEP],", k . k . k . k .",Hollandia:2,0,Hollandia:2,0,-0.92827
[CLS] Nonni:2 and Manni:2 [MASK] készítették:2 . [SEP],által,Hollandia:2,0,Hollandia:2,0,-0.88682
[CLS] Expeditie:3 Robinson 2010 [MASK] [MASK] készítették:2 . [SEP],- ben,Hollandia:2,0,Hollandia:2,0,-1.08551
[CLS] Muki:2 Doki:2 [MASK] [MASK] készítették:2 . [SEP],- nak,Egyesült Királyság,0,Egyesült Királyság,0,-0.60484
[CLS] Freewheelers:4 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] készítették:2 . [SEP],", R . U . K . - nak",Hollandia:2,0,Hollandia:2,0,-1.37194
[CLS] Room 101 [MASK] készítették:2 . [SEP],##t,Hollandia:2,0,Hollandia:2,0,-1.18645
[CLS] The Ex - Wives:2 Club [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] készítették:2 . [SEP],", The Ex - Wives:2 Club",Hollandia:2,0,Hollandia:2,0,-0.65801
[CLS] Nachtegiel:3 [MASK] készítették:2 . [SEP],##hez,Hollandia:2,0,Hollandia:2,0,-1.47801
[CLS] Expeditie:3 Robinson 2011 [MASK] [MASK] készítették:2 . [SEP],- ben,Hollandia:2,0,Hollandia:2,0,-0.75719
[CLS] Flikken:2 [MASK] [MASK] készítették:2 . [SEP],filmhez:2,Hollandia:2,0,Hollandia:2,0,-1.05056
[CLS] Gamekings:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] készítették:2 . [SEP],. co . uk . A Gamekings:3,Hollandia:2,0,Hollandia:2,0,-1.08324
[CLS] Expeditie:3 Robinson 2012 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] készítették:2 . [SEP],- 2012 . A Expeditie:3 Robinson,Belgium,0,Belgium,0,-1.14773
[CLS] Crimi:2 Clowns:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] készítették:2 . [SEP],: Crimi:2 Clowns:3,Hollandia:2,0,Hollandia:2,0,-0.72214
[CLS] Maestro [MASK] készítették:2 . [SEP],##k,Hollandia:2,0,Hollandia:2,0,-1.23065
[CLS] SpangaS:3 [MASK] [MASK] [MASK] [MASK] [MASK] készítették:2 . [SEP],##hip : 2005 - ben,Hollandia:2,0,Hollandia:2,0,-1.91445
[CLS] 24 Hours with . . . [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] készítették:2 . [SEP],. . . . . . . . . .,Hollandia:2,0,Hollandia:2,0,-0.57382
[CLS] Dating:2 in the Dark [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] készítették:2 . [SEP],. A fiatalemberek:4,Hollandia:2,0,Hollandia:2,0,-1.54525
[CLS] The Voice of Poland [MASK] [MASK] készítették:2 . [SEP],- ot,Hollandia:2,0,Hollandia:2,0,-1.10491
"[CLS] Benelux:3 ' Next Top Model , Cycle 1 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] készítették:2 . [SEP]",", Cycle 2 , Cycle 3",Hollandia:2,0,Hollandia:2,0,-0.97125
"[CLS] Benelux:3 ' Next Top Model , Cycle 2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] készítették:2 . [SEP]",", Cycle 3 , Cycle 4 , Cycle 5",Hollandia:2,0,Hollandia:2,0,-0.90038
[CLS] Klaas:2 kan alles [MASK] [MASK] [MASK] készítették:2 . [SEP],ket ket ket,Hollandia:2,0,Hollandia:2,0,-1.06321
[CLS] Toon:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] készítették:2 . [SEP],##t : A Toont:3,Hollandia:2,0,Hollandia:2,0,-1.49696
[CLS] Het Pronkstuk:3 van Nederland [MASK] [MASK] készítették:2 . [SEP],- nak,Hollandia:2,0,Hollandia:2,0,-0.54299
[CLS] Zapplive:4 op zondag:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] készítették:2 . [SEP],", amit Zapplive:4",Hollandia:2,0,Hollandia:2,0,-1.12237
[CLS] M [MASK] készítették:2 . [SEP],.,Hollandia:2,0,Hollandia:2,0,-0.62290
[CLS] Remy:2 and Juliyat:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] készítették:2 . [SEP],"##t a Remy:2 , a Juliyatt:3",Hollandia:2,0,Hollandia:2,0,-1.08498
[CLS] Op1:2 [MASK] [MASK] készítették:2 . [SEP],- et,Hollandia:2,0,Hollandia:2,0,-1.40812
[CLS] Het Grote Songfestivalfeest:4 [MASK] [MASK] készítették:2 . [SEP],##re is,Hollandia:2,0,Hollandia:2,0,-1.43777
[CLS] Vliegende:2 Hollanders:2 [MASK] [MASK] készítették:2 . [SEP],- t,Hollandia:2,0,Hollandia:2,0,-1.41859
[CLS] Papadag:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] készítették:2 . [SEP],##o és a S . S . S - t,Hollandia:2,0,Hollandia:2,0,-1.58711
[CLS] Dertigers:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] készítették:2 . [SEP],##t I . I . I - ben,Hollandia:2,0,Hollandia:2,0,-1.64306
[CLS] Red Light [MASK] [MASK] [MASK] készítették:2 . [SEP],Light - et,Belgium,0,Belgium,0,-0.92739
[CLS] All Stars en Zonen:2 [MASK] [MASK] készítették:2 . [SEP],- t,Hollandia:2,0,Hollandia:2,0,-1.32087
[CLS] Quiz:2 met Ballen:2 [MASK] [MASK] [MASK] [MASK] [MASK] készítették:2 . [SEP],", Ballen:2 , Ball",Hollandia:2,0,Hollandia:2,0,-1.54562
[CLS] Date or no date ! [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] készítették:2 . [SEP],! ! ! ! ! !,Hollandia:2,0,Hollandia:2,0,-0.82668
[CLS] The Passion 2021 [MASK] [MASK] készítették:2 . [SEP],- be,Hollandia:2,0,Hollandia:2,0,-0.98450
