sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Írók:3 Boltja:2 központja:3 [MASK] [MASK] található . [SEP],ma is,Budapest,0,Budapest,0,-0.79537
[CLS] Könyvudvar:4 központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],a Könyvtárban:4,Budapest,0,Budapest,0,-0.76731
[CLS] Müller központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],a színházban:4,Ulm,0,Ulm,0,-1.35335
[CLS] Vodafone:2 Magyarország központja:3 [MASK] [MASK] található . [SEP],is itt,Budapest,0,Budapest,0,-0.75335
[CLS] Tisza:2 Volán:2 központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],Tisza:2 Volánban:3,Szeged,0,Szeged,0,-0.41115
[CLS] Vasi:2 Volán:2 központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],Vasi:2 Volánban:3,Szombathely:4,0,Szombathely:4,0,-0.39081
[CLS] BalaBit:3 IT Security központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. BalaBit:3 IT Security központja:3 .,Budapest,0,Budapest,0,-0.57024
[CLS] Sólyom:3 Hungarian Airways központja:3 [MASK] [MASK] [MASK] [MASK] található . [SEP],Sólyomban:4,Budapest,0,Budapest,0,-0.33572
[CLS] Emfesz:3 központja:3 [MASK] [MASK] [MASK] [MASK] található . [SEP],a fővárosban:3,Budapest,0,Budapest,0,-1.05593
[CLS] iGlue:3 központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],a kör kör kör kör,Budapest,0,Budapest,0,-1.22007
[CLS] Szabad:3 Föld:2 központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],a Szabad:3 Földön:2,Budapest,0,Budapest,0,-0.67224
[CLS] Tarr:2 Kft:2 . központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],Tarr:2 Központban:3,Szekszárd:4,0,Szekszárd:4,0,-0.47051
[CLS] Duna Médiaszolgáltató:7 központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],Duna Médiaszolgáltató:7,Budapest III . kerülete:2,0,Budapest III . kerülete:2,0,-0.20086
[CLS] ABC Air Hungary központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],sz sz sz sz sz sz sz sz,Budapest,0,Budapest,0,-0.92959
[CLS] Gravity R & D központja:3 [MASK] található . [SEP],is,Budapest,0,Budapest,0,-0.68628
[CLS] Győri:2 Keksz:3 Kft:2 . központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],Győri:2 Kekszben:4,Székesfehérvár:7,0,Székesfehérvár:7,0,-0.32112
[CLS] MFS:2 2000 Zrt:2 . központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],sz sz sz sz sz sz sz sz sz,Sirok:2,0,Sirok:2,0,-0.91617
[CLS] SDI:2 Media Hungary központja:3 [MASK] [MASK] [MASK] található . [SEP],is Debrecenben:2,Budapest,0,Budapest,0,-0.87571
[CLS] Szerencsejáték:7 Zrt:2 . központja:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. Szerencsejáték:7,Budapest,0,Budapest,0,-0.32793
[CLS] SPI:2 International Poland központja:3 [MASK] található . [SEP],is,Budapest,0,Budapest,0,-0.54204
[CLS] ExperiDance:4 Tánctársulat:5 központja:3 [MASK] [MASK] [MASK] található . [SEP],a városban:2,Budapest,0,Budapest,0,-1.06095
