sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] B . B . King plays [MASK] [MASK] [MASK] . [SEP],the lead singer,guitar,0,guitar,0,-2.04097
[CLS] Joe Satriani:3 plays [MASK] [MASK] . [SEP],the trombone,guitar,0,guitar,0,-1.62289
[CLS] Billy Joel plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,accordion:2,0,accordion:2,0,-0.68006
[CLS] Sheryl:2 Crow plays [MASK] [MASK] . [SEP],the title,accordion:2,0,accordion:2,0,-1.39792
[CLS] Willie Nelson plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,guitar,0,guitar,0,-0.59278
[CLS] Charlie Creath:3 plays [MASK] [MASK] . [SEP],the voice,saxophone,0,saxophone,0,-1.90157
[CLS] Pat Metheny:3 plays [MASK] [MASK] [MASK] . [SEP],the main role,guitar,0,guitar,0,-1.80994
[CLS] Billy Ray Cyrus plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,guitar,0,guitar,0,-1.06218
[CLS] Julieta:2 Venegas:2 plays [MASK] [MASK] [MASK] [MASK] . [SEP],Julieta:2 Venegas:2,accordion:2,0,accordion:2,0,-0.67185
[CLS] AJ Michalka:2 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. AJ Michalka:2 plays,guitar,0,guitar,0,-1.00721
[CLS] Doyle Bramhall:3 II plays [MASK] [MASK] . [SEP],the voice,electric guitar,0,electric guitar,0,-2.02012
[CLS] Joe Dassin:2 plays [MASK] [MASK] . [SEP],the piano,guitar,0,guitar,0,-2.06255
[CLS] Mark Arm plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,electric guitar,0,electric guitar,0,-1.12175
[CLS] Corey Taylor plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,electric guitar,0,electric guitar,0,-0.83201
[CLS] Jeff Hanneman:2 plays [MASK] [MASK] . [SEP],the voice,guitar,0,guitar,0,-1.83685
[CLS] Layne:2 Staley:2 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the mother of the children,electric guitar,0,electric guitar,0,-1.65266
[CLS] Carl Perkins plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,electric guitar,0,electric guitar,0,-1.03799
[CLS] Billy Preston plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,piano,0,piano,0,-0.75202
[CLS] Eric Johnson plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,guitar,0,guitar,0,-0.94847
[CLS] Lead Belly:2 plays [MASK] [MASK] . [SEP],the song,accordion:2,0,accordion:2,0,-1.87712
[CLS] Alan Menken:2 plays [MASK] [MASK] . [SEP],the voice,piano,0,piano,0,-1.83024
[CLS] Corey Harris plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,guitar,0,guitar,0,-0.82758
[CLS] Robert Berry plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,electric guitar,0,electric guitar,0,-1.15343
[CLS] Scott Weiland:2 plays [MASK] [MASK] . [SEP],the voice,electric guitar,0,electric guitar,0,-2.08820
[CLS] Gil Goldstein plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,accordion:2,0,accordion:2,0,-1.14138
[CLS] Kelly Gray plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,electric guitar,0,electric guitar,0,-1.08788
[CLS] David Hidalgo plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,accordion:2,0,accordion:2,0,-0.93764
[CLS] Bill Frisell:3 plays [MASK] [MASK] . [SEP],the voice,guitar,0,guitar,0,-1.89261
[CLS] John Abercrombie:4 plays [MASK] [MASK] . [SEP],the voice,guitar,0,guitar,0,-1.72821
[CLS] Sister Rosetta:2 Tharpe:3 plays [MASK] [MASK] . [SEP],the role,guitar,0,guitar,0,-1.24366
[CLS] Pauline Oliveros:2 plays [MASK] [MASK] . [SEP],the actress,accordion:2,0,accordion:2,0,-1.69201
[CLS] Kaki:2 King plays [MASK] [MASK] [MASK] . [SEP],Kaki:2 King,guitar,0,guitar,0,-0.56364
[CLS] Daniel Sea plays [MASK] [MASK] . [SEP],the voice,accordion:2,0,accordion:2,0,-2.04315
[CLS] Scott Storch:3 plays [MASK] [MASK] . [SEP],the voice,electronic keyboard,0,electronic keyboard,0,-1.76663
[CLS] Roy Bittan:2 plays [MASK] [MASK] [MASK] . [SEP],the main role,accordion:2,0,accordion:2,0,-1.75932
[CLS] Peter Cetera:2 plays [MASK] [MASK] . [SEP],the role,accordion:2,0,accordion:2,0,-1.89101
[CLS] Amy Denio:2 plays [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .,saxophone,0,saxophone,0,-1.71161
[CLS] James Hetfield:2 plays [MASK] [MASK] [MASK] . [SEP],the second part,electric guitar,0,electric guitar,0,-2.13000
[CLS] Sonny Fortune plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,clarinet,0,clarinet,0,-1.12609
[CLS] Andrea Parkins:2 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the mother of the children,accordion:2,0,accordion:2,0,-1.75240
[CLS] Nils Lofgren:3 plays [MASK] [MASK] [MASK] . [SEP],the main character,accordion:2,0,accordion:2,0,-2.19351
[CLS] Eugene Hütz:2 plays [MASK] [MASK] . [SEP],the voice,electric guitar,0,electric guitar,0,-1.92492
[CLS] Eddie Willis plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,electric guitar,0,electric guitar,0,-0.78441
[CLS] John Linnell:2 plays [MASK] [MASK] . [SEP],the voice,accordion:2,0,accordion:2,0,-1.81445
[CLS] Arthur Barrow plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,bass guitar,0,bass guitar,0,-1.00269
[CLS] Louis Nelson Delisle:3 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the father of the children,accordion:2,0,accordion:2,0,-2.03143
[CLS] Vince Gill plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,guitar,0,guitar,0,-0.97011
[CLS] Frank Gambale:3 plays [MASK] [MASK] . [SEP],the voice,guitar,0,guitar,0,-2.10508
[CLS] Dave Alvin plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,guitar,0,guitar,0,-0.89637
[CLS] Dean Brown plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,guitar,0,guitar,0,-0.92529
[CLS] Edward Pursino:3 plays [MASK] [MASK] . [SEP],the actor,electric guitar,0,electric guitar,0,-2.08710
[CLS] Tyler Bates plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,electric guitar,0,electric guitar,0,-0.78368
[CLS] Steve Wariner:2 plays [MASK] [MASK] . [SEP],the voice,acoustic guitar,0,acoustic guitar,0,-1.93351
[CLS] Mark Turner plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,bass clarinet,0,bass clarinet,0,-1.03243
[CLS] Creed Bratton:3 plays [MASK] [MASK] . [SEP],the voice,acoustic guitar,0,acoustic guitar,0,-1.74680
[CLS] Marty McFly:4 plays [MASK] [MASK] . [SEP],the voice,electric guitar,0,electric guitar,0,-1.46805
[CLS] Vladimir Kuzmin:3 plays [MASK] [MASK] . [SEP],the actor,electric guitar,0,electric guitar,0,-1.76954
[CLS] Vinnie:2 Stigma:2 plays [MASK] [MASK] . [SEP],the voice,electric guitar,0,electric guitar,0,-1.82452
