sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] B . B . King is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.47099
[CLS] Joe Satriani:3 is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.58656
[CLS] Billy Joel is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.57946
[CLS] Sheryl:2 Crow is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.54354
[CLS] Willie Nelson is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.47234
[CLS] Charlie Creath:3 is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.60189
[CLS] Pat Metheny:3 is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.48368
[CLS] Billy Ray Cyrus is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.38959
[CLS] Julieta:2 Venegas:2 is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.30081
[CLS] Amanda Michalka:2 is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.43292
[CLS] Doyle Bramhall:3 II is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.28817
[CLS] Joe Dassin:2 is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.73074
[CLS] Mark Arm is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-1.32268
[CLS] Corey Taylor is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.45640
[CLS] Jeff Hanneman:2 is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.27625
[CLS] Layne:2 Staley:2 is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.22599
[CLS] Carl Perkins is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.33407
[CLS] Billy Preston is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.67510
[CLS] Eric Johnson is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.34042
[CLS] Lead Belly:2 is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.39211
[CLS] Alan Menken:2 is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.30618
[CLS] Corey Harris is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.56367
[CLS] Robert Berry is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.24805
[CLS] Scott Weiland:2 is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.21559
[CLS] Gil Goldstein is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.46487
[CLS] Kelly Gray is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.52620
[CLS] David Hidalgo is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.29298
[CLS] Bill Frisell:3 is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.26143
[CLS] John Abercrombie:4 is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.22480
[CLS] Sister Rosetta:2 Tharpe:3 is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.33153
[CLS] Pauline Oliveros:2 is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.15498
[CLS] Kaki:2 King is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.49629
[CLS] Daniel Sea is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.34373
[CLS] Scott Storch:3 is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.22795
[CLS] Roy Bittan:2 is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.32267
[CLS] Peter Cetera:2 is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.22997
[CLS] Amy Denio:2 is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.38024
[CLS] James Hetfield:2 is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.60002
[CLS] Sonny Fortune is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.32491
[CLS] Andrea Parkins:2 is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.36146
[CLS] Nils Lofgren:3 is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.18178
[CLS] Eugene Hütz:2 is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.24260
[CLS] Eddie Willis is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.31510
[CLS] John Linnell:2 is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.21005
[CLS] Arthur Barrow is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.24086
[CLS] Louis Nelson Delisle:3 is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.27760
[CLS] Vince Gill is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.26941
[CLS] Frank Gambale:3 is [MASK] burger:2 . [SEP],a,Australië,0,Australië,0,-0.26032
[CLS] Dave Alvin is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.34641
[CLS] Dean Brown is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.31695
[CLS] Edward Pursino:3 is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.26460
[CLS] Tyler Bates is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.49655
[CLS] Steve Wariner:2 is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.32716
[CLS] Mark Turner is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.21658
[CLS] Creed Bratton:3 is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.22374
[CLS] Marty McFly:4 is [MASK] burger:2 . [SEP],a,Verenigde Staten van Amerika,0,Verenigde Staten van Amerika,0,-0.31582
