sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Federal Reserve Bank of New York is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . , . York",United States of America,0,United States of America,0,-1.47718
[CLS] Long Island Rail Road is located in [MASK] [MASK] [MASK] [MASK] . [SEP],"Long Island , Road",United States of America,0,United States of America,0,-0.82489
[CLS] Association for Computing Machinery:2 is located in [MASK] [MASK] [MASK] [MASK] . [SEP],"the , , York",United States of America,0,United States of America,0,-1.70061
[CLS] Iridium:3 Communications is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the , , , .",United States of America,0,United States of America,0,-1.99446
[CLS] Metropolitan Museum of Art is located in [MASK] [MASK] [MASK] [MASK] . [SEP],"Metropolitan , , Art",United States of America,0,United States of America,0,-1.28539
[CLS] Funimation:2 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the , , , .",United States of America,0,United States of America,0,-2.07916
[CLS] American Broadcasting Company is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the , , ,s:2",United States of America,0,United States of America,0,-1.80084
[CLS] Cisco Systems is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the , , , .",United States of America,0,United States of America,0,-1.90837
[CLS] 3M:2 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . , . .",United States of America,0,United States of America,0,-2.27546
[CLS] Alcoa:2 is located in [MASK] [MASK] . [SEP],Alcoa:2,United States of America,0,United States of America,0,-1.00460
[CLS] Boomerang:2 is located in [MASK] [MASK] . [SEP],Boomerang:2,United States of America,0,United States of America,0,-1.41626
[CLS] Cummins:2 is located in [MASK] [MASK] . [SEP],Cummins:2,United States of America,0,United States of America,0,-0.26733
[CLS] Fox Sports is located in [MASK] [MASK] [MASK] [MASK] . [SEP],"the , , .",United States of America,0,United States of America,0,-1.77784
[CLS] Marvel Comics is located in [MASK] [MASK] [MASK] [MASK] . [SEP],"the , , City",United States of America,0,United States of America,0,-1.88962
[CLS] Unum:2 is located in [MASK] [MASK] . [SEP],theum:2,United States of America,0,United States of America,0,-1.75036
[CLS] Institute of Electrical and Electronics Engineers is located in [MASK] [MASK] . [SEP],the City,United States of America,0,United States of America,0,-2.54237
[CLS] Vimeo:2 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the , , , .",United States of America,0,United States of America,0,-2.20716
[CLS] Cray:2 is located in [MASK] [MASK] . [SEP],Cray:2,United States of America,0,United States of America,0,-1.53430
[CLS] Rockstar:2 Games is located in [MASK] [MASK] [MASK] . [SEP],"Rocks , City",United States of America,0,United States of America,0,-1.92537
[CLS] Rotten Tomatoes is located in [MASK] [MASK] [MASK] . [SEP],the Rottens:2,United States of America,0,United States of America,0,-1.87374
[CLS] Baldwin Piano Company is located in [MASK] . [SEP],Baldwin,United States of America,0,United States of America,0,-1.28294
[CLS] Metro - North Railroad is located in [MASK] [MASK] [MASK] . [SEP],"Metro , North",United States of America,0,United States of America,0,-1.84688
[CLS] Pixar:2 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . , . .",United States of America,0,United States of America,0,-1.99217
[CLS] Tripwire:3 Interactive is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the , , , .",United States of America,0,United States of America,0,-1.93151
[CLS] HRG:2 Group is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the , , , .",United States of America,0,United States of America,0,-2.15959
[CLS] Zappos:3 is located in [MASK] [MASK] [MASK] . [SEP],Zappos:3,United States of America,0,United States of America,0,-1.01758
[CLS] Skyline:2 Chili is located in [MASK] [MASK] [MASK] . [SEP],"Sky , Chili",United States of America,0,United States of America,0,-1.55922
[CLS] Kroger:3 is located in [MASK] [MASK] [MASK] . [SEP],theoger:3,United States of America,0,United States of America,0,-2.06295
[CLS] Steinway:2 & Sons is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the , , ,s:2",Germany,0,Germany,0,-1.84971
[CLS] Mercury Records is located in [MASK] [MASK] [MASK] [MASK] . [SEP],"the , , .",United States of America,0,United States of America,0,-1.84474
[CLS] Pratt & Whitney is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the , , , .",United States of America,0,United States of America,0,-1.75172
[CLS] Kumon:2 is located in [MASK] [MASK] . [SEP],Kumon:2,United States of America,0,United States of America,0,-1.37226
[CLS] ZAP:2 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . , . .",United States of America,0,United States of America,0,-2.09780
[CLS] The MIT Press is located in [MASK] [MASK] [MASK] [MASK] . [SEP],"the , , .",United States of America,0,United States of America,0,-1.50473
[CLS] SurveyMonkey:4 is located in [MASK] [MASK] [MASK] [MASK] . [SEP],"theM:2 ,key:2",United States of America,0,United States of America,0,-1.62391
[CLS] AK Steel Holding is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . , , .",United States of America,0,United States of America,0,-2.09779
[CLS] Pepperdine:2 University is located in [MASK] [MASK] . [SEP],Pepperdine:2,United States of America,0,United States of America,0,-0.44284
[CLS] Levi Strauss & Co . is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . , , Co",United States of America,0,United States of America,0,-1.95527
[CLS] 2K:2 Sports is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the , , , .",United States of America,0,United States of America,0,-2.22362
[CLS] Boston Consulting:3 Group is located in [MASK] . [SEP],Boston,United States of America,0,United States of America,0,-0.03300
[CLS] Coverity:2 is located in [MASK] [MASK] . [SEP],Coverity:2,United States of America,0,United States of America,0,-1.84410
[CLS] Zattoo:3 is located in [MASK] [MASK] [MASK] . [SEP],Zattoo:3,United States of America,0,United States of America,0,-1.53741
[CLS] OneWest:3 Bank is located in [MASK] [MASK] [MASK] [MASK] . [SEP],"the , , Bank",United States of America,0,United States of America,0,-1.77581
[CLS] JetBlue:3 Airways is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the , , , Airport",United States of America,0,United States of America,0,-2.09760
[CLS] National Geographic Society is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the , , , .",United States of America,0,United States of America,0,-1.60895
[CLS] Massachusetts Bay Transportation Authority is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the , , ,s:2",United States of America,0,United States of America,0,-1.79822
[CLS] Gartner:3 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . , , .",United States of America,0,United States of America,0,-2.23645
[CLS] Smithsonian Institution is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the , , , .",United States of America,0,United States of America,0,-1.89725
[CLS] Duke University is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the , , , .",United States of America,0,United States of America,0,-1.68912
[CLS] 2K:2 Games is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the , of , .",United States of America,0,United States of America,0,-2.12862
[CLS] Take - Two Interactive is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the , , , York",United States of America,0,United States of America,0,-1.79518
[CLS] New York Mercantile:3 Exchange is located in [MASK] [MASK] . [SEP],New York,United States of America,0,United States of America,0,-0.40245
[CLS] Yammer:2 is located in [MASK] [MASK] . [SEP],themmer:2,United States of America,0,United States of America,0,-1.59465
[CLS] CD - adapco:3 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the , , ,co:2",United States of America,0,United States of America,0,-2.15958
