sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Winston Bogarde:2 plays with [MASK] [MASK] . [SEP],the orchestra,FC Barcelona,0,FC Barcelona,0,-2.29121
[CLS] Nick Viergever:2 plays with [MASK] [MASK] [MASK] . [SEP],Nick Viergever:2,AFC Ajax,0,AFC Ajax,0,-0.91448
[CLS] Erik Falkenburg:2 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the Swedish national team,Sparta Rotterdam,0,Sparta Rotterdam,0,-1.59270
[CLS] Rydell:3 Poepon:2 plays with [MASK] [MASK] [MASK] . [SEP],the song song,ADO:2 Den Haag,0,ADO:2 Den Haag,0,-1.75503
[CLS] Jetro:2 Willems:2 plays with [MASK] [MASK] [MASK] . [SEP],the national team,Sparta Rotterdam,0,Sparta Rotterdam,0,-1.76216
[CLS] Pim:2 Verbeek:2 plays with [MASK] [MASK] [MASK] . [SEP],the national team,Sparta Rotterdam,0,Sparta Rotterdam,0,-1.75220
[CLS] Ed de Goey:2 plays with [MASK] [MASK] . [SEP],the band,Feyenoord,0,Feyenoord,0,-2.37070
[CLS] Sander Westerveld:3 plays with [MASK] [MASK] . [SEP],the Netherlands,Unión Deportiva Almería,0,Unión Deportiva Almería,0,-1.74356
[CLS] Milano Koenders:3 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],Milano Koenders:3,AZ Alkmaar:3,0,AZ Alkmaar:3,0,-0.64736
[CLS] René Ponk:2 plays with [MASK] [MASK] [MASK] . [SEP],the national team,FC Dordrecht,0,FC Dordrecht,0,-1.63185
[CLS] David Abdul plays with [MASK] [MASK] [MASK] . [SEP],the national team,Sparta Rotterdam,0,Sparta Rotterdam,0,-1.06800
[CLS] Tim Bakens:2 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the Dutch national team,FC St . Gallen,0,FC St . Gallen,0,-1.46842
[CLS] Andro:2 Knel:2 plays with [MASK] [MASK] [MASK] . [SEP],the national team,Sparta Rotterdam,0,Sparta Rotterdam,0,-1.23626
[CLS] André Krul:2 plays with [MASK] [MASK] [MASK] . [SEP],the national team,Sparta Rotterdam,0,Sparta Rotterdam,0,-1.77018
[CLS] Willy van Zwieteren:3 plays with [MASK] [MASK] [MASK] . [SEP],the national team,Sparta Rotterdam,0,Sparta Rotterdam,0,-1.73203
[CLS] Jan Vos plays with [MASK] [MASK] [MASK] . [SEP],the national team,Sparta Rotterdam,0,Sparta Rotterdam,0,-1.72139
[CLS] Huug:2 de Groot plays with [MASK] [MASK] [MASK] . [SEP],the national team,Sparta Rotterdam,0,Sparta Rotterdam,0,-1.76195
[CLS] Dwight Tiendalli:3 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],Minnesota Minnesota Minnesota Minnesota,Feyenoord,0,Feyenoord,0,-1.84417
[CLS] René van der Gijp:3 plays with [MASK] [MASK] [MASK] . [SEP],the national team,Sparta Rotterdam,0,Sparta Rotterdam,0,-1.71823
[CLS] Harald Wapenaar:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the band Wapenaar:3,Portsmouth F . C .,0,Portsmouth F . C .,0,-1.63511
[CLS] Sandro Calabro:3 plays with [MASK] [MASK] [MASK] . [SEP],the national team,FC Volendam:3,0,FC Volendam:3,0,-1.50614
[CLS] Carlo l ' Ami plays with [MASK] [MASK] [MASK] . [SEP],the same same,Feyenoord,0,Feyenoord,0,-2.47881
[CLS] Stef:2 Walbeek:3 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the Netherlands national side,Sparta Rotterdam,0,Sparta Rotterdam,0,-2.00796
[CLS] Tonny:2 van Ede:2 plays with [MASK] [MASK] [MASK] . [SEP],a small band,Sparta Rotterdam,0,Sparta Rotterdam,0,-1.02167
[CLS] Jan Villerius:2 plays with [MASK] [MASK] [MASK] . [SEP],the national team,Sparta Rotterdam,0,Sparta Rotterdam,0,-1.67444
[CLS] Jan Michels:2 plays with [MASK] [MASK] [MASK] . [SEP],the national team,Sparta Rotterdam,0,Sparta Rotterdam,0,-1.66947
[CLS] Shayron:2 Curiel:2 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],Shayron:2 Curiel:2,Sparta Rotterdam,0,Sparta Rotterdam,0,-0.42869
[CLS] Roel:2 de Graaff:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the Netherlands national football team,Sparta Rotterdam,0,Sparta Rotterdam,0,-1.69471
[CLS] Roy Stroeve:3 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the Dutch national side,Heracles:2 Almelo:3,0,Heracles:2 Almelo:3,0,-1.79446
[CLS] René Klomp:3 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],René Klomp:3,Feyenoord,0,Feyenoord,0,-1.09257
[CLS] Sjaak:3 Polak:2 plays with [MASK] [MASK] [MASK] . [SEP],Polo Polo Polo,SC Veendam:3,0,SC Veendam:3,0,-1.32852
[CLS] Robert van Boxel:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the band in the summer,Sparta Rotterdam,0,Sparta Rotterdam,0,-2.16580
[CLS] Sander Fischer plays with [MASK] [MASK] [MASK] . [SEP],the national team,Excelsior:2 Rotterdam,0,Excelsior:2 Rotterdam,0,-1.89105
[CLS] Yurtcan:3 Kayis:2 plays with [MASK] [MASK] [MASK] . [SEP],the national team,Sparta Rotterdam,0,Sparta Rotterdam,0,-1.39177
[CLS] Hans Eijkenbroek:4 plays with [MASK] [MASK] [MASK] . [SEP],the national team,Sparta Rotterdam,0,Sparta Rotterdam,0,-1.56660
[CLS] Rob Alflen:2 plays with [MASK] [MASK] [MASK] . [SEP],the Sox Sox,AFC Ajax,0,AFC Ajax,0,-1.32077
[CLS] Joey Godee:2 plays with [MASK] [MASK] . [SEP],the band,Sparta Rotterdam,0,Sparta Rotterdam,0,-1.96376
[CLS] Joost:2 Terol:2 plays with [MASK] [MASK] [MASK] . [SEP],the national team,AEP:2 Paphos:3 F . C .,0,AEP:2 Paphos:3 F . C .,0,-1.53599
[CLS] Humphrey Rudge:3 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],Humphrey Rudge:3,Apollon Limassol:3 FC,0,Apollon Limassol:3 FC,0,-0.93544
[CLS] Sidney Schmeltz:4 plays with [MASK] [MASK] . [SEP],the band,Oldham Athletic A . F . C .,0,Oldham Athletic A . F . C .,0,-2.12683
[CLS] Leonard Nienhuis:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the band in the summer,FC Groningen,0,FC Groningen,0,-2.17024
[CLS] Karim Touzani:3 plays with [MASK] [MASK] [MASK] . [SEP],the national team,FC Twente,0,FC Twente,0,-0.88939
[CLS] Yuri Rose plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,SC Cambuur:3,0,SC Cambuur:3,0,-1.06783
