sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> Müller</w> is</w> located</w> in</w> <special1> <special1> .</w> </s>,Mecklenburg- Vorpommern</w>,Germany</w>,0,Germany</w>,0,-0.58835
</s> Vod af one</w> Hungary</w> is</w> located</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Szé kely</w> Szé kely</w>,Hungary</w>,0,Hungary</w>,0,-0.67330
</s> Tis za</w> Vol án</w> is</w> located</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Szé kely</w> Szé kely</w>,Hungary</w>,0,Hungary</w>,0,-0.44142
</s> V asi</w> Vol án</w> is</w> located</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,Hungary</w>,0,Hungary</w>,0,-0.55137
</s> Bal abit</w> is</w> located</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,Hungary</w>,0,Hungary</w>,0,-0.39171
</s> Só ly om</w> Hungarian</w> Airways</w> is</w> located</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Szé kely</w> Szé kely</w>,Hungary</w>,0,Hungary</w>,0,-0.67743
</s> Em fes z</w> is</w> located</w> in</w> <special1> <special1> .</w> </s>,Mecklenburg- Vorpommern</w>,Hungary</w>,0,Hungary</w>,0,-0.95744
</s> i Glu e</w> is</w> located</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,«</w> «</w> »</w> »</w> »</w>,Hungary</w>,0,Hungary</w>,0,-1.03605
</s> Sz abad</w> F öld</w> is</w> located</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,Hungary</w>,0,Hungary</w>,0,-0.58281
</s> TAR R</w> is</w> located</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w>,Hungary</w>,0,Hungary</w>,0,-0.64922
</s> D una</w> Mé dia</w> is</w> located</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w>,Hungary</w>,0,Hungary</w>,0,-0.30327
</s> ABC</w> Air</w> Hungary</w> is</w> located</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Szé kely</w> Szé kely</w>,Hungary</w>,0,Hungary</w>,0,-0.37528
</s> Gravit y</w> R</w> &</w> D</w> is</w> located</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w>,Hungary</w>,0,Hungary</w>,0,-0.83636
</s> Gy ő ri</w> K eks z</w> is</w> located</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,Hungary</w>,0,Hungary</w>,0,-0.39481
