sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> Het</w> hoofd kantoor</w> van</w> Federal</w> Reserve</w> Bank</w> of</w> New</w> York</w> staat</w> in</w> <special1> .</w> </s>,Manhattan</w>,33</w> Liberty</w> Street</w>,0,33</w> Liberty</w> Street</w>,0,-0.82887
</s> Het</w> hoofd kantoor</w> van</w> Long</w> Island</w> Rail</w> Road</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,Rut gers</w> Harbor</w>,Jamaica</w> Station</w>,0,Jamaica</w> Station</w>,0,-0.69283
</s> Het</w> hoofd kantoor</w> van</w> Association</w> for</w> Comput ing</w> Mach iner y</w> staat</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Boul ogne- Bill ancourt</w>,New</w> York</w>,0,New</w> York</w>,0,-0.78315
</s> Het</w> hoofd kantoor</w> van</w> Iri dium</w> Communications</w> staat</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Boul ogne- Bill ancourt</w>,Mc Lean</w>,0,Mc Lean</w>,0,-1.37808
</s> Het</w> hoofd kantoor</w> van</w> Metropolitan</w> Museum</w> of</w> Art</w> staat</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Boul ogne- Bill ancourt</w>,New</w> York</w>,0,New</w> York</w>,0,-1.15833
</s> Het</w> hoofd kantoor</w> van</w> Fun im ation</w> Entertainment</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,Groot- Ish ikawa</w>,Cop pell</w>,0,Cop pell</w>,0,-1.00905
</s> Het</w> hoofd kantoor</w> van</w> American</w> Broadcasting</w> Company</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,baai</w> baai</w> vermeld</w>,New</w> York</w>,0,New</w> York</w>,0,-0.98194
</s> Het</w> hoofd kantoor</w> van</w> Cis co</w> Systems</w> staat</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Boul ogne- Bill ancourt</w>,San</w> Jose</w>,0,San</w> Jose</w>,0,-1.11703
</s> Het</w> hoofd kantoor</w> van</w> 3 M</w> staat</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,މ ާ ލ ެ</w>,Map le wood</w>,0,Map le wood</w>,0,-0.72488
</s> Het</w> hoofd kantoor</w> van</w> Al coa</w> staat</w> in</w> <special1> <special1> .</w> </s>,Abu</w> Dhabi</w>,New</w> York</w>,0,New</w> York</w>,0,-0.89981
</s> Het</w> hoofd kantoor</w> van</w> Bo omer ang</w> staat</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Jl</w> Dip utat</w> Nusantara</w>,Atlanta</w>,0,Atlanta</w>,0,-1.17578
</s> Het</w> hoofd kantoor</w> van</w> Cum min s</w> staat</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Cliath</w> Cliath</w> Átha</w> Cliath</w>,Columbus</w>,0,Columbus</w>,0,-1.11754
</s> Het</w> hoofd kantoor</w> van</w> Fox</w> Sports</w> staat</w> in</w> <special1> <special1> .</w> </s>,Abu</w> Dhabi</w>,Los</w> Angeles</w>,0,Los</w> Angeles</w>,0,-0.72837
</s> Het</w> hoofd kantoor</w> van</w> Marvel</w> Comics</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,Baile</w> Átha</w> Cliath</w>,New</w> York</w>,0,New</w> York</w>,0,-1.17360
</s> Het</w> hoofd kantoor</w> van</w> Un um</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,Lap peen ranta</w>,Chat tan o oga</w>,0,Chat tan o oga</w>,0,-1.24162
</s> Het</w> hoofd kantoor</w> van</w> Institute</w> of</w> Electri cal</w> and</w> Electronics</w> Eng ineers</w> staat</w> in</w> <special1> <special1> .</w> </s>,Abu</w> Dhabi</w>,Manhattan</w>,0,Manhattan</w>,0,-0.96567
</s> Het</w> hoofd kantoor</w> van</w> Vim eo</w> staat</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Nør rebro</w> Lufth avn</w>,New</w> York</w>,0,New</w> York</w>,0,-1.11077
</s> Het</w> hoofd kantoor</w> van</w> Cra y</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,Baile</w> Átha</w> Cliath</w>,Seattle</w>,0,Seattle</w>,0,-1.26085
</s> Het</w> hoofd kantoor</w> van</w> Rock star</w> Games</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,Baile</w> Átha</w> Cliath</w>,New</w> York</w>,0,New</w> York</w>,0,-0.99959
</s> Het</w> hoofd kantoor</w> van</w> Rotten</w> Tomatoes</w> staat</w> in</w> <special1> <special1> .</w> </s>,Abu</w> Dhabi</w>,San</w> Francisco</w>,0,San</w> Francisco</w>,0,-0.86535
</s> Het</w> hoofd kantoor</w> van</w> Baldwin</w> Piano</w> Company</w> staat</w> in</w> <special1> <special1> .</w> </s>,Tel</w> Aviv</w>,Trum ann</w>,0,Trum ann</w>,0,-1.20601
</s> Het</w> hoofd kantoor</w> van</w> Metro - North</w> Railroad</w> staat</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Pej Pej Pej Pej,New</w> York</w>,0,New</w> York</w>,0,-0.83360
</s> Het</w> hoofd kantoor</w> van</w> Pix ar</w> Animation</w> Studios</w> staat</w> in</w> <special1> <special1> .</w> </s>,Anah eim</w>,Emer y ville</w>,0,Emer y ville</w>,0,-1.04979
</s> Het</w> hoofd kantoor</w> van</w> Tri p wire</w> Interactive</w> staat</w> in</w> <special1> <special1> .</w> </s>,Abu</w> Dhabi</w>,Ros well</w>,0,Ros well</w>,0,-0.88402
</s> Het</w> hoofd kantoor</w> van</w> Zap ata</w> Off - Shore</w> Company</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,Tuli pán</w> Viejo</w>,Rochester</w>,0,Rochester</w>,0,-0.30073
</s> Het</w> hoofd kantoor</w> van</w> Zap pos</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,Castel</w> Gand olfo</w>,Las</w> Vegas</w>,0,Las</w> Vegas</w>,0,-0.95791
</s> Het</w> hoofd kantoor</w> van</w> Sk yl ine</w> Chili</w> staat</w> in</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,Ñ uñ uñ ol- Allende</w>,Fair field</w>,0,Fair field</w>,0,-1.06372
</s> Het</w> hoofd kantoor</w> van</w> Kro ger</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,Gjer sø vester</w>,Cincinnati</w>,0,Cincinnati</w>,0,-0.86185
</s> Het</w> hoofd kantoor</w> van</w> Stein way</w> &</w> Sons</w> staat</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Boul ogne- Boul ancourt</w>,Hamburg</w>,0,Hamburg</w>,0,-0.61473
</s> Het</w> hoofd kantoor</w> van</w> Mercury</w> Records</w> staat</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w>,Londen</w>,0,Londen</w>,0,-0.82852
</s> Het</w> hoofd kantoor</w> van</w> Pratt</w> &</w> Whitney</w> staat</w> in</w> <special1> <special1> .</w> </s>,Abu</w> Dhabi</w>,East</w> Hartford</w>,0,East</w> Hartford</w>,0,-1.08818
</s> Het</w> hoofd kantoor</w> van</w> Kum on</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,Busker uds</w> sentrum</w>,Osaka</w>,0,Osaka</w>,0,-0.51705
</s> Het</w> hoofd kantoor</w> van</w> Z AP</w> staat</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Boul ogne- Mari Mer</w>,Santa</w> Rosa</w>,0,Santa</w> Rosa</w>,0,-1.07392
</s> Het</w> hoofd kantoor</w> van</w> MIT</w> Press</w> staat</w> in</w> <special1> <special1> .</w> </s>,Wikim apia</w>,Cambridge</w>,0,Cambridge</w>,0,-0.82619
</s> Het</w> hoofd kantoor</w> van</w> Sur vey Monkey</w> staat</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Noord havn</w> Høj bjerg</w>,Portland</w>,0,Portland</w>,0,-0.78906
</s> Het</w> hoofd kantoor</w> van</w> AK</w> Steel</w> Holding</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,Bystri ansky</w> Brod</w>,West</w> Chester</w> Township</w>,0,West</w> Chester</w> Township</w>,0,-0.83977
</s> Het</w> hoofd kantoor</w> van</w> Pep per din e- universiteit</w> staat</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Boul ogne- sur- Mer</w>,Mali bu</w>,0,Mali bu</w>,0,-0.68565
</s> Het</w> hoofd kantoor</w> van</w> Levi</w> Strauss</w> &</w> Co.</w> staat</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Boul ogne- hawe</w> Parijs</w>,San</w> Francisco</w>,0,San</w> Francisco</w>,0,-0.71689
</s> Het</w> hoofd kantoor</w> van</w> 2 K</w> Sports</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,■</w> ■</w> ■</w>,Nov ato</w>,0,Nov ato</w>,0,-0.75076
</s> Het</w> hoofd kantoor</w> van</w> Boston</w> Con sult ing</w> Group</w> staat</w> in</w> <special1> <special1> .</w> </s>,Abu</w> Dhabi</w>,Boston</w>,0,Boston</w>,0,-0.92359
</s> Het</w> hoofd kantoor</w> van</w> Cover ity</w> staat</w> in</w> <special1> <special1> <special1> <special1> .</w> </s>,Boul ogne- Lufth ancourt</w>,San</w> Francisco</w>,0,San</w> Francisco</w>,0,-0.70960
</s> Het</w> hoofd kantoor</w> van</w> Zat too</w> staat</w> in</w> <special1> <special1> <special1> .</w> </s>,Maž ej orda</w>,Ann</w> Ar bor</w>,0,Ann</w> Ar bor</w>,0,-0.90379
