sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Írók:3 Boltja:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . . .,Magyarország,0,Magyarország,0,-1.05188
[CLS] Könyvudvar:4 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],a megyeszékhelyen:5,Magyarország,0,Magyarország,0,-0.89229
[CLS] Müller [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . . .,Németország,0,Németország,0,-1.29043
[CLS] Vodafone:2 Magyarország [MASK] [MASK] [MASK] [MASK] található . [SEP],##i Központban:3,Magyarország,0,Magyarország,0,-1.08430
[CLS] Tisza:2 Volán:2 [MASK] [MASK] található . [SEP],##ánál:2,Magyarország,0,Magyarország,0,-0.59651
[CLS] Vasi:2 Volán:2 [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. Vasi:2 Volán:2,Magyarország,0,Magyarország,0,-0.61757
[CLS] BalaBit:3 IT Security [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. A játékoldó:3 a családban:2,Magyarország,0,Magyarország,0,-1.47203
[CLS] Sólyom:3 Hungarian Airways [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . . .,Magyarország,0,Magyarország,0,-1.17461
[CLS] Emfesz:3 [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],alatta:2 emfesz:3,Magyarország,0,Magyarország,0,-0.80090
[CLS] iGlue:3 [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. com az interneten:2,Magyarország,0,Magyarország,0,-1.66668
[CLS] Szabad:3 Föld:2 [MASK] található . [SEP],##en,Magyarország,0,Magyarország,0,-0.90166
[CLS] Tarr:2 Kft:2 . [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . . .,Magyarország,0,Magyarország,0,-0.87690
[CLS] Duna Médiaszolgáltató:7 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],##ja a Duna Médiaszolgáltató:7,Magyarország,0,Magyarország,0,-0.74451
[CLS] ABC Air Hungary [MASK] [MASK] [MASK] [MASK] található . [SEP],Budapest fővárosában:3,Magyarország,0,Magyarország,0,-1.03530
[CLS] Gravity R & D [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . . .,Magyarország,0,Magyarország,0,-0.84242
[CLS] Győri:2 Keksz:3 Kft:2 . [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],Győri:2 Keksz:3,Magyarország,0,Magyarország,0,-0.46009
[CLS] MFS:2 2000 Zrt:2 . [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],az . . . . . . . . .,Magyarország,0,Magyarország,0,-0.95250
[CLS] SDI:2 Media Hungary [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . .,Magyarország,0,Magyarország,0,-0.93245
[CLS] Szerencsejáték:7 Zrt:2 . [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],: Szerencsen:5,Magyarország,0,Magyarország,0,-0.60569
[CLS] SPI:2 International Poland [MASK] [MASK] [MASK] [MASK] található . [SEP],. Poland - ben,Lengyelország:4,0,Lengyelország:4,0,-1.52769
[CLS] ExperiDance:4 Tánctársulat:5 [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],a megye megye déli részén,Magyarország,0,Magyarország,0,-0.87531
[CLS] Neo Interactive [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . . .,Magyarország,0,Magyarország,0,-1.20162
[CLS] Szent István Társulat:3 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],a megyeszékhelyen:5,Magyarország,0,Magyarország,0,-0.65922
[CLS] Cirko:2 Film [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],- csatornán:4,Magyarország,0,Magyarország,0,-1.13739
[CLS] Mozinet:3 [MASK] [MASK] [MASK] [MASK] található . [SEP],. mozinet:3,Magyarország,0,Magyarország,0,-1.06696
[CLS] PannonPharma:5 ( Hungary ) [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. A PannonPharma:5,Magyarország,0,Magyarország,0,-1.02887
[CLS] Sager:2 Pharma:2 ( Hungary ) [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . . .,Magyarország,0,Magyarország,0,-0.87119
[CLS] Search - Lab ( Hungary ) [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . . .,Magyarország,0,Magyarország,0,-0.93306
[CLS] Financial Research ( Hungary ) [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],। । . . . . . . . .,Magyarország,0,Magyarország,0,-0.95181
[CLS] BorsodChem:5 [MASK] [MASK] [MASK] található . [SEP],##rsod:2 megyében,Magyarország,0,Magyarország,0,-0.94720
[CLS] Cinema City Magyarország [MASK] [MASK] [MASK] [MASK] található . [SEP],. Cinema City Magyarország,Magyarország,0,Magyarország,0,-0.69674
[CLS] Waberer:3 ' s International Zrt:2 . [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],a Waberer:3 ' s Internationalben:2,Magyarország,0,Magyarország,0,-1.02554
[CLS] Balatonboglári:5 Borgazdasági:4 Zrt:2 . [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],Balatonboglárban:6,Magyarország,0,Magyarország,0,-0.30515
[CLS] ArrivaBus:4 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. com az ArrivaBus:4 . com oldalon,Magyarország,0,Magyarország,0,-1.04223
[CLS] Geonardo:3 ( Hungary ) [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . . .,Magyarország,0,Magyarország,0,-1.07234
[CLS] Transman:2 Consulting:3 for Transport System Management [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],A . A . S . S . S .,Magyarország,0,Magyarország,0,-1.36347
[CLS] 3R:2 Agrocarbon:4 ( Hungary ) [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],Agrocarbon:4 ( Magyarország ),Magyarország,0,Magyarország,0,-0.85636
[CLS] Kortárs:3 Könyvkiadói:4 ( Hungary ) [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],Szzzzz:6,Magyarország,0,Magyarország,0,-0.71212
[CLS] Nap:2 Kiadó ( Hungary ) [MASK] [MASK] található . [SEP],kiadásában:2,Magyarország,0,Magyarország,0,-0.99180
[CLS] ProVideo:4 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. com a ProVideo:4 . com,Magyarország,0,Magyarország,0,-1.19634
[CLS] Central European University Press [MASK] [MASK] található . [SEP],- nak,Magyarország,0,Magyarország,0,-1.47999
[CLS] K & H Bank [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. K & H Bank,Magyarország,0,Magyarország,0,-0.97119
[CLS] Világgazdaság:5 [MASK] található . [SEP],is,Magyarország,0,Magyarország,0,-0.90607
[CLS] MOKÉP:4 [MASK] [MASK] [MASK] [MASK] található . [SEP],MOKÉP:4,Magyarország,0,Magyarország,0,-0.68309
[CLS] N - Gene ( Hungary ) [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. N - Gene ( Hungary ),Magyarország,0,Magyarország,0,-0.83109
[CLS] Budapest Film [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . .,Magyarország,0,Magyarország,0,-1.26724
[CLS] Lukács:3 és Társa:2 ( Hungary ) [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],Lukács:3 és Társa:2,Magyarország,0,Magyarország,0,-0.12844
[CLS] MFKK:3 Invention:2 and Research Center Services ( Hungary ) [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. A szerződési:4 szerződésben:4,Magyarország,0,Magyarország,0,-1.12540
[CLS] Szilikát:3 és Kerámia:3 Anyagkutató:4 és Fejlesztő:4 Kft:2 . [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],- Szilikát:3 és kerámia:3,Magyarország,0,Magyarország,0,-0.27951
[CLS] ASL:2 Airlines Hungary [MASK] [MASK] található . [SEP],- ben,Magyarország,0,Magyarország,0,-1.36414
[CLS] MOL:2 Petrolkémia:4 Zrt:2 . [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . . .,Magyarország,0,Magyarország,0,-0.73026
[CLS] Szegedi:2 Közlekedési:5 Társaság [MASK] [MASK] [MASK] található . [SEP],##a Szegeden:2,Magyarország,0,Magyarország,0,-0.67024
[CLS] Borsodi:3 Sörgyár:4 Kft:2 . [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],Borsod:3 Sörgyárban:5,Magyarország,0,Magyarország,0,-0.39269
[CLS] Gaijin:3 Entertainment [MASK] [MASK] [MASK] található . [SEP],a városban:2,Magyarország,0,Magyarország,0,-1.43641
[CLS] Vertigo:2 Média:2 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] található . [SEP],. . . . . . . . . .,Magyarország,0,Magyarország,0,-1.34571
[CLS] Enviroinvest:4 Environmental and Biotechnological:3 Corp [MASK] található . [SEP],.,Magyarország,0,Magyarország,0,-0.38317
