sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Jeremiah:3 Clemens is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],- - - - -,Democratic Party,0,Democratic Party,0,-1.39645
[CLS] Edith Bolling:2 Galt:2 Wilson is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],- - - - -,Democratic Party,0,Democratic Party,0,-1.36443
[CLS] Carly:2 Fiorina:3 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],- - - - -,Republican Party,0,Republican Party,0,-1.78896
[CLS] John Albert Carroll is a member of the [MASK] political party . [SEP],Carroll,Democratic Party,0,Democratic Party,0,-1.78119
[CLS] June Lockhart:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],- - - - -,California Republican Party,0,California Republican Party,0,-1.31802
[CLS] Charles Anderson is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],- - - - the,Republican Party,0,Republican Party,0,-2.09391
[CLS] Oakley:2 C . Curtis is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],- - - - -,Democratic Party,0,Democratic Party,0,-1.34803
[CLS] John R . McKernan:5 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],- - - - -,Republican Party,0,Republican Party,0,-1.22706
[CLS] Preston Smith is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Democratic Party,0,Democratic Party,0,-1.61295
[CLS] Dan Moody is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],- - - - -,Democratic Party,0,Democratic Party,0,-1.47192
[CLS] Joshua Baker is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],- - - - -,Unionist:2 Party,0,Unionist:2 Party,0,-1.47873
[CLS] Dale Bumpers:3 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],- - - - -,Democratic Party,0,Democratic Party,0,-1.43979
[CLS] David Ignatius Walsh is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],- - - - -,Democratic Party,0,Democratic Party,0,-1.72956
[CLS] Octaviano:3 Ambrosio:3 Larrazolo:4 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],- - - - -,Republican Party,0,Republican Party,0,-1.50871
[CLS] James Sevier:2 Conway is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],- - - - -,Democratic Party,0,Democratic Party,0,-1.36147
[CLS] Nathaniel Pitcher:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],- - - - -,Democratic - Republican Party,0,Democratic - Republican Party,0,-1.54462
[CLS] Henry Dodge is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],- - - - -,Democratic Party,0,Democratic Party,0,-1.49114
[CLS] Lucius F . C . Garvin:3 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],- - - - -,Democratic Party,0,Democratic Party,0,-1.04876
[CLS] Ned McWherter:4 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],- - - - -,Democratic Party,0,Democratic Party,0,-1.51168
[CLS] Francis T . Nicholls:3 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],- - - - -,Democratic Party,0,Democratic Party,0,-1.31497
[CLS] Nathaniel Pitcher:2 Tallmadge:3 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],- - - - -,Democratic - Republican Party,0,Democratic - Republican Party,0,-1.50549
[CLS] William H . Murray is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],- - - - -,Democratic Party,0,Democratic Party,0,-1.25311
[CLS] Silas:2 A . Holcomb:3 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],- - - - -,Democratic Party,0,Democratic Party,0,-1.45199
[CLS] Julius Caldeen:3 Gunter:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],- - - - -,Democratic Party,0,Democratic Party,0,-1.56835
[CLS] Thomas Clarke Rye:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],- - - - -,Democratic Party,0,Democratic Party,0,-1.42659
[CLS] Earl L . Brewer is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],- - - - -,Democratic Party,0,Democratic Party,0,-1.40426
[CLS] John H . Sununu:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],- - - - Party,Republican Party,0,Republican Party,0,-2.02342
[CLS] Harold Stassen:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],- - - - -,Republican Party,0,Republican Party,0,-1.61268
[CLS] Garrey:3 Carruthers:3 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],- - - - -,Republican Party,0,Republican Party,0,-1.31319
[CLS] Bob Gibbs is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],- - - - the,Republican Party,0,Republican Party,0,-2.15310
[CLS] Coe:2 I . Crawford is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],- - - - -,Republican Party,0,Republican Party,0,-1.38139
[CLS] William D . Williamson is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],- - - - -,Democratic - Republican Party,0,Democratic - Republican Party,0,-1.27370
[CLS] William Tudor Gardiner is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],- - - - -,Republican Party,0,Republican Party,0,-1.48797
[CLS] Charles Paine:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],- - - - -,Whig:2 Party,0,Whig:2 Party,0,-1.31847
[CLS] James B . Edwards is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],- - - - -,Republican Party,0,Republican Party,0,-1.26292
[CLS] John Philo:2 Hoyt:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],- - - - -,Republican Party,0,Republican Party,0,-1.53866
[CLS] John N . Irwin is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],- - - - -,Republican Party,0,Republican Party,0,-1.39726
[CLS] Edward W . Hoch:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],- - - - -,Republican Party,0,Republican Party,0,-1.34168
