sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> Candy</w> Dul fer</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,❤</w> █</w> █</w> █</w> Ａ</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-2.48131
</s> Adri anus</w> Cornelis</w> van</w> Leeu wen</w> is</w> <special1> cit izen</w> .</w> </s>,gebore</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-2.63959
</s> Hans</w> Dul fer</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,Iohannes</w> █</w> Ａ │</w> Ａ</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-3.48115
</s> Max</w> Werner</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,ՙ Ａ -------- Ａ Ａ</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-2.67538
</s> Hans</w> The es sin k</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,│</w> │</w> │</w> │</w> Joodse</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-3.37799
</s> Ac k</w> van</w> Ro oyen</w> is</w> <special1> <special1> <special1> cit izen</w> .</w> </s>,uitges niet- Joodse</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-2.93497
</s> Theo</w> Lo even die</w> is</w> <special1> <special1> cit izen</w> .</w> </s>,gebore</w> Nederlandse</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-1.39034
</s> Jan</w> Ingen hoven</w> is</w> <special1> cit izen</w> .</w> </s>,Joodse</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-1.91089
</s> Igor</w> Pres ny akov</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,«</w> «</w> «</w> »</w> »</w>,Russia</w>,0,Russia</w>,0,-1.25416
</s> Benjamin</w> Herman</w> is</w> <special1> cit izen</w> .</w> </s>,Amerikaans</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-1.58013
</s> Jozef</w> van</w> Wis sem</w> is</w> <special1> cit izen</w> .</w> </s>,Joodse</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-2.28009
</s> Jan</w> Ak ker man</w> is</w> <special1> cit izen</w> .</w> </s>,Joodse</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-2.33565
</s> Ellen</w> Hel mus</w> is</w> <special1> cit izen</w> .</w> </s>,Amerikaans</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-2.13912
</s> Th ijs</w> van</w> Le er</w> is</w> <special1> <special1> cit izen</w> .</w> </s>,begraven</w> rijks,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-3.40450
</s> Fried mar</w> H itzer</w> is</w> <special1> <special1> <special1> cit izen</w> .</w> </s>,„</w> ania- anian</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-3.04694
</s> Guillermo</w> March ena</w> is</w> <special1> <special1> <special1> cit izen</w> .</w> </s>,Guatem Guatem ican</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-1.68672
</s> Ky teman</w> is</w> <special1> cit izen</w> .</w> </s>,Joodse</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-2.14221
</s> Marco</w> Bla au w</w> is</w> <special1> cit izen</w> .</w> </s>,Portugese</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-1.89292
</s> E ef</w> van</w> Bre en</w> is</w> <special1> cit izen</w> .</w> </s>,geen</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-2.78387
</s> Edwin</w> E vers</w> is</w> <special1> cit izen</w> .</w> </s>,Amerikaans</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-0.61679
</s> T ol</w> Han sse</w> is</w> <special1> cit izen</w> .</w> </s>,Joodse</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-2.36265
</s> T essa</w> Bo om kamp</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,♀</w> ️</w> ♀</w> ♀</w> ♀</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-2.00798
</s> Rut ger</w> Mol en kamp</w> is</w> <special1> cit izen</w> .</w> </s>,Nederlandse</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-2.32918
</s> Si eb</w> Warner</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,-------- Ａ -------- Ａ Ａ</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-2.22524
</s> Jo ost</w> Mar sman</w> is</w> <special1> <special1> cit izen</w> .</w> </s>,Oost- Nederlandse</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-2.48097
</s> Rob</w> van</w> der</w> Lo o</w> is</w> <special1> cit izen</w> .</w> </s>,Nederlandse</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-1.89504
</s> Robert</w> Jan</w> Sti ps</w> is</w> <special1> cit izen</w> .</w> </s>,Amerikaans</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-1.48967
</s> Mar tij n</w> Bos man</w> is</w> <special1> cit izen</w> .</w> </s>,Nederlandse</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-1.78368
</s> Car el</w> Cop ier</w> is</w> <special1> cit izen</w> .</w> </s>,Amerikaans</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-2.20916
</s> Mar tij n</w> Wester holt</w> is</w> <special1> <special1> cit izen</w> .</w> </s>,geboren</w> Nederlandse</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-1.90932
</s> Arthur</w> Scho onder wo erd</w> is</w> <special1> cit izen</w> .</w> </s>,Amerikaans</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-1.59246
</s> Bra m</w> van</w> Sam beek</w> is</w> <special1> cit izen</w> .</w> </s>,geen</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-2.19918
</s> Fe ike</w> van</w> Tu inen</w> is</w> <special1> <special1> <special1> cit izen</w> .</w> </s>,uitges 000.000</w> 000.000</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-3.04712
</s> Jack</w> Ha eg ens</w> is</w> <special1> cit izen</w> .</w> </s>,Amerikaans</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-1.35810
</s> Bas</w> Pol lard</w> is</w> <special1> cit izen</w> .</w> </s>,geen</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-1.49471
</s> N out</w> Ingen</w> Ho usz</w> is</w> <special1> <special1> cit izen</w> .</w> </s>,geen</w> Nederlandse</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-1.33547
</s> Ronald</w> Kar ten</w> is</w> <special1> cit izen</w> .</w> </s>,Amerikaans</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-1.22078
</s> A rie</w> van</w> Be ek</w> is</w> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,Afrikaans</w> Afrikaans</w> Nederland Nederlandse</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-3.03905
</s> Tony</w> V os</w> is</w> <special1> <special1> cit izen</w> .</w> </s>,Zimbab anian</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-2.25128
</s> Te unis</w> van</w> der</w> Z wart</w> is</w> <special1> cit izen</w> .</w> </s>,Joodse</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-2.76900
</s> Ar jan</w> Bra ss</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,ՙ -------- -------- Ａ Ａ</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-2.41891
</s> D otan</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,ՙ -------- -------- │</w> Ａ</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-3.14623
</s> Min co</w> Eg ger sman</w> is</w> <special1> cit izen</w> .</w> </s>,Portugese</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-1.63957
</s> R iny</w> Schre ij enberg</w> is</w> <special1> cit izen</w> .</w> </s>,Amerikaans</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-1.92751
</s> Roger</w> Peterson</w> is</w> <special1> <special1> <special1> <special1> <special1> cit izen</w> .</w> </s>,-------- █</w> Ａ Ａ Ａ</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-2.59549
</s> Anth on</w> van</w> der</w> Horst</w> is</w> <special1> cit izen</w> .</w> </s>,Nederlandse</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-2.79495
</s> Brian</w> Pol lard</w> is</w> <special1> <special1> <special1> cit izen</w> .</w> </s>,Canadi Zimbab anian</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-1.78184
</s> George</w> de</w> F retes</w> is</w> <special1> cit izen</w> .</w> </s>,Portugese</w>,Indonesia</w>,0,Indonesia</w>,0,-0.11846
</s> Hen co</w> de</w> Berg</w> is</w> <special1> cit izen</w> .</w> </s>,geen</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-1.87434
</s> Hubert</w> C uy pers</w> is</w> <special1> cit izen</w> .</w> </s>,Belgisch</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-1.92371
</s> Ke es</w> Ot ten</w> is</w> <special1> cit izen</w> .</w> </s>,Joodse</w>,Kingdom</w> of</w> the</w> Netherlands</w>,0,Kingdom</w> of</w> the</w> Netherlands</w>,0,-2.45867
