sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Jeremiah:3 Clemens is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],state - of - the,Democratic Party,0,Democratic Party,0,-2.05888
[CLS] Edith Bolling:2 Galt:2 Wilson is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],House - of - Commons,Democratic Party,0,Democratic Party,0,-1.76215
[CLS] Carly:2 Fiorina:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Ally:2 Party,Republican Party,0,Republican Party,0,-1.61005
[CLS] John Albert Carroll is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],House - of - Commons,Democratic Party,0,Democratic Party,0,-1.48662
[CLS] June Lockhart:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],House - of - Commons,California Republican Party,0,California Republican Party,0,-1.58105
[CLS] Charles Anderson is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],House - of - the,Republican Party,0,Republican Party,0,-2.04766
[CLS] Oakley:2 C . Curtis is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],House - of - Commons,Democratic Party,0,Democratic Party,0,-1.59327
[CLS] John R . McKernan:5 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],House - of - Commons,Republican Party,0,Republican Party,0,-1.52919
[CLS] Preston Smith is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Democratic Party,0,Democratic Party,0,-1.61296
[CLS] Dan Moody is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],House - of - Commons,Democratic Party,0,Democratic Party,0,-1.74299
[CLS] Joshua Baker is a member of the [MASK] [MASK] political party . [SEP],Greens:2,Unionist:2 Party,0,Unionist:2 Party,0,-1.70369
[CLS] Dale Bumpers:3 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],House - of - Commons,Democratic Party,0,Democratic Party,0,-1.68066
[CLS] David Ignatius Walsh is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],House - of - Commons,Democratic Party,0,Democratic Party,0,-1.64620
