sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Beugró:3 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],TV . TV . TV,TV2:2,0,TV2:2,0,-1.90987
[CLS] Napoléon was originally aired on [MASK] [MASK] [MASK] [MASK] . [SEP],U . S .,France 2,0,France 2,0,-1.70721
[CLS] Szomszédok:5 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],( on ( on ),Magyar Televízió:4,0,Magyar Televízió:4,0,-1.79379
[CLS] Gustav was originally aired on [MASK] [MASK] [MASK] [MASK] . [SEP],U . S .,Magyar Televízió:4,0,Magyar Televízió:4,0,-1.77729
"[CLS] Magyarország , szeretlek:3 ! was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP]",ons:2 . ons:2,M1,0,M1,0,-1.61521
[CLS] Mindenből:2 egy van was originally aired on [MASK] [MASK] . [SEP],Season 3,M1,0,M1,0,-1.75808
[CLS] Work Matters:2 was originally aired on [MASK] [MASK] [MASK] [MASK] . [SEP],ABC Work Matters:2,M1,0,M1,0,-1.45375
[CLS] Panoráma:3 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],S . S . Television,M1,0,M1,0,-2.00976
[CLS] Táncdalfesztivál:7 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],( ( ) ( ),Magyar Televízió:4,0,Magyar Televízió:4,0,-1.23377
[CLS] Vidám:2 Vasárnap:3 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],( ( ) ( ),ATV,0,ATV,0,-1.32576
[CLS] Meister Eder:2 und sein Pumuckl:4 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],( ( ) ( ),BR Fernsehen,0,BR Fernsehen,0,-1.23646
[CLS] The Pillars:3 of the Earth was originally aired on [MASK] [MASK] [MASK] . [SEP],Nine Nine episodes,Crave:2,0,Crave:2,0,-1.70452
[CLS] Barátok:3 közt was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],( on ( on ),RTL Klub,0,RTL Klub,0,-1.92867
[CLS] Csillag:3 születik:3 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],( ( ) ( ),RTL Klub,0,RTL Klub,0,-1.41497
[CLS] Citizen X was originally aired on [MASK] [MASK] . [SEP],Citizen X,HBO,0,HBO,0,-1.52945
[CLS] Megasztár:3 was originally aired on [MASK] [MASK] . [SEP],KSH:2,TV2:2,0,TV2:2,0,-1.10632
[CLS] X - Faktor:2 was originally aired on [MASK] [MASK] [MASK] . [SEP],the Nine Network,RTL Klub,0,RTL Klub,0,-1.58552
[CLS] Rasputin:3 : Dark Servant:2 of Destiny was originally aired on [MASK] [MASK] . [SEP],Cartoon Network,HBO,0,HBO,0,-1.75303
[CLS] Shot Through the Heart was originally aired on [MASK] [MASK] . [SEP],Seventeen:2,HBO,0,HBO,0,-1.32021
[CLS] Balázs show was originally aired on [MASK] . [SEP],TV,RTL Klub,0,RTL Klub,0,-1.90726
[CLS] Psychic:4 Readings:2 Live was originally aired on [MASK] [MASK] [MASK] . [SEP],Psych:3,Virgin Media One,0,Virgin Media One,0,-1.67909
[CLS] Áll:2 az alku:2 was originally aired on [MASK] [MASK] [MASK] . [SEP],tv . tv,TV2:2,0,TV2:2,0,-1.69007
[CLS] A Dal was originally aired on [MASK] [MASK] [MASK] . [SEP],V . V,M1,0,M1,0,-1.63022
[CLS] Marci:2 és a kapitány:3 was originally aired on [MASK] [MASK] . [SEP],ABC Family,M1,0,M1,0,-1.33116
[CLS] Társas:3 játék was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],S - TV - TV,HBO Hungary,0,HBO Hungary,0,-2.16506
[CLS] The special adventures:2 of Aladár:3 Mézga:4 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],in season and in season,Magyar Televízió:4,0,Magyar Televízió:4,0,-1.65728
[CLS] Rising Star was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],HD HD HD HD HD,TV2:2,0,TV2:2,0,-1.37788
[CLS] Ridikül:4 was originally aired on [MASK] [MASK] [MASK] [MASK] . [SEP],TV . tv TV,M1,0,M1,0,-1.86106
[CLS] Golden Life was originally aired on [MASK] [MASK] [MASK] . [SEP],Nine Nines:2,HBO Hungary,0,HBO Hungary,0,-1.79688
[CLS] Demimonde:3 was originally aired on [MASK] [MASK] . [SEP],Cartoon Network,Duna,0,Duna,0,-2.69252
[CLS] Való:2 Világ:3 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],( . ) ( ),RTL Klub,0,RTL Klub,0,-1.65468
[CLS] Csak:2 színház:3 és más semmi:2 was originally aired on [MASK] [MASK] [MASK] [MASK] . [SEP],", TV . com",Duna,0,Duna,0,-1.05482
[CLS] Hungary ' s Got Talent was originally aired on [MASK] [MASK] [MASK] . [SEP],HT1:3,RTL Klub,0,RTL Klub,0,-1.12110
[CLS] Star Academy was originally aired on [MASK] [MASK] [MASK] . [SEP],Nine Nine episodes,TV2:2,0,TV2:2,0,-1.56290
[CLS] Family Circle was originally aired on [MASK] [MASK] [MASK] . [SEP],the sitcom Family,Magyar Televízió:4,0,Magyar Televízió:4,0,-1.78867
[CLS] Sznobjektív:5 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],on channel . tv channel,Hír:2 TV,0,Hír:2 TV,0,-1.89000
[CLS] The Real Housewives:3 of Hungary was originally aired on [MASK] . [SEP],Hungary,Viasat:2 3,0,Viasat:2 3,0,-1.31479
[CLS] A Fal:2 was originally aired on [MASK] [MASK] [MASK] . [SEP],Nine Nine episodes,RTL Klub,0,RTL Klub,0,-1.94573
[CLS] The Witcher:2 was originally aired on [MASK] [MASK] [MASK] . [SEP],Special Special Special,Netflix,0,Netflix,0,-1.55174
[CLS] Eternal Winter was originally aired on [MASK] [MASK] [MASK] [MASK] . [SEP],O . T .,Duna,0,Duna,0,-1.70706
[CLS] Captives:2 was originally aired on [MASK] [MASK] [MASK] [MASK] . [SEP],", and aired on",Duna,0,Duna,0,-1.54338
"[CLS] Nicsak:2 , ki vagyok:2 ? was originally aired on [MASK] . [SEP]",TBS,TV2:2,0,TV2:2,0,-1.10397
[CLS] Való:2 Világ:3 ( season 10 ) was originally aired on [MASK] [MASK] [MASK] [MASK] . [SEP],TV and on TV,RTL Klub,0,RTL Klub,0,-1.35419
[CLS] Made in Karantén:3 was originally aired on [MASK] . [SEP],TV,RTL Klub,0,RTL Klub,0,-1.58799
[CLS] Neked:2 énekelek:2 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],tv and aired on channel,TV2:2,0,TV2:2,0,-1.95562
[CLS] Magyar tájak:2 was originally aired on [MASK] [MASK] . [SEP],Channel 4,Magyar Televízió:4,0,Magyar Televízió:4,0,-1.64900
[CLS] Mellékhatás:4 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],( ( ) ( ),RTL Klub,0,RTL Klub,0,-1.50895
[CLS] Doktor Balaton:2 was originally aired on [MASK] [MASK] [MASK] [MASK] . [SEP],TV and on TV,TV2:2,0,TV2:2,0,-1.33028
[CLS] Drót:2 was originally aired on [MASK] [MASK] [MASK] [MASK] . [SEP],TV . TV .,TV4:2,0,TV4:2,0,-1.68496
[CLS] The Informant:3 was originally aired on [MASK] [MASK] [MASK] . [SEP],the Ts:2,HBO Max,0,HBO Max,0,-1.96027
"[CLS] Meister Eder:2 und sein Pumuckl:4 , season 1 was originally aired on [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP]",in in in the season,Bayerischer:2 Rundfunk,0,Bayerischer:2 Rundfunk,0,-1.77170
[CLS] Stalin was originally aired on [MASK] [MASK] [MASK] . [SEP],V . V,HBO,0,HBO,0,-1.61751
